LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.295, Time: 7.297101 s
         1405681 function calls (1391293 primitive calls) in 10.618 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      278    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
1855/1689    0.006    0.000    0.008    0.000 {method 'update' of 'dict' objects}
    325/1    0.006    0.000   10.621   10.621 {built-in method builtins.exec}
   463/57    0.006    0.000    2.835    0.050 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    348/3    0.006    0.000    3.254    1.085 <frozen importlib._bootstrap>:986(_find_and_load)
      731    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  320/319    0.005    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      720    0.005    0.000    0.012    0.000 inspect.py:493(unwrap)
      969    0.005    0.000    0.124    0.000 __init__.py:699(__setitem__)
      169    0.005    0.000    0.009    0.000 sre_compile.py:276(_optimize_charset)
     1681    0.005    0.000    0.007    0.000 inspect.py:158(isfunction)
  963/488    0.005    0.000    0.031    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      278    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     1550    0.005    0.000    0.007    0.000 sre_parse.py:286(tell)
      206    0.005    0.000    0.018    0.000 sre_compile.py:536(_compile_info)
     2239    0.005    0.000    0.006    0.000 sre_parse.py:249(match)
      462    0.005    0.000    0.016    0.000 font_manager.py:923(_json_decode)
    327/4    0.004    0.000    3.251    0.813 <frozen importlib._bootstrap>:650(_load_unlocked)
      317    0.004    0.000    0.015    0.000 function_base.py:483(add_newdoc)
       50    0.004    0.000    0.004    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
     1312    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      618    0.004    0.000    0.017    0.000 _inspect.py:96(getargspec)
       51    0.004    0.000    0.011    0.000 linalg.py:1168(eig)
      834    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      100    0.004    0.000    0.008    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       92    0.004    0.000    0.087    0.001 __init__.py:1372(_preprocess_data)
       39    0.004    0.000    0.010    0.000 __init__.py:313(namedtuple)
      929    0.004    0.000    0.083    0.000 artist.py:1546(is_alias)
     1038    0.004    0.000    0.007    0.000 typing.py:646(_is_dunder)
 1435/169    0.004    0.000    0.012    0.000 abc.py:100(__subclasscheck__)
      850    0.004    0.000    0.015    0.000 colors.py:213(_is_nth_color)
    345/3    0.004    0.000    3.254    1.085 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1038    0.004    0.000    0.011    0.000 typing.py:762(__setattr__)
      409    0.004    0.000    0.035    0.000 rcsetup.py:307(validate_color)
        1    0.004    0.004    0.007    0.007 helpers.py:692(<dictcomp>)
      284    0.004    0.000    0.023    0.000 overrides.py:88(verify_matching_signatures)
     2194    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
      206    0.004    0.000    0.263    0.001 sre_compile.py:759(compile)
      344    0.004    0.000    0.014    0.000 inspect.py:544(_finddoc)
      409    0.004    0.000    0.008    0.000 copy.py:258(_reconstruct)
      278    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      731    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
     1186    0.004    0.000    0.017    0.000 abc.py:96(__instancecheck__)
      731    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
     2216    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      141    0.003    0.000    0.018    0.000 typing.py:659(__init__)
     2338    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
      629    0.003    0.000    0.008    0.000 {built-in method builtins.max}
      169    0.003    0.000    0.011    0.000 colors.py:307(_to_rgba_no_colorcycle)
      314    0.003    0.000    0.045    0.000 overrides.py:170(decorator)
      614    0.003    0.000    0.006    0.000 _inspect.py:65(getargs)
      979    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:867(__exit__)
     2059    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
     2059    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
      979    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:863(__enter__)
      429    0.003    0.000    0.064    0.000 artist.py:1540(number_of_parameters)
      278    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      460    0.003    0.000    0.007    0.000 posixpath.py:60(isabs)
   273/11    0.003    0.000    0.019    0.002 core.py:776(_parseNoCache)
      597    0.003    0.000    0.010    0.000 sre_compile.py:423(_simple)
      326    0.003    0.000    0.059    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     1802    0.003    0.000    0.003    0.000 {method 'setdefault' of 'dict' objects}
      249    0.003    0.000    0.006    0.000 typing.py:120(_type_check)
      160    0.003    0.000    0.007    0.000 shape_base.py:612(column_stack)
      306    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      344    0.003    0.000    0.005    0.000 inspect.py:534(_findclass)
      383    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1112    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      556    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1378    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
        1    0.003    0.003    0.003    0.003 {built-in method posix.read}
     1866    0.003    0.000    0.003    0.000 __init__.py:835(<lambda>)
       17    0.003    0.000    0.012    0.001 enum.py:157(__new__)
      842    0.003    0.000    0.004    0.000 sre_parse.py:81(groups)
      349    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      775    0.003    0.000    0.004    0.000 inspect.py:513(_is_wrapper)
       17    0.003    0.000    0.005    0.000 enum.py:200(<setcomp>)
      788    0.002    0.000    0.004    0.000 __init__.py:954(<lambda>)
      778    0.002    0.000    0.004    0.000 __init__.py:678(_get)
      206    0.002    0.000    0.163    0.001 sre_parse.py:937(parse)
        2    0.002    0.001    0.005    0.002 unicode.py:63(<listcomp>)
     1186    0.002    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
     1521    0.002    0.000    0.003    0.000 {built-in method posix.fspath}
     1481    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     1281    0.002    0.000    0.002    0.000 __init__.py:658(_set)
      188    0.002    0.000    0.002    0.000 colors.py:1101(<listcomp>)
      657    0.002    0.000    0.132    0.000 inspect.py:3103(signature)
       26    0.002    0.000    3.353    0.129 __init__.py:1(<module>)
      213    0.002    0.000    0.484    0.002 artist.py:1426(__init__)
        2    0.002    0.001    0.018    0.009 decoder.py:343(raw_decode)
      657    0.002    0.000    0.129    0.000 inspect.py:2851(from_callable)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    278/4    0.002    0.000    3.250    0.813 <frozen importlib._bootstrap_external>:842(exec_module)
      101    0.002    0.000    0.015    0.000 deprecation.py:128(deprecate)
      693    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:389(parent)
      100    0.002    0.000    1.733    0.017 artist.py:159(_update_set_signature_and_docstring)
     1102    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
      412    0.002    0.000    0.029    0.000 colors.py:218(is_color_like)
    28/23    0.002    0.000    0.022    0.001 {built-in method _imp.exec_dynamic}
      438    0.002    0.000    0.020    0.000 colors.py:265(to_rgba)
      253    0.002    0.000    0.003    0.000 sre_parse.py:355(_escape)
      618    0.002    0.000    0.003    0.000 _inspect.py:13(ismethod)
      349    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      614    0.002    0.000    0.003    0.000 _inspect.py:41(iscode)
      618    0.002    0.000    0.003    0.000 _inspect.py:26(isfunction)
       63    0.002    0.000    0.006    0.000 inspect.py:3057(__str__)
      392    0.002    0.000    0.006    0.000 re.py:203(sub)
      348    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
      100    0.002    0.000    0.037    0.000 deprecation.py:416(make_keyword_only)
   434/15    0.002    0.000    3.034    0.202 {built-in method builtins.__import__}
      306    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      583    0.002    0.000    0.003    0.000 posixpath.py:41(_get_sep)
      306    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      698    0.002    0.000    0.003    0.000 ast.py:210(iter_fields)
      278    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      161    0.002    0.000    0.005    0.000 enum.py:75(__setitem__)
     1194    0.002    0.000    0.002    0.000 inspect.py:2857(parameters)
     1075    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1141    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      225    0.002    0.000    0.003    0.000 core.py:455(__init__)
      560    0.002    0.000    0.003    0.000 inspect.py:72(isclass)
      584    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:376(cached)
    488/4    0.002    0.000    3.249    0.812 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      274    0.002    0.000    0.003    0.000 results.py:136(__new__)
      409    0.002    0.000    0.021    0.000 core.py:499(copy)
      206    0.002    0.000    0.005    0.000 enum.py:938(__and__)
