         1060806 function calls (1046670 primitive calls) in 4.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    326/1    0.004    0.000    4.043    4.043 {built-in method builtins.exec}
        1    0.000    0.000    4.043    4.043 LebwohlLasher.py:1(<module>)
    350/5    0.004    0.000    3.130    0.626 <frozen importlib._bootstrap>:986(_find_and_load)
    347/5    0.003    0.000    3.130    0.626 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    329/6    0.003    0.000    3.127    0.521 <frozen importlib._bootstrap>:650(_load_unlocked)
    492/6    0.001    0.000    3.126    0.521 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       26    0.002    0.000    3.099    0.119 __init__.py:1(<module>)
   436/17    0.001    0.000    2.937    0.173 {built-in method builtins.__import__}
    279/6    0.002    0.000    2.883    0.481 <frozen importlib._bootstrap_external>:842(exec_module)
   465/58    0.005    0.000    2.771    0.048 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.001    0.001    2.226    2.226 pyplot.py:4(<module>)
1111/1005    0.017    0.000    1.910    0.002 {built-in method builtins.__build_class__}
      100    0.002    0.000    1.554    0.016 artist.py:159(_update_set_signature_and_docstring)
       99    0.001    0.000    1.526    0.015 artist.py:126(__init_subclass__)
      112    0.001    0.000    1.232    0.011 artist.py:1841(kwdoc)
        1    0.000    0.000    1.151    1.151 figure.py:1(<module>)
      112    0.018    0.000    1.037    0.009 artist.py:1602(pprint_setters)
        1    0.000    0.000    0.913    0.913 LebwohlLasher.py:310(main)
       50    0.223    0.004    0.912    0.018 LebwohlLasher.py:260(MC_parallel_step)
        1    0.000    0.000    0.878    0.878 colorbar.py:1(<module>)
     4050    0.050    0.000    0.858    0.000 artist.py:1474(get_valid_values)
     6793    0.396    0.000    0.778    0.000 inspect.py:625(cleandoc)
     6764    0.028    0.000    0.697    0.000 inspect.py:606(getdoc)
    70000    0.521    0.000    0.521    0.000 LebwohlLasher.py:134(one_energy)
        1    0.000    0.000    0.482    0.482 contour.py:1(<module>)
        1    0.000    0.000    0.462    0.462 backend_bases.py:1(<module>)
      213    0.002    0.000    0.438    0.002 artist.py:1426(__init__)
      213    0.045    0.000    0.434    0.002 artist.py:1446(get_aliases)
        1    0.000    0.000    0.411    0.411 text.py:1(<module>)
        1    0.000    0.000    0.362    0.362 collections.py:1(<module>)
        1    0.000    0.000    0.315    0.315 _axes.py:1(<module>)
        1    0.000    0.000    0.298    0.298 patches.py:1(<module>)
        1    0.000    0.000    0.295    0.295 _base.py:1(<module>)
    29/24    0.000    0.000    0.268    0.011 <frozen importlib._bootstrap_external>:1172(exec_module)
    29/24    0.242    0.008    0.268    0.011 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.261    0.261 axes3d.py:1(<module>)
     7092    0.023    0.000    0.261    0.000 re.py:289(_compile)
        9    0.000    0.000    0.247    0.027 _base.py:734(__init_subclass__)
      213    0.091    0.000    0.243    0.001 artist.py:1521(get_setters)
      206    0.003    0.000    0.223    0.001 sre_compile.py:759(compile)
      213    0.108    0.001    0.216    0.001 artist.py:1457(<listcomp>)
      132    0.001    0.000    0.197    0.001 _docstring.py:38(__call__)
     5304    0.022    0.000    0.197    0.000 re.py:198(search)
138302/137188    0.190    0.000    0.193    0.000 {built-in method builtins.len}
  122/111    0.001    0.000    0.192    0.002 _docstring.py:79(__call__)
        1    0.000    0.000    0.178    0.178 rcsetup.py:1(<module>)
       12    0.000    0.000    0.147    0.012 _docstring.py:51(__missing__)
       30    0.017    0.001    0.144    0.005 __init__.py:835(_rc_params_in_file)
        2    0.000    0.000    0.139    0.070 core.py:1(<module>)
      206    0.002    0.000    0.137    0.001 sre_parse.py:937(parse)
        1    0.000    0.000    0.136    0.136 _axes.py:46(Axes)
        1    0.000    0.000    0.133    0.133 _fontconfig_pattern.py:1(<module>)
  450/206    0.004    0.000    0.133    0.001 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.130    0.130 __init__.py:25(<module>)
  484/209    0.033    0.000    0.129    0.001 sre_parse.py:493(_parse)
        1    0.000    0.000    0.128    0.128 art3d.py:5(<module>)
    86970    0.121    0.000    0.121    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.119    0.119 geo.py:1(<module>)
      341    0.025    0.000    0.119    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      657    0.002    0.000    0.113    0.000 inspect.py:3103(signature)
      657    0.002    0.000    0.111    0.000 inspect.py:2851(from_callable)
  721/657    0.009    0.000    0.110    0.000 inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.107    0.107 offsetbox.py:1(<module>)
    73970    0.102    0.000    0.102    0.000 {method 'lstrip' of 'str' objects}
      279    0.004    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.000    0.000    0.094    0.094 axis.py:1(<module>)
        2    0.001    0.000    0.092    0.046 core.py:235(read_style_directory)
    53362    0.077    0.000    0.091    0.000 {built-in method builtins.isinstance}
    63098    0.090    0.000    0.090    0.000 {built-in method builtins.getattr}
       58    0.000    0.000    0.086    0.001 re.py:250(compile)
        1    0.000    0.000    0.086    0.086 polar.py:1(<module>)
    26433    0.084    0.000    0.084    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     6341    0.036    0.000    0.083    0.000 inspect.py:2489(__init__)
       92    0.004    0.000    0.083    0.001 __init__.py:1372(_preprocess_data)
      969    0.004    0.000    0.083    0.000 __init__.py:699(__setitem__)
      321    0.001    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
  322/321    0.004    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      206    0.001    0.000    0.079    0.000 sre_compile.py:598(_code)
