         1023345 function calls (1009209 primitive calls) in 3.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      755    0.016    0.000    0.069    0.000 functools.py:34(update_wrapper)
      328    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
 1080/206    0.023    0.000    0.064    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.060    0.060 axis3d.py:5(<module>)
       47    0.001    0.000    0.058    0.001 __init__.py:1328(_add_data_doc)
    18972    0.058    0.000    0.058    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      429    0.002    0.000    0.054    0.000 artist.py:1540(number_of_parameters)
        1    0.000    0.000    0.053    0.053 quiver.py:1(<module>)
     4050    0.023    0.000    0.053    0.000 artist.py:1559(aliased_name)
      100    0.005    0.000    0.051    0.001 artist.py:170(<listcomp>)
      279    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      908    0.022    0.000    0.049    0.000 inspect.py:2772(__init__)
      279    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
    25000    0.044    0.000    0.044    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    31173    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
15287/15274    0.031    0.000    0.043    0.000 {method 'join' of 'str' objects}
     3028    0.013    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       36    0.000    0.000    0.041    0.001 functools.py:525(decorating_function)
    29006    0.041    0.000    0.041    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.040    0.040 core.py:4(<module>)
       18    0.001    0.000    0.039    0.002 rcsetup.py:721(validate_cycler)
     6786    0.023    0.000    0.038    0.000 enum.py:313(__call__)
      314    0.002    0.000    0.036    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.036    0.036 common.py:2(<module>)
        1    0.000    0.000    0.035    0.035 common.py:8(pyparsing_common)
        1    0.000    0.000    0.035    0.035 colors.py:1(<module>)
       29    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
       29    0.033    0.001    0.034    0.001 {built-in method _imp.create_dynamic}
     7495    0.022    0.000    0.033    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.033    0.033 version.py:5(<module>)
        1    0.000    0.000    0.033    0.033 table.py:9(<module>)
        1    0.000    0.000    0.033    0.033 artist.py:1(<module>)
      100    0.001    0.000    0.033    0.000 deprecation.py:416(make_keyword_only)
      409    0.003    0.000    0.031    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.030    0.030 backend_tools.py:1(<module>)
        3    0.000    0.000    0.029    0.010 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.029    0.005 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.029    0.029 helpers.py:2(<module>)
        1    0.000    0.000    0.028    0.028 _secondary_axes.py:1(<module>)
     2654    0.016    0.000    0.028    0.000 __init__.py:421(_strip_comment)
      111    0.001    0.000    0.027    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.026    0.026 cm.py:1(<module>)
        1    0.000    0.000    0.026    0.026 uuid.py:1(<module>)
  213/197    0.001    0.000    0.026    0.000 typing.py:255(inner)
      412    0.002    0.000    0.025    0.000 colors.py:218(is_color_like)
        1    0.000    0.000    0.025    0.025 ntpath.py:2(<module>)
      328    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        6    0.000    0.000    0.025    0.004 patches.py:2230(<listcomp>)
        1    0.000    0.000    0.025    0.025 font_manager.py:1(<module>)
     9273    0.025    0.000    0.025    0.000 {method 'search' of 're.Pattern' objects}
      558    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     3028    0.014    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      241    0.001    0.000    0.022    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       35    0.001    0.000    0.022    0.001 rcsetup.py:107(<listcomp>)
       11    0.000    0.000    0.022    0.002 core.py:1076(parse_string)
     4982    0.014    0.000    0.021    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.021    0.021 legend.py:1(<module>)
        1    0.000    0.000    0.021    0.021 cm.py:33(_gen_cmap_registry)
       28    0.006    0.000    0.020    0.001 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.020    0.020 numeric.py:1(<module>)
      284    0.003    0.000    0.019    0.000 overrides.py:88(verify_matching_signatures)
        9    0.000    0.000    0.019    0.002 core.py:5392(__init__)
     29/8    0.000    0.000    0.019    0.002 core.py:4379(leave_whitespace)
       12    0.000    0.000    0.019    0.002 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.019    0.002 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        3    0.000    0.000    0.019    0.006 __init__.py:2(<module>)
        3    0.000    0.000    0.018    0.006 _common.py:1(<module>)
      409    0.001    0.000    0.018    0.000 core.py:499(copy)
        1    0.000    0.000    0.018    0.018 platform.py:3(<module>)
        1    0.000    0.000    0.018    0.018 index_tricks.py:1(<module>)
        1    0.000    0.000    0.018    0.018 exceptions.py:3(<module>)
      438    0.002    0.000    0.017    0.000 colors.py:265(to_rgba)
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
     1324    0.006    0.000    0.017    0.000 re.py:188(match)
       50    0.017    0.000    0.017    0.000 {method 'reduce' of 'mpi4py.MPI.Comm' objects}
       19    0.001    0.000    0.017    0.001 {built-in method builtins.eval}
       32    0.001    0.000    0.017    0.001 colors.py:1027(from_list)
      427    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
      409    0.005    0.000    0.017    0.000 copy.py:66(copy)
       18    0.000    0.000    0.016    0.001 rcsetup.py:629(cycler)
        1    0.000    0.000    0.016    0.016 version.py:257(Version)
        1    0.000    0.000    0.016    0.016 spines.py:1(<module>)
        2    0.000    0.000    0.016    0.008 abc.py:1(<module>)
     55/8    0.000    0.000    0.016    0.002 core.py:3635(leave_whitespace)
   273/11    0.002    0.000    0.016    0.001 core.py:776(_parseNoCache)
        8    0.000    0.000    0.016    0.002 core.py:2678(__init__)
    10587    0.015    0.000    0.016    0.000 {method 'get' of 'dict' objects}
      587    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:376(cached)
    63/11    0.000    0.000    0.015    0.001 core.py:3861(parseImpl)
      141    0.003    0.000    0.015    0.000 typing.py:659(__init__)
        1    0.000    0.000    0.015    0.015 font_manager.py:1533(_load_fontmanager)
        1    0.000    0.000    0.015    0.015 category.py:1(<module>)
        1    0.000    0.000    0.015    0.015 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.015    0.015 _compat.py:3(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:17(<module>)
        1    0.000    0.000    0.015    0.015 font_manager.py:965(json_load)
        1    0.000    0.000    0.015    0.015 __init__.py:274(load)
      206    0.004    0.000    0.014    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.014    0.007 __init__.py:299(loads)
        2    0.000    0.000    0.014    0.007 decoder.py:332(decode)
        2    0.001    0.001    0.014    0.007 decoder.py:343(raw_decode)
     8261    0.014    0.000    0.014    0.000 {method 'split' of 'str' objects}
   114/57    0.001    0.000    0.014    0.000 core.py:3722(copy)
      308    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      618    0.004    0.000    0.014    0.000 _inspect.py:96(getargspec)
      850    0.004    0.000    0.014    0.000 colors.py:213(_is_nth_color)
     1186    0.003    0.000    0.014    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.014    0.014 scale.py:1(<module>)
      317    0.004    0.000    0.014    0.000 function_base.py:483(add_newdoc)
        2    0.000    0.000    0.014    0.007 shape_base.py:1(<module>)
     8744    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
      462    0.003    0.000    0.013    0.000 font_manager.py:923(_json_decode)
      101    0.002    0.000    0.013    0.000 deprecation.py:128(deprecate)
        1    0.001    0.001    0.013    0.013 _add_newdocs.py:1(<module>)
     8903    0.013    0.000    0.013    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.013    0.013 textpath.py:1(<module>)
     8848    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.013    0.013 version.py:1(<module>)
        1    0.000    0.000    0.012    0.012 inspect.py:1(<module>)
      344    0.003    0.000    0.012    0.000 inspect.py:544(_finddoc)
     2714    0.008    0.000    0.012    0.000 util.py:185(is_consecutive)
       12    0.001    0.000    0.012    0.001 _docstring.py:57(<listcomp>)
     8397    0.012    0.000    0.012    0.000 inspect.py:2539(name)
   114/57    0.001    0.000    0.012    0.000 core.py:3724(<listcomp>)
    59/43    0.001    0.000    0.011    0.000 typing.py:347(__getitem__)
     3077    0.008    0.000    0.011    0.000 inspect.py:2821(<genexpr>)
       55    0.000    0.000    0.011    0.000 core.py:3643(<listcomp>)
        1    0.000    0.000    0.011    0.011 _parser.py:2(<module>)
        1    0.000    0.000    0.011    0.011 _version.py:7(<module>)
      279    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
 3344/795    0.010    0.000    0.011    0.000 __init__.py:362(recursive_subclasses)
        1    0.000    0.000    0.011    0.011 _internal.py:1(<module>)
     2515    0.007    0.000    0.011    0.000 sre_parse.py:172(append)
      171    0.000    0.000    0.011    0.000 inspect.py:2865(replace)
     6804    0.011    0.000    0.011    0.000 {method 'expandtabs' of 'str' objects}
     2500    0.007    0.000    0.011    0.000 sre_parse.py:160(__len__)
 1291/421    0.007    0.000    0.011    0.000 sre_parse.py:174(getwidth)
       14    0.000    0.000    0.010    0.001 core.py:115(doc_note)
     1186    0.002    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
      720    0.004    0.000    0.010    0.000 inspect.py:493(unwrap)
        1    0.000    0.000    0.010    0.010 fromnumeric.py:1(<module>)
     6781    0.010    0.000    0.010    0.000 enum.py:631(__new__)
        1    0.000    0.000    0.010    0.010 ticker.py:1(<module>)
  266/157    0.001    0.000    0.010    0.000 core.py:1857(name)
     6991    0.010    0.000    0.010    0.000 inspect.py:2551(kind)
   256/18    0.001    0.000    0.010    0.001 ast.py:367(visit)
  215/110    0.001    0.000    0.010    0.000 core.py:1832(default_name)
       17    0.002    0.000    0.010    0.001 enum.py:157(__new__)
     6778    0.010    0.000    0.010    0.000 {method 'isidentifier' of 'str' objects}
   256/18    0.003    0.000    0.010    0.001 ast.py:373(generic_visit)
     1326    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      350    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.009    0.009 subprocess.py:10(<module>)
