LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.355, Time: 3.350817 s
         932968 function calls (918580 primitive calls) in 5.861 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.043    0.043 quiver.py:1(<module>)
      908    0.021    0.000    0.042    0.000 inspect.py:2772(__init__)
      327    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
15258/15245    0.027    0.000    0.038    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.036    0.036 core.py:4(<module>)
    31326    0.036    0.000    0.036    0.000 {method 'append' of 'list' objects}
     3001    0.011    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      278    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
    29006    0.033    0.000    0.033    0.000 {built-in method builtins.callable}
     6786    0.018    0.000    0.032    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.032    0.032 common.py:2(<module>)
        1    0.000    0.000    0.031    0.031 colors.py:1(<module>)
      314    0.002    0.000    0.031    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.030    0.030 common.py:8(pyparsing_common)
        1    0.000    0.000    0.030    0.030 backend_tools.py:1(<module>)
      278    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.029    0.029 version.py:5(<module>)
        1    0.000    0.000    0.029    0.029 artist.py:1(<module>)
     7495    0.019    0.000    0.028    0.000 sre_parse.py:164(__getitem__)
      100    0.001    0.000    0.028    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.027    0.027 table.py:9(<module>)
        1    0.000    0.000    0.027    0.027 multiarray.py:1(<module>)
        3    0.000    0.000    0.026    0.009 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.026    0.004 patches.py:2226(pprint_styles)
     9273    0.026    0.000    0.026    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.026    0.026 uuid.py:1(<module>)
      409    0.003    0.000    0.025    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.025    0.025 helpers.py:2(<module>)
      755    0.013    0.000    0.025    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.025    0.025 overrides.py:1(<module>)
        1    0.000    0.000    0.024    0.024 cm.py:1(<module>)
      327    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.023    0.023 font_manager.py:1(<module>)
        6    0.000    0.000    0.023    0.004 patches.py:2230(<listcomp>)
  213/197    0.001    0.000    0.022    0.000 typing.py:255(inner)
        1    0.000    0.000    0.022    0.022 _secondary_axes.py:1(<module>)
      111    0.001    0.000    0.022    0.000 rcsetup.py:88(f)
     2654    0.013    0.000    0.022    0.000 __init__.py:421(_strip_comment)
      556    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
  963/488    0.003    0.000    0.021    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      412    0.002    0.000    0.021    0.000 colors.py:218(is_color_like)
        1    0.000    0.000    0.020    0.020 spines.py:1(<module>)
       11    0.000    0.000    0.020    0.002 core.py:1076(parse_string)
   256/18    0.001    0.000    0.020    0.001 ast.py:367(visit)
   256/18    0.014    0.000    0.019    0.001 ast.py:373(generic_visit)
     3001    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.019    0.019 cm.py:33(_gen_cmap_registry)
     4982    0.012    0.000    0.019    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.019    0.019 numeric.py:1(<module>)
        1    0.000    0.000    0.018    0.018 legend.py:1(<module>)
      241    0.001    0.000    0.018    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       35    0.001    0.000    0.018    0.001 rcsetup.py:107(<listcomp>)
        3    0.000    0.000    0.018    0.006 __init__.py:2(<module>)
       28    0.005    0.000    0.017    0.001 util.py:182(_collapse_string_to_ranges)
      284    0.003    0.000    0.017    0.000 overrides.py:88(verify_matching_signatures)
        9    0.000    0.000    0.017    0.002 core.py:5392(__init__)
        1    0.000    0.000    0.017    0.017 platform.py:3(<module>)
     29/8    0.000    0.000    0.017    0.002 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.017    0.017 py3k.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _pickle.py:1(<module>)
       12    0.000    0.000    0.016    0.001 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.016    0.002 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      409    0.001    0.000    0.016    0.000 core.py:499(copy)
    29/24    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    29/24    0.001    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.015    0.015 exceptions.py:3(<module>)
      427    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
       32    0.001    0.000    0.015    0.000 colors.py:1027(from_list)
      409    0.005    0.000    0.014    0.000 copy.py:66(copy)
      438    0.001    0.000    0.014    0.000 colors.py:265(to_rgba)
      585    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.014    0.014 __init__.py:17(<module>)
        1    0.000    0.000    0.014    0.014 category.py:1(<module>)
       19    0.001    0.000    0.014    0.001 {built-in method builtins.eval}
   273/11    0.002    0.000    0.014    0.001 core.py:776(_parseNoCache)
     1324    0.005    0.000    0.014    0.000 re.py:188(match)
        1    0.000    0.000    0.014    0.014 version.py:257(Version)
        1    0.000    0.000    0.014    0.014 index_tricks.py:1(<module>)
     55/8    0.000    0.000    0.014    0.002 core.py:3635(leave_whitespace)
    63/11    0.000    0.000    0.014    0.001 core.py:3861(parseImpl)
        1    0.000    0.000    0.014    0.014 font_manager.py:1533(_load_fontmanager)
        8    0.000    0.000    0.014    0.002 core.py:2678(__init__)
     8261    0.014    0.000    0.014    0.000 {method 'split' of 'str' objects}
      206    0.004    0.000    0.014    0.000 sre_compile.py:536(_compile_info)
       18    0.000    0.000    0.013    0.001 rcsetup.py:629(cycler)
      141    0.003    0.000    0.013    0.000 typing.py:659(__init__)
        2    0.000    0.000    0.013    0.007 shape_base.py:1(<module>)
    10687    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.013    0.013 font_manager.py:965(json_load)
        1    0.000    0.000    0.013    0.013 __init__.py:274(load)
        1    0.000    0.000    0.013    0.013 axes3d.py:42(Axes3D)
        2    0.000    0.000    0.013    0.007 __init__.py:299(loads)
        2    0.000    0.000    0.013    0.006 decoder.py:332(decode)
      307    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        2    0.001    0.001    0.013    0.006 decoder.py:343(raw_decode)
     1186    0.003    0.000    0.013    0.000 abc.py:96(__instancecheck__)
      618    0.003    0.000    0.013    0.000 _inspect.py:96(getargspec)
   114/57    0.001    0.000    0.013    0.000 core.py:3722(copy)
     8786    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.012    0.012 textpath.py:1(<module>)
