         1004473 function calls (990337 primitive calls) in 3.798 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    326/1    0.004    0.000    3.799    3.799 {built-in method builtins.exec}
        1    0.000    0.000    3.799    3.799 LebwohlLasher.py:1(<module>)
       26    0.002    0.000    3.303    0.127 __init__.py:1(<module>)
    350/5    0.004    0.000    3.253    0.651 <frozen importlib._bootstrap>:986(_find_and_load)
    347/5    0.003    0.000    3.252    0.650 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    329/6    0.003    0.000    3.249    0.542 <frozen importlib._bootstrap>:650(_load_unlocked)
    492/6    0.001    0.000    3.248    0.541 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   436/17    0.001    0.000    3.043    0.179 {built-in method builtins.__import__}
    279/6    0.002    0.000    3.015    0.503 <frozen importlib._bootstrap_external>:842(exec_module)
   465/58    0.029    0.000    2.879    0.050 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.001    0.001    2.333    2.333 pyplot.py:4(<module>)
1111/1005    0.016    0.000    1.985    0.002 {built-in method builtins.__build_class__}
      100    0.002    0.000    1.622    0.016 artist.py:159(_update_set_signature_and_docstring)
       99    0.001    0.000    1.593    0.016 artist.py:126(__init_subclass__)
      112    0.001    0.000    1.294    0.012 artist.py:1841(kwdoc)
        1    0.000    0.000    1.239    1.239 figure.py:1(<module>)
      112    0.019    0.000    1.090    0.010 artist.py:1602(pprint_setters)
     4050    0.052    0.000    0.902    0.000 artist.py:1474(get_valid_values)
        1    0.000    0.000    0.885    0.885 colorbar.py:1(<module>)
     6793    0.420    0.000    0.825    0.000 inspect.py:625(cleandoc)
     6764    0.029    0.000    0.733    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.546    0.546 LebwohlLasher.py:310(main)
       50    0.133    0.003    0.546    0.011 LebwohlLasher.py:260(MC_parallel_step)
        1    0.000    0.000    0.483    0.483 contour.py:1(<module>)
        1    0.000    0.000    0.463    0.463 backend_bases.py:1(<module>)
      213    0.002    0.000    0.457    0.002 artist.py:1426(__init__)
      213    0.046    0.000    0.453    0.002 artist.py:1446(get_aliases)
        1    0.000    0.000    0.414    0.414 text.py:1(<module>)
        1    0.000    0.000    0.367    0.367 collections.py:1(<module>)
        1    0.000    0.000    0.349    0.349 _axes.py:1(<module>)
    40000    0.302    0.000    0.302    0.000 LebwohlLasher.py:134(one_energy)
        1    0.000    0.000    0.301    0.301 _base.py:1(<module>)
        1    0.000    0.000    0.301    0.301 patches.py:1(<module>)
        1    0.000    0.000    0.285    0.285 axes3d.py:1(<module>)
     7092    0.024    0.000    0.268    0.000 re.py:289(_compile)
        9    0.000    0.000    0.266    0.030 _base.py:734(__init_subclass__)
    29/24    0.000    0.000    0.257    0.011 <frozen importlib._bootstrap_external>:1172(exec_module)
    29/24    0.233    0.008    0.257    0.011 {built-in method _imp.exec_dynamic}
      213    0.095    0.000    0.252    0.001 artist.py:1521(get_setters)
      206    0.003    0.000    0.229    0.001 sre_compile.py:759(compile)
      213    0.114    0.001    0.227    0.001 artist.py:1457(<listcomp>)
      132    0.001    0.000    0.215    0.002 _docstring.py:38(__call__)
  122/111    0.001    0.000    0.209    0.002 _docstring.py:79(__call__)
138302/137188    0.202    0.000    0.205    0.000 {built-in method builtins.len}
     5304    0.023    0.000    0.204    0.000 re.py:198(search)
        1    0.000    0.000    0.180    0.180 rcsetup.py:1(<module>)
       12    0.000    0.000    0.159    0.013 _docstring.py:51(__missing__)
        1    0.000    0.000    0.152    0.152 _axes.py:46(Axes)
       30    0.018    0.001    0.150    0.005 __init__.py:835(_rc_params_in_file)
        2    0.000    0.000    0.146    0.073 core.py:1(<module>)
      206    0.002    0.000    0.141    0.001 sre_parse.py:937(parse)
        1    0.000    0.000    0.139    0.139 art3d.py:5(<module>)
  450/206    0.004    0.000    0.137    0.001 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.134    0.134 _fontconfig_pattern.py:1(<module>)
  484/209    0.033    0.000    0.133    0.001 sre_parse.py:493(_parse)
        1    0.000    0.000    0.131    0.131 __init__.py:25(<module>)
        1    0.000    0.000    0.128    0.128 geo.py:1(<module>)
    86970    0.127    0.000    0.127    0.000 {method 'startswith' of 'str' objects}
      657    0.002    0.000    0.118    0.000 inspect.py:3103(signature)
      657    0.002    0.000    0.116    0.000 inspect.py:2851(from_callable)
  721/657    0.009    0.000    0.114    0.000 inspect.py:2218(_signature_from_callable)
      341    0.005    0.000    0.110    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.110    0.110 offsetbox.py:1(<module>)
    73970    0.108    0.000    0.108    0.000 {method 'lstrip' of 'str' objects}
      279    0.005    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        2    0.000    0.000    0.096    0.048 core.py:235(read_style_directory)
        1    0.000    0.000    0.095    0.095 axis.py:1(<module>)
      321    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
    53362    0.079    0.000    0.093    0.000 {built-in method builtins.isinstance}
    63098    0.093    0.000    0.093    0.000 {built-in method builtins.getattr}
       92    0.004    0.000    0.093    0.001 __init__.py:1372(_preprocess_data)
  322/321    0.004    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    0.091    0.091 polar.py:1(<module>)
       58    0.000    0.000    0.088    0.002 re.py:250(compile)
     6341    0.038    0.000    0.087    0.000 inspect.py:2489(__init__)
      969    0.005    0.000    0.086    0.000 __init__.py:699(__setitem__)
      565    0.012    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      637    0.017    0.000    0.081    0.000 inspect.py:2124(_signature_from_function)
      206    0.001    0.000    0.081    0.000 sre_compile.py:598(_code)
      929    0.004    0.000    0.079    0.000 artist.py:1546(is_alias)
        1    0.000    0.000    0.078    0.078 lines.py:1(<module>)
        1    0.000    0.000    0.077    0.077 numeric.py:1(<module>)
    52353    0.077    0.000    0.077    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.075    0.075 image.py:1(<module>)
        2    0.000    0.000    0.071    0.035 shape_base.py:1(<module>)
      314    0.002    0.000    0.068    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.067    0.067 fromnumeric.py:1(<module>)
 1080/206    0.023    0.000    0.065    0.000 sre_compile.py:71(_compile)
      755    0.016    0.000    0.063    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.062    0.062 axis3d.py:5(<module>)
       47    0.001    0.000    0.061    0.001 __init__.py:1328(_add_data_doc)
      279    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      328    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.057    0.057 quiver.py:1(<module>)
     3028    0.013    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      429    0.003    0.000    0.056    0.000 artist.py:1540(number_of_parameters)
     4050    0.024    0.000    0.054    0.000 artist.py:1559(aliased_name)
      279    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
      100    0.006    0.000    0.053    0.001 artist.py:170(<listcomp>)
      908    0.023    0.000    0.050    0.000 inspect.py:2772(__init__)
    15100    0.049    0.000    0.049    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    31173    0.045    0.000    0.045    0.000 {method 'append' of 'list' objects}
15287/15274    0.031    0.000    0.044    0.000 {method 'join' of 'str' objects}
    29006    0.042    0.000    0.042    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.041    0.041 core.py:4(<module>)
       18    0.001    0.000    0.039    0.002 rcsetup.py:721(validate_cycler)
     4401    0.039    0.000    0.039    0.000 {built-in method builtins.setattr}
     6786    0.023    0.000    0.039    0.000 enum.py:313(__call__)
     3028    0.014    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    20000    0.038    0.000    0.038    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.037    0.037 colors.py:1(<module>)
        1    0.000    0.000    0.036    0.036 common.py:2(<module>)
        1    0.000    0.000    0.035    0.035 common.py:8(pyparsing_common)
     7495    0.022    0.000    0.034    0.000 sre_parse.py:164(__getitem__)
      100    0.001    0.000    0.034    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.034    0.034 multiarray.py:1(<module>)
        1    0.000    0.000    0.033    0.033 artist.py:1(<module>)
        1    0.000    0.000    0.033    0.033 table.py:9(<module>)
      409    0.004    0.000    0.032    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.032    0.032 version.py:5(<module>)
        1    0.000    0.000    0.031    0.031 overrides.py:1(<module>)
        1    0.000    0.000    0.030    0.030 backend_tools.py:1(<module>)
        3    0.000    0.000    0.030    0.010 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.030    0.005 patches.py:2226(pprint_styles)
