         1023135 function calls (1008999 primitive calls) in 3.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1681    0.005    0.000    0.007    0.000 inspect.py:158(isfunction)
     3238    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
   465/58    0.005    0.000    2.818    0.049 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      720    0.005    0.000    0.010    0.000 inspect.py:493(unwrap)
      969    0.005    0.000    0.085    0.000 __init__.py:699(__setitem__)
      279    0.005    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:914(get_code)
  450/206    0.004    0.000    0.134    0.001 sre_parse.py:435(_parse_sub)
     1550    0.004    0.000    0.007    0.000 sre_parse.py:286(tell)
 1435/169    0.004    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
  322/321    0.004    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      733    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
 1435/169    0.004    0.000    0.009    0.000 abc.py:100(__subclasscheck__)
      279    0.004    0.000    0.004    0.000 {built-in method io.open_code}
     2239    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
    350/5    0.004    0.000    3.183    0.637 <frozen importlib._bootstrap>:986(_find_and_load)
     1326    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      279    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     1038    0.004    0.000    0.006    0.000 typing.py:646(_is_dunder)
      206    0.004    0.000    0.015    0.000 sre_compile.py:536(_compile_info)
    326/1    0.004    0.000    3.873    3.873 {built-in method builtins.exec}
      850    0.004    0.000    0.014    0.000 colors.py:213(_is_nth_color)
      929    0.004    0.000    0.078    0.000 artist.py:1546(is_alias)
      169    0.004    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
       92    0.004    0.000    0.087    0.001 __init__.py:1372(_preprocess_data)
      837    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1186    0.004    0.000    0.014    0.000 abc.py:96(__instancecheck__)
      409    0.003    0.000    0.032    0.000 rcsetup.py:307(validate_color)
        1    0.003    0.003    0.007    0.007 helpers.py:692(<dictcomp>)
      462    0.003    0.000    0.013    0.000 font_manager.py:923(_json_decode)
    329/6    0.003    0.000    3.180    0.530 <frozen importlib._bootstrap>:650(_load_unlocked)
     2206    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
   256/18    0.003    0.000    0.010    0.001 ast.py:373(generic_visit)
     1038    0.003    0.000    0.009    0.000 typing.py:762(__setattr__)
     2216    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
    347/5    0.003    0.000    3.182    0.636 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      409    0.003    0.000    0.007    0.000 copy.py:258(_reconstruct)
      647    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      284    0.003    0.000    0.037    0.000 overrides.py:88(verify_matching_signatures)
      344    0.003    0.000    0.012    0.000 inspect.py:544(_finddoc)
       39    0.003    0.000    0.008    0.000 __init__.py:313(namedtuple)
     2069    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
     2069    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
      169    0.003    0.000    0.009    0.000 colors.py:307(_to_rgba_no_colorcycle)
      631    0.003    0.000    0.007    0.000 {built-in method builtins.max}
      206    0.003    0.000    0.225    0.001 sre_compile.py:759(compile)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:863(__enter__)
      141    0.003    0.000    0.015    0.000 typing.py:659(__init__)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
      279    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     1866    0.003    0.000    0.003    0.000 __init__.py:835(<lambda>)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
     1802    0.003    0.000    0.003    0.000 {method 'setdefault' of 'dict' objects}
      597    0.003    0.000    0.009    0.000 sre_compile.py:423(_simple)
      429    0.003    0.000    0.055    0.000 artist.py:1540(number_of_parameters)
      460    0.002    0.000    0.006    0.000 posixpath.py:60(isabs)
      314    0.002    0.000    0.056    0.000 overrides.py:170(decorator)
      160    0.002    0.000    0.006    0.000 shape_base.py:612(column_stack)
     1116    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      249    0.002    0.000    0.006    0.000 typing.py:120(_type_check)
      842    0.002    0.000    0.004    0.000 sre_parse.py:81(groups)
      328    0.002    0.000    0.051    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        2    0.002    0.001    0.005    0.002 unicode.py:63(<listcomp>)
      788    0.002    0.000    0.004    0.000 __init__.py:954(<lambda>)
   273/11    0.002    0.000    0.015    0.001 core.py:776(_parseNoCache)
      778    0.002    0.000    0.004    0.000 __init__.py:678(_get)
      775    0.002    0.000    0.004    0.000 inspect.py:513(_is_wrapper)
      383    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      614    0.002    0.000    0.017    0.000 _inspect.py:65(getargs)
      279    0.002    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       17    0.002    0.000    0.004    0.000 enum.py:200(<setcomp>)
      344    0.002    0.000    0.004    0.000 inspect.py:534(_findclass)
     1525    0.002    0.000    0.003    0.000 {built-in method posix.fspath}
     1378    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        1    0.002    0.002    0.002    0.002 {built-in method posix.read}
     1485    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
      308    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      351    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      657    0.002    0.000    0.115    0.000 inspect.py:3103(signature)
     1186    0.002    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
     1281    0.002    0.000    0.002    0.000 __init__.py:658(_set)
      213    0.002    0.000    0.448    0.002 artist.py:1426(__init__)
      657    0.002    0.000    0.113    0.000 inspect.py:2851(from_callable)
      412    0.002    0.000    0.026    0.000 colors.py:218(is_color_like)
      100    0.002    0.000    1.593    0.016 artist.py:159(_update_set_signature_and_docstring)
       17    0.002    0.000    0.010    0.001 enum.py:157(__new__)
      558    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      618    0.002    0.000    0.003    0.000 _inspect.py:13(ismethod)
      695    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      438    0.002    0.000    0.018    0.000 colors.py:265(to_rgba)
      206    0.002    0.000    0.139    0.001 sre_parse.py:937(parse)
      614    0.002    0.000    0.015    0.000 _inspect.py:41(iscode)
      618    0.002    0.000    0.003    0.000 _inspect.py:26(isfunction)
      698    0.002    0.000    0.002    0.000 ast.py:210(iter_fields)
      392    0.002    0.000    0.005    0.000 re.py:203(sub)
      188    0.002    0.000    0.002    0.000 colors.py:1101(<listcomp>)
     1119    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1194    0.002    0.000    0.002    0.000 inspect.py:2857(parameters)
       26    0.002    0.000    3.149    0.121 __init__.py:1(<module>)
      583    0.002    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      101    0.002    0.000    0.013    0.000 deprecation.py:128(deprecate)
     1102    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     1141    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      253    0.002    0.000    0.003    0.000 sre_parse.py:355(_escape)
      568    0.002    0.000    0.003    0.000 <string>:1(__new__)
      560    0.002    0.000    0.002    0.000 inspect.py:72(isclass)
  455/235    0.002    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      465    0.002    0.000    0.004    0.000 __init__.py:729(__getitem__)
      351    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      350    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
    279/6    0.002    0.000    2.925    0.487 <frozen importlib._bootstrap_external>:842(exec_module)
  754/373    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     1078    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       63    0.002    0.000    0.005    0.000 inspect.py:3057(__str__)
      241    0.002    0.000    0.023    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      274    0.001    0.000    0.003    0.000 results.py:136(__new__)
       63    0.001    0.000    0.008    0.000 core.py:3783(__init__)
      100    0.001    0.000    0.033    0.000 deprecation.py:416(make_keyword_only)
    492/6    0.001    0.000    3.179    0.530 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      409    0.001    0.000    0.002    0.000 function_base.py:346(iterable)
      308    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      308    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
   436/17    0.001    0.000    2.983    0.175 {built-in method builtins.__import__}
        1    0.001    0.001    0.004    0.004 __init__.py:793(copy)
      317    0.001    0.000    0.002    0.000 function_base.py:451(_needs_add_docstring)
        2    0.001    0.001    0.014    0.007 decoder.py:343(raw_decode)
      317    0.001    0.000    0.004    0.000 function_base.py:469(_add_docstring)
