#=====================================================
# File created:        Wed-25-Oct-2023-at-03-53-48PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.783253
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2422.3700  0.2524 
   00001    0.6804   -3629.8264  0.2590 
   00002    0.6332   -4579.1104  0.2587 
   00003    0.6060   -5176.6951  0.2576 
   00004    0.5528   -5611.4542  0.2589 
   00005    0.5396   -5930.9793  0.2624 
   00006    0.5148   -6244.4548  0.2661 
   00007    0.5048   -6496.7711  0.2663 
   00008    0.4964   -6580.9273  0.2677 
   00009    0.5008   -6746.7728  0.2698 
   00010    0.4888   -6891.4608  0.2738 
   00011    0.4876   -7068.2466  0.2729 
   00012    0.4632   -7198.0748  0.2748 
   00013    0.4680   -7235.9951  0.2754 
   00014    0.4660   -7366.1911  0.2766 
   00015    0.4516   -7437.5015  0.2779 
   00016    0.4664   -7515.9043  0.2819 
   00017    0.4504   -7546.3044  0.2831 
   00018    0.4452   -7588.6659  0.2841 
   00019    0.4700   -7597.6873  0.2852 
   00020    0.4388   -7646.1505  0.2834 
   00021    0.4616   -7634.8125  0.2841 
   00022    0.4364   -7666.1275  0.2854 
   00023    0.4520   -7681.5146  0.2872 
   00024    0.4316   -7742.4291  0.2904 
   00025    0.4496   -7789.5841  0.2921 
   00026    0.4432   -7760.6164  0.2927 
   00027    0.4436   -7756.0405  0.2945 
   00028    0.4280   -7808.8640  0.2966 
   00029    0.4420   -7832.0769  0.2964 
   00030    0.4324   -7834.8854  0.2982 
   00031    0.4392   -7888.3092  0.2994 
   00032    0.4440   -7894.5765  0.3007 
   00033    0.4364   -7917.3976  0.3019 
   00034    0.4524   -7920.1728  0.3022 
   00035    0.4412   -7967.1117  0.3024 
   00036    0.4272   -7999.1396  0.3032 
   00037    0.4260   -8036.3684  0.3041 
   00038    0.4288   -8064.2007  0.3025 
   00039    0.4360   -8038.6595  0.3044 
   00040    0.4412   -8117.8610  0.3052 
   00041    0.4528   -8058.7125  0.3070 
   00042    0.4148   -8058.1723  0.3090 
   00043    0.4340   -8085.7357  0.3090 
   00044    0.4116   -8071.0411  0.3099 
   00045    0.4304   -8138.1276  0.3109 
   00046    0.4044   -8131.3664  0.3119 
   00047    0.4284   -8176.6895  0.3133 
   00048    0.4056   -8161.2423  0.3132 
   00049    0.4304   -8140.1532  0.3137 
   00050    0.4404   -8123.3357  0.3160 
