#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-10-44-44AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.729088
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.698000   -2890.7566  0.2707 
   00002    0.608400   -3077.1395  0.2686 
   00003    0.588400   -3177.4745  0.2768 
   00004    0.563600   -3308.0701  0.2809 
   00005    0.536000   -3433.1431  0.2807 
   00006    0.498000   -3473.4918  0.2892 
   00007    0.500000   -3511.6562  0.2913 
   00008    0.497200   -3577.9084  0.2946 
   00009    0.500800   -3604.4582  0.2852 
   00010    0.473200   -3643.1739  0.2833 
   00011    0.480000   -3665.0262  0.2845 
   00012    0.493600   -3683.1985  0.2841 
   00013    0.471200   -3688.3477  0.2839 
   00014    0.447600   -3734.5105  0.2865 
   00015    0.454400   -3747.6669  0.2922 
   00016    0.451600   -3786.6694  0.2945 
   00017    0.462000   -3823.8124  0.2966 
   00018    0.430800   -3854.1516  0.2971 
   00019    0.461600   -3854.3189  0.2977 
   00020    0.429600   -3861.3690  0.2972 
   00021    0.447600   -3868.6221  0.2997 
   00022    0.445200   -3911.3449  0.3007 
   00023    0.449600   -3930.6687  0.3021 
   00024    0.444800   -3921.5160  0.3031 
   00025    0.448000   -3902.7503  0.3001 
   00026    0.448800   -3925.9300  0.2970 
   00027    0.434400   -3904.2705  0.2961 
   00028    0.442800   -3912.8781  0.2954 
   00029    0.454000   -3927.6989  0.2991 
   00030    0.451200   -3918.0523  0.3006 
   00031    0.421200   -3931.6510  0.3039 
   00032    0.448400   -3926.6082  0.3060 
   00033    0.436400   -3950.9794  0.3053 
   00034    0.439200   -3956.0412  0.3043 
   00035    0.436400   -3930.5789  0.3008 
   00036    0.420000   -3933.9435  0.2977 
   00037    0.416800   -3957.6268  0.3007 
   00038    0.423600   -3933.9141  0.2973 
   00039    0.417600   -3937.4727  0.2950 
   00040    0.427200   -3933.9136  0.2960 
   00041    0.434800   -3944.4346  0.2941 
   00042    0.426400   -3919.6943  0.2939 
   00043    0.426000   -3939.2009  0.2946 
   00044    0.410800   -3948.0458  0.2955 
   00045    0.445600   -3966.9829  0.2978 
   00046    0.418000   -3963.4866  0.2971 
   00047    0.431600   -3968.4569  0.2985 
   00048    0.438000   -3965.8824  0.2962 
   00049    0.420400   -4014.0365  0.2943 
   00050    0.423600   -4027.4926  0.2942 
