#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-11-23-43AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.925951
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.691200   -2566.2733  0.2711 
   00002    0.633600   -2566.2733  0.2711 
   00003    0.598400   -2566.2733  0.2711 
   00004    0.567600   -2566.2733  0.2711 
   00005    0.549200   -2566.2733  0.2711 
   00006    0.524000   -2566.2733  0.2711 
   00007    0.504800   -2566.2733  0.2711 
   00008    0.485600   -2566.2733  0.2711 
   00009    0.471600   -2566.2733  0.2711 
   00010    0.459200   -2566.2733  0.2711 
   00011    0.466800   -2566.2733  0.2711 
   00012    0.452800   -2566.2733  0.2711 
   00013    0.454800   -2566.2733  0.2711 
   00014    0.465200   -2566.2733  0.2711 
   00015    0.454800   -2566.2733  0.2711 
   00016    0.452800   -2566.2733  0.2711 
   00017    0.446000   -2566.2733  0.2711 
   00018    0.444000   -2566.2733  0.2711 
   00019    0.441600   -2566.2733  0.2711 
   00020    0.438400   -2566.2733  0.2711 
   00021    0.436400   -2566.2733  0.2711 
   00022    0.449200   -2566.2733  0.2711 
   00023    0.445200   -2566.2733  0.2711 
   00024    0.433600   -2566.2733  0.2711 
   00025    0.433600   -2566.2733  0.2711 
   00026    0.453200   -2566.2733  0.2711 
   00027    0.439600   -2566.2733  0.2711 
   00028    0.440400   -2566.2733  0.2711 
   00029    0.440800   -2566.2733  0.2711 
   00030    0.425600   -2566.2733  0.2711 
   00031    0.440800   -2566.2733  0.2711 
   00032    0.423200   -2566.2733  0.2711 
   00033    0.445200   -2566.2733  0.2711 
   00034    0.432800   -2566.2733  0.2711 
   00035    0.434000   -2566.2733  0.2711 
   00036    0.446400   -2566.2733  0.2711 
   00037    0.439600   -2566.2733  0.2711 
   00038    0.420000   -2566.2733  0.2711 
   00039    0.412000   -2566.2733  0.2711 
   00040    0.428800   -2566.2733  0.2711 
   00041    0.425200   -2566.2733  0.2711 
   00042    0.434800   -2566.2733  0.2711 
   00043    0.434000   -2566.2733  0.2711 
   00044    0.422800   -2566.2733  0.2711 
   00045    0.417200   -2566.2733  0.2711 
   00046    0.430400   -2566.2733  0.2711 
   00047    0.407200   -2566.2733  0.2711 
   00048    0.437600   -2566.2733  0.2711 
   00049    0.435200   -2566.2733  0.2711 
   00050    0.430000   -2566.2733  0.2711 
