#=====================================================
# File created:        Wed-08-Nov-2023-at-03-15-09AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9942.4977  0.2565 
   00001    0.6884  -13886.0422  0.2578 
   00002    0.6356  -16559.8233  0.2601 
   00003    0.6027  -18558.6046  0.2584 
   00004    0.5874  -20113.6630  0.2653 
   00005    0.5618  -21479.4619  0.2716 
   00006    0.5534  -22527.2287  0.2746 
   00007    0.5334  -23495.6930  0.2815 
   00008    0.5207  -24260.4449  0.2803 
   00009    0.5059  -24892.1512  0.2805 
   00010    0.5020  -25599.2436  0.2786 
   00011    0.4972  -26142.9459  0.2790 
   00012    0.4892  -26605.2965  0.2833 
   00013    0.4912  -27057.4501  0.2865 
   00014    0.4745  -27352.7644  0.2887 
   00015    0.4803  -27754.3257  0.2897 
   00016    0.4673  -28076.7539  0.2924 
   00017    0.4677  -28383.5278  0.2957 
   00018    0.4672  -28582.0723  0.2959 
   00019    0.4675  -28767.4705  0.3001 
   00020    0.4669  -29094.5957  0.3008 
   00021    0.4555  -29321.9894  0.3018 
   00022    0.4592  -29506.5389  0.3014 
   00023    0.4557  -29717.3180  0.3037 
   00024    0.4584  -29766.4436  0.3029 
   00025    0.4605  -29883.0063  0.3090 
   00026    0.4452  -30071.6541  0.3131 
   00027    0.4555  -30170.4645  0.3141 
   00028    0.4480  -30342.4681  0.3195 
   00029    0.4581  -30454.8146  0.3207 
   00030    0.4506  -30599.4723  0.3236 
   00031    0.4447  -30603.6694  0.3263 
   00032    0.4375  -30695.6072  0.3283 
   00033    0.4557  -30750.4474  0.3291 
   00034    0.4533  -30848.4444  0.3344 
   00035    0.4417  -30928.9931  0.3354 
   00036    0.4427  -31016.7101  0.3337 
   00037    0.4397  -31112.3908  0.3376 
   00038    0.4387  -31117.6507  0.3382 
   00039    0.4417  -31168.1384  0.3346 
   00040    0.4377  -31091.8039  0.3342 
   00041    0.4407  -31164.8456  0.3342 
   00042    0.4367  -31243.0293  0.3328 
   00043    0.4386  -31479.8860  0.3360 
   00044    0.4354  -31403.2970  0.3376 
   00045    0.4413  -31495.5778  0.3362 
   00046    0.4302  -31525.8650  0.3365 
   00047    0.4323  -31577.5627  0.3381 
   00048    0.4353  -31631.5196  0.3407 
   00049    0.4368  -31613.9464  0.3400 
   00050    0.4359  -31582.0582  0.3436 
