#=====================================================
# File created:        Thu-19-Oct-2023-at-12-39-55PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.092686
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2479.7942  -0.2423 
   00001    0.6684   -2442.4785  -0.2384 
   00002    0.6716   -2387.8053  -0.2478 
   00003    0.6840   -2470.7770  -0.2455 
   00004    0.6708   -2415.4799  -0.2435 
   00005    0.6704   -2521.6433  -0.2228 
   00006    0.6696   -2466.3538  -0.2336 
   00007    0.6664   -2545.9720  -0.2307 
   00008    0.6792   -2434.8246  -0.2334 
   00009    0.6728   -2466.9709  -0.2404 
   00010    0.6900   -2441.8998  -0.2424 
   00011    0.6728   -2408.2549  -0.2427 
   00012    0.6888   -2440.1582  -0.2267 
   00013    0.6732   -2542.5515  -0.2434 
   00014    0.6560   -2555.6497  -0.2383 
   00015    0.6800   -2481.7476  -0.2336 
   00016    0.6572   -2490.6965  -0.2345 
   00017    0.6792   -2444.5087  -0.2285 
   00018    0.6640   -2371.9668  -0.2262 
   00019    0.6696   -2424.3841  -0.2222 
   00020    0.6780   -2431.0696  -0.2384 
   00021    0.6572   -2305.3177  -0.2236 
   00022    0.6640   -2326.7311  -0.2207 
   00023    0.6968   -2499.5552  -0.2312 
   00024    0.6660   -2429.0648  -0.2354 
   00025    0.6776   -2512.9948  -0.2270 
   00026    0.6772   -2545.6195  -0.2449 
   00027    0.6716   -2501.7116  -0.2357 
   00028    0.6472   -2458.2114  -0.2443 
   00029    0.6756   -2455.5593  -0.2312 
   00030    0.6816   -2585.9877  -0.2225 
   00031    0.6744   -2639.1584  -0.2264 
   00032    0.6612   -2545.1419  -0.2241 
   00033    0.6676   -2499.4254  -0.2312 
   00034    0.6788   -2423.8804  -0.2388 
   00035    0.6780   -2479.1644  -0.2359 
   00036    0.6844   -2499.8447  -0.2305 
   00037    0.6744   -2517.4211  -0.2352 
   00038    0.6676   -2432.5985  -0.2376 
   00039    0.6824   -2521.2115  -0.2422 
   00040    0.6664   -2360.0219  -0.2378 
   00041    0.6948   -2466.9442  -0.2488 
   00042    0.6816   -2416.9611  -0.2447 
   00043    0.6912   -2406.7283  -0.2421 
   00044    0.6876   -2413.3384  -0.2298 
   00045    0.6772   -2502.6259  -0.2262 
   00046    0.6764   -2543.9046  -0.2309 
   00047    0.6912   -2580.2961  -0.2373 
   00048    0.6576   -2572.0632  -0.2230 
   00049    0.6636   -2668.4740  -0.2326 
   00050    0.6736   -2561.8100  -0.2451 
