#=====================================================
# File created:        Wed-25-Oct-2023-at-12-47-42PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        20.832383
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2527.4242  0.2593 
   00001    0.6724   -3644.6567  0.2593 
   00002    0.6344   -4436.8849  0.2602 
   00003    0.5976   -5066.0638  0.2587 
   00004    0.5680   -5549.0642  0.2655 
   00005    0.5180   -5830.5486  0.2674 
   00006    0.5168   -6119.5573  0.2616 
   00007    0.5180   -6373.8661  0.2594 
   00008    0.5152   -6546.7399  0.2636 
   00009    0.4868   -6702.5948  0.2559 
   00010    0.4672   -6891.6647  0.2612 
   00011    0.4652   -6951.0409  0.2598 
   00012    0.4752   -7050.7020  0.2656 
   00013    0.4552   -7191.0233  0.2618 
   00014    0.4596   -7261.8436  0.2741 
   00015    0.4484   -7313.4455  0.2752 
   00016    0.4640   -7349.6800  0.2784 
   00017    0.4588   -7440.5282  0.2746 
   00018    0.4652   -7477.4697  0.2762 
   00019    0.4340   -7526.9534  0.2772 
   00020    0.4468   -7590.4657  0.2747 
   00021    0.4408   -7673.5921  0.2746 
   00022    0.4472   -7651.4988  0.2719 
   00023    0.4536   -7649.7228  0.2705 
   00024    0.4312   -7635.2278  0.2717 
   00025    0.4548   -7694.7021  0.2790 
   00026    0.4436   -7743.6863  0.2799 
   00027    0.4448   -7789.6814  0.2895 
   00028    0.4408   -7858.5240  0.2988 
   00029    0.4348   -7846.4141  0.3064 
   00030    0.4388   -7878.4932  0.3092 
   00031    0.4300   -7892.4724  0.3019 
   00032    0.4268   -7894.2835  0.3027 
   00033    0.4248   -7922.0511  0.3077 
   00034    0.4444   -7918.3187  0.2998 
   00035    0.4236   -7917.8117  0.3003 
   00036    0.4420   -7911.9227  0.3047 
   00037    0.4380   -7960.2629  0.3066 
   00038    0.4380   -7952.3431  0.3133 
   00039    0.4268   -7941.3176  0.3216 
   00040    0.4312   -7993.0795  0.3176 
   00041    0.4164   -8010.6945  0.3114 
   00042    0.4480   -8025.3366  0.3093 
   00043    0.4180   -8015.7510  0.3154 
   00044    0.4272   -8035.8350  0.3107 
   00045    0.4104   -8042.6064  0.3118 
   00046    0.4428   -8043.1834  0.3197 
   00047    0.4336   -8011.7642  0.3235 
   00048    0.4320   -8038.6553  0.3313 
   00049    0.4264   -8024.2419  0.3262 
   00050    0.4336   -8007.9341  0.3341 
