#=====================================================
# File created:        Wed-08-Nov-2023-at-04-02-28AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        15.553576
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9942.0941  0.2588 
   00001    0.2239  -13901.3925  0.2583 
   00002    0.2284  -16676.9884  0.2599 
   00003    0.2198  -18826.8922  0.2608 
   00004    0.2209  -20547.7289  0.2613 
   00005    0.2144  -21934.6060  0.2621 
   00006    0.2273  -22885.4428  0.2584 
   00007    0.2246  -23827.2075  0.2618 
   00008    0.2183  -24596.5997  0.2570 
   00009    0.2209  -25203.1186  0.2570 
   00010    0.2145  -25843.1332  0.2544 
   00011    0.2138  -26259.4653  0.2536 
   00012    0.2152  -26783.0091  0.2562 
   00013    0.2213  -27122.2442  0.2576 
   00014    0.2076  -27540.0347  0.2584 
   00015    0.2160  -27848.1850  0.2599 
   00016    0.2123  -28205.5787  0.2621 
   00017    0.2099  -28475.0380  0.2633 
   00018    0.2170  -28689.9713  0.2691 
   00019    0.2118  -28901.0796  0.2738 
   00020    0.2096  -29118.3442  0.2769 
   00021    0.2139  -29288.3590  0.2756 
   00022    0.2099  -29491.1473  0.2776 
   00023    0.2097  -29775.9295  0.2809 
   00024    0.2165  -29749.9496  0.2772 
   00025    0.2052  -29897.7326  0.2764 
   00026    0.2049  -30049.8381  0.2751 
   00027    0.2084  -30255.4972  0.2785 
   00028    0.2077  -30296.7601  0.2783 
   00029    0.2055  -30435.0569  0.2787 
   00030    0.2105  -30508.3125  0.2816 
   00031    0.2009  -30607.4785  0.2796 
   00032    0.2056  -30782.2754  0.2779 
   00033    0.2089  -30775.3717  0.2794 
   00034    0.2045  -30863.2320  0.2806 
   00035    0.2053  -31073.9137  0.2800 
   00036    0.1986  -31234.7257  0.2813 
   00037    0.2151  -31120.5466  0.2809 
   00038    0.2076  -31176.2150  0.2801 
   00039    0.2021  -31239.6849  0.2839 
   00040    0.2146  -31055.5025  0.2817 
   00041    0.2045  -31083.1018  0.2847 
   00042    0.2045  -31248.7343  0.2876 
   00043    0.2023  -31379.4757  0.2899 
   00044    0.2040  -31425.7425  0.2867 
   00045    0.2047  -31394.8961  0.2869 
   00046    0.2024  -31449.0616  0.2846 
   00047    0.1944  -31676.1041  0.2878 
   00048    0.2115  -31620.6269  0.2896 
   00049    0.2098  -31600.8644  0.2928 
   00050    0.2038  -31613.1470  0.2930 
