#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Wed-18-Oct-2023-at-04-10-44PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.478613
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2483.3736  0.2606 
   00001    0.682800   -3096.7180  0.2543 
   00002    0.636000   -3533.8689  0.2543 
   00003    0.588400   -3878.2776  0.2529 
   00004    0.556400   -4090.5658  0.2556 
   00005    0.538400   -4254.1804  0.2644 
   00006    0.528000   -4424.5658  0.2649 
   00007    0.516000   -4553.6387  0.2745 
   00008    0.488400   -4603.4205  0.2754 
   00009    0.502400   -4704.9561  0.2849 
   00010    0.477200   -4756.1764  0.2865 
   00011    0.474000   -4852.6794  0.2893 
   00012    0.466000   -4910.9998  0.2863 
   00013    0.448400   -4948.3576  0.2893 
   00014    0.464400   -4985.7496  0.2882 
   00015    0.464800   -5004.2608  0.2928 
   00016    0.454400   -5063.8314  0.2962 
   00017    0.456800   -5096.3487  0.2949 
   00018    0.456400   -5091.7006  0.3015 
   00019    0.429200   -5092.7378  0.2989 
   00020    0.442800   -5118.4123  0.2983 
   00021    0.450400   -5133.7399  0.2991 
   00022    0.442400   -5142.2279  0.2968 
   00023    0.453600   -5170.3152  0.2933 
   00024    0.447200   -5130.6817  0.2962 
   00025    0.435600   -5128.9316  0.2991 
   00026    0.439600   -5160.3488  0.3076 
   00027    0.450400   -5176.3201  0.3126 
   00028    0.433600   -5185.2397  0.3178 
   00029    0.431600   -5176.3020  0.3188 
   00030    0.423200   -5224.0680  0.3253 
   00031    0.429600   -5238.1847  0.3220 
   00032    0.430000   -5217.4984  0.3239 
   00033    0.431200   -5247.9158  0.3243 
   00034    0.432000   -5271.5712  0.3232 
   00035    0.427600   -5254.7151  0.3263 
   00036    0.440400   -5230.7708  0.3244 
   00037    0.417600   -5246.6664  0.3222 
   00038    0.446400   -5243.3035  0.3253 
   00039    0.431200   -5257.9008  0.3244 
   00040    0.437200   -5264.5239  0.3254 
   00041    0.446800   -5281.1167  0.3243 
   00042    0.421200   -5252.7051  0.3258 
   00043    0.435200   -5275.6318  0.3298 
   00044    0.442400   -5243.7172  0.3219 
   00045    0.438000   -5283.7699  0.3242 
   00046    0.442800   -5303.1009  0.3239 
   00047    0.433600   -5278.1251  0.3244 
   00048    0.411200   -5285.9752  0.3246 
   00049    0.411600   -5291.5974  0.3220 
   00050    0.425200   -5332.4702  0.3178 
