#=====================================================
# File created:        Thu-19-Oct-2023-at-12-47-33PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.558578
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2511.6849  0.2655 
   00001    0.6580   -3296.8552  0.2624 
   00002    0.5776   -3831.0277  0.2700 
   00003    0.5624   -4119.2823  0.2628 
   00004    0.5312   -4384.9474  0.2557 
   00005    0.4896   -4555.3331  0.2627 
   00006    0.4964   -4782.8731  0.2633 
   00007    0.4832   -5021.2067  0.2573 
   00008    0.4548   -5160.8707  0.2566 
   00009    0.4516   -5300.6430  0.2671 
   00010    0.4264   -5368.3149  0.2702 
   00011    0.4276   -5486.7006  0.2692 
   00012    0.4488   -5614.9692  0.2693 
   00013    0.4344   -5650.1229  0.2790 
   00014    0.3856   -5651.5267  0.2783 
   00015    0.4068   -5688.2745  0.2947 
   00016    0.3940   -5807.2185  0.2985 
   00017    0.3996   -5907.3166  0.2982 
   00018    0.4120   -5914.3455  0.2989 
   00019    0.4124   -6021.1639  0.2998 
   00020    0.3892   -6039.5932  0.2962 
   00021    0.3828   -6038.1430  0.3034 
   00022    0.4000   -5999.9266  0.3031 
   00023    0.3656   -6016.7474  0.2995 
   00024    0.3980   -6106.4161  0.2943 
   00025    0.3712   -6117.3940  0.2982 
   00026    0.3696   -6112.8911  0.3004 
   00027    0.3636   -6188.8502  0.3001 
   00028    0.3680   -6159.4405  0.3030 
   00029    0.3964   -6205.4590  0.3013 
   00030    0.3800   -6192.9903  0.3024 
   00031    0.3760   -6208.2198  0.2974 
   00032    0.3464   -6182.1919  0.2873 
   00033    0.3700   -6164.6587  0.2939 
   00034    0.3736   -6196.4208  0.2981 
   00035    0.3816   -6165.9273  0.2847 
   00036    0.3820   -6221.1817  0.2847 
   00037    0.3672   -6267.3872  0.2816 
   00038    0.3744   -6255.5121  0.2784 
   00039    0.3504   -6281.6058  0.2746 
   00040    0.3760   -6318.5548  0.2847 
   00041    0.3644   -6369.5029  0.2824 
   00042    0.3800   -6360.4866  0.2799 
   00043    0.3600   -6429.0183  0.2850 
   00044    0.3636   -6348.0934  0.2848 
   00045    0.3696   -6361.8142  0.2847 
   00046    0.3704   -6373.0311  0.2917 
   00047    0.3660   -6347.4726  0.3020 
   00048    0.3824   -6350.4275  0.3038 
   00049    0.3584   -6397.1706  0.3046 
   00050    0.3676   -6381.4393  0.3036 
