#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Tue-07-Nov-2023-at-11-38-53AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.534585
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.686400   -2566.2733  0.2711 
   00002    0.617200   -2566.2733  0.2711 
   00003    0.590000   -2566.2733  0.2711 
   00004    0.563200   -2566.2733  0.2711 
   00005    0.547200   -2566.2733  0.2711 
   00006    0.508000   -2566.2733  0.2711 
   00007    0.505600   -2566.2733  0.2711 
   00008    0.490800   -2566.2733  0.2711 
   00009    0.472000   -2566.2733  0.2711 
   00010    0.483200   -2566.2733  0.2711 
   00011    0.478000   -2566.2733  0.2711 
   00012    0.472000   -2566.2733  0.2711 
   00013    0.451200   -2566.2733  0.2711 
   00014    0.465600   -2566.2733  0.2711 
   00015    0.465600   -2566.2733  0.2711 
   00016    0.459200   -2566.2733  0.2711 
   00017    0.448000   -2566.2733  0.2711 
   00018    0.464000   -2566.2733  0.2711 
   00019    0.450800   -2566.2733  0.2711 
   00020    0.437200   -2566.2733  0.2711 
   00021    0.448400   -2566.2733  0.2711 
   00022    0.444400   -2566.2733  0.2711 
   00023    0.443200   -2566.2733  0.2711 
   00024    0.444000   -2566.2733  0.2711 
   00025    0.448400   -2566.2733  0.2711 
   00026    0.415600   -2566.2733  0.2711 
   00027    0.430400   -2566.2733  0.2711 
   00028    0.449200   -2566.2733  0.2711 
   00029    0.426400   -2566.2733  0.2711 
   00030    0.416400   -2566.2733  0.2711 
   00031    0.426400   -2566.2733  0.2711 
   00032    0.428800   -2566.2733  0.2711 
   00033    0.432000   -2566.2733  0.2711 
   00034    0.430800   -2566.2733  0.2711 
   00035    0.443200   -2566.2733  0.2711 
   00036    0.443200   -2566.2733  0.2711 
   00037    0.437200   -2566.2733  0.2711 
   00038    0.441600   -2566.2733  0.2711 
   00039    0.471200   -2566.2733  0.2711 
   00040    0.433600   -2566.2733  0.2711 
   00041    0.443200   -2566.2733  0.2711 
   00042    0.448000   -2566.2733  0.2711 
   00043    0.429600   -2566.2733  0.2711 
   00044    0.424800   -2566.2733  0.2711 
   00045    0.440000   -2566.2733  0.2711 
   00046    0.436800   -2566.2733  0.2711 
   00047    0.434000   -2566.2733  0.2711 
   00048    0.427600   -2566.2733  0.2711 
   00049    0.441600   -2566.2733  0.2711 
   00050    0.421600   -2566.2733  0.2711 
