#=====================================================
# MPI Monte Carlo
# Num Procs:           6
# File created:        Wed-18-Oct-2023-at-04-22-30PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.376755
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2326.8785  0.2646 
   00001    0.693600   -2543.9752  0.2675 
   00002    0.604800   -2683.9354  0.2683 
   00003    0.582800   -2755.5248  0.2717 
   00004    0.563600   -2831.1948  0.2760 
   00005    0.545200   -2868.6756  0.2764 
   00006    0.522400   -2925.1582  0.2798 
   00007    0.512800   -2965.0233  0.2816 
   00008    0.480000   -3003.3828  0.2815 
   00009    0.484400   -3045.1584  0.2834 
   00010    0.479600   -3050.8675  0.2850 
   00011    0.460000   -3079.5170  0.2857 
   00012    0.461200   -3084.1741  0.2812 
   00013    0.474000   -3105.7078  0.2799 
   00014    0.471600   -3110.9421  0.2802 
   00015    0.470400   -3099.5254  0.2820 
   00016    0.472400   -3110.9444  0.2827 
   00017    0.433600   -3120.5025  0.2842 
   00018    0.453200   -3126.3454  0.2827 
   00019    0.459600   -3134.5050  0.2815 
   00020    0.450800   -3135.0448  0.2841 
   00021    0.433200   -3144.5293  0.2851 
   00022    0.454400   -3141.1727  0.2821 
   00023    0.437600   -3126.7581  0.2789 
   00024    0.444400   -3144.3892  0.2791 
   00025    0.442000   -3165.7512  0.2843 
   00026    0.444000   -3167.5977  0.2855 
   00027    0.445200   -3161.3458  0.2851 
   00028    0.452000   -3163.0596  0.2864 
   00029    0.436800   -3159.0629  0.2881 
   00030    0.440800   -3171.2085  0.2899 
   00031    0.445200   -3180.0857  0.2879 
   00032    0.435200   -3170.2030  0.2858 
   00033    0.442400   -3168.9426  0.2870 
   00034    0.446400   -3180.1158  0.2859 
   00035    0.427600   -3175.3622  0.2854 
   00036    0.441600   -3201.8813  0.2844 
   00037    0.422400   -3209.7989  0.2856 
   00038    0.435600   -3196.9052  0.2890 
   00039    0.425600   -3198.2894  0.2885 
   00040    0.444000   -3174.9432  0.2847 
   00041    0.444400   -3192.5231  0.2871 
   00042    0.433200   -3186.5666  0.2907 
   00043    0.433200   -3203.0938  0.2910 
   00044    0.430400   -3201.4445  0.2900 
   00045    0.432400   -3190.1566  0.2907 
   00046    0.425200   -3200.7002  0.2919 
   00047    0.430000   -3207.9524  0.2941 
   00048    0.436800   -3190.3103  0.2931 
   00049    0.436000   -3187.7749  0.2928 
   00050    0.444400   -3188.6151  0.2940 
