#=====================================================
# MPI Monte Carlo
# Num Procs:           1
# File created:        Wed-18-Oct-2023-at-04-24-01PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.094906
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2542.1216  0.2624 
   00001    0.688400   -3773.1687  0.2611 
   00002    0.644400   -4675.6493  0.2592 
   00003    0.577200   -5279.4779  0.2573 
   00004    0.556800   -5727.5475  0.2637 
   00005    0.515200   -5985.0395  0.2609 
   00006    0.518400   -6271.9782  0.2724 
   00007    0.500800   -6524.2611  0.2661 
   00008    0.490800   -6678.9901  0.2614 
   00009    0.493600   -6764.8193  0.2624 
   00010    0.485200   -6884.2067  0.2686 
   00011    0.470000   -7012.6208  0.2755 
   00012    0.471600   -7118.9511  0.2773 
   00013    0.478800   -7217.7427  0.2830 
   00014    0.471600   -7272.2610  0.2758 
   00015    0.444000   -7374.4762  0.2738 
   00016    0.458800   -7458.0588  0.2752 
   00017    0.452000   -7506.5734  0.2792 
   00018    0.439200   -7574.9291  0.2807 
   00019    0.458800   -7562.4047  0.2809 
   00020    0.455600   -7617.4727  0.2855 
   00021    0.437200   -7717.2397  0.2862 
   00022    0.441600   -7722.6456  0.2945 
   00023    0.453200   -7765.7598  0.3008 
   00024    0.448800   -7785.4558  0.3055 
   00025    0.431200   -7799.2848  0.3160 
   00026    0.432400   -7875.0720  0.3094 
   00027    0.434000   -7867.7432  0.2959 
   00028    0.437200   -7858.7680  0.3039 
   00029    0.424000   -7887.1099  0.3124 
   00030    0.416800   -7910.0430  0.3076 
   00031    0.454800   -7939.6012  0.3101 
   00032    0.425600   -7923.0032  0.3064 
   00033    0.425200   -7943.3657  0.3050 
   00034    0.422000   -7966.1011  0.3058 
   00035    0.440000   -7974.6330  0.3052 
   00036    0.431200   -8065.7007  0.3005 
   00037    0.417200   -8064.2717  0.3035 
   00038    0.432000   -8089.0883  0.3022 
   00039    0.421600   -8051.9766  0.2996 
   00040    0.423200   -8073.7124  0.2974 
   00041    0.429600   -8103.4041  0.2993 
   00042    0.427200   -8138.1682  0.3038 
   00043    0.428800   -8142.0832  0.3052 
   00044    0.413600   -8179.7892  0.3039 
   00045    0.421600   -8186.2902  0.3076 
   00046    0.426000   -8191.9885  0.3088 
   00047    0.432400   -8170.7263  0.3098 
   00048    0.421600   -8192.5106  0.3102 
   00049    0.407600   -8235.1513  0.3215 
   00050    0.432800   -8226.8220  0.3267 
