#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Tue-07-Nov-2023-at-11-56-13AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.243627
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.691200   -3171.8007  0.2673 
   00002    0.664800   -3777.8837  0.2720 
   00003    0.621200   -4165.1846  0.2790 
   00004    0.623200   -4505.4453  0.2893 
   00005    0.587200   -4785.8061  0.2919 
   00006    0.565200   -5047.9649  0.2937 
   00007    0.569600   -5260.5106  0.3014 
   00008    0.567600   -5426.0048  0.3108 
   00009    0.557600   -5615.6729  0.3202 
   00010    0.543200   -5747.1903  0.3154 
   00011    0.534400   -5887.1493  0.3176 
   00012    0.535600   -6027.6903  0.3148 
   00013    0.504400   -6159.5161  0.3195 
   00014    0.497200   -6323.2325  0.3248 
   00015    0.514000   -6384.9619  0.3243 
   00016    0.502800   -6465.8479  0.3226 
   00017    0.510000   -6566.0230  0.3268 
   00018    0.505200   -6625.2437  0.3314 
   00019    0.493600   -6726.6704  0.3369 
   00020    0.472800   -6762.5749  0.3384 
   00021    0.484400   -6862.0701  0.3496 
   00022    0.492400   -6936.9508  0.3516 
   00023    0.473600   -7002.8393  0.3580 
   00024    0.468400   -7043.5422  0.3600 
   00025    0.482000   -7116.4692  0.3607 
   00026    0.450800   -7172.7905  0.3567 
   00027    0.464400   -7232.0946  0.3565 
   00028    0.460000   -7243.8151  0.3600 
   00029    0.454400   -7283.3226  0.3636 
   00030    0.466400   -7322.0902  0.3639 
   00031    0.447600   -7319.5424  0.3699 
   00032    0.450800   -7353.0818  0.3716 
   00033    0.456400   -7371.8918  0.3712 
   00034    0.458400   -7357.9352  0.3750 
   00035    0.471600   -7399.1366  0.3798 
   00036    0.446800   -7470.6229  0.3814 
   00037    0.454400   -7522.4329  0.3859 
   00038    0.448400   -7562.2176  0.3919 
   00039    0.446000   -7550.4068  0.3966 
   00040    0.444400   -7586.8447  0.3951 
   00041    0.435200   -7600.7056  0.3971 
   00042    0.464800   -7586.3674  0.3977 
   00043    0.438000   -7615.9826  0.3988 
   00044    0.454000   -7615.5437  0.4046 
   00045    0.435200   -7618.2394  0.4109 
   00046    0.456000   -7632.7520  0.4137 
   00047    0.455600   -7667.4527  0.4141 
   00048    0.439200   -7688.4500  0.4117 
   00049    0.444000   -7721.3435  0.4124 
   00050    0.446000   -7725.5819  0.4113 
