#=====================================================
# File created:        Wed-18-Oct-2023-at-08-02-02PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.317603
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2510.1587  0.2729 
   00001    0.6892   -3808.3836  0.2689 
   00002    0.6072   -4538.8254  0.2867 
   00003    0.5652   -5079.0492  0.2840 
   00004    0.5600   -5511.1101  0.2853 
   00005    0.5456   -5917.9071  0.2836 
   00006    0.5224   -6203.6473  0.2864 
   00007    0.5124   -6476.4013  0.2928 
   00008    0.4932   -6587.6924  0.3023 
   00009    0.4740   -6714.7688  0.3105 
   00010    0.4980   -6870.8446  0.3096 
   00011    0.4856   -7031.4016  0.3208 
   00012    0.4600   -7158.5846  0.3299 
   00013    0.4576   -7219.1466  0.3246 
   00014    0.4716   -7341.6423  0.3268 
   00015    0.4400   -7378.5286  0.3220 
   00016    0.4388   -7498.1261  0.3227 
   00017    0.4300   -7524.0232  0.3303 
   00018    0.4484   -7560.4554  0.3268 
   00019    0.4480   -7581.6066  0.3282 
   00020    0.4544   -7568.1146  0.3284 
   00021    0.4144   -7643.7884  0.3324 
   00022    0.4484   -7696.5402  0.3380 
   00023    0.4408   -7753.7892  0.3370 
   00024    0.4552   -7811.0426  0.3482 
   00025    0.4340   -7893.4423  0.3552 
   00026    0.4380   -7945.1329  0.3500 
   00027    0.4196   -7924.5395  0.3531 
   00028    0.4172   -7957.9329  0.3527 
   00029    0.4280   -7978.6574  0.3536 
   00030    0.4320   -7975.3144  0.3545 
   00031    0.4224   -7987.3391  0.3475 
   00032    0.4028   -7990.4107  0.3504 
   00033    0.4156   -7960.3877  0.3518 
   00034    0.4276   -7989.4873  0.3499 
   00035    0.4504   -7980.0546  0.3500 
   00036    0.4232   -8015.1182  0.3496 
   00037    0.4248   -8039.6217  0.3563 
   00038    0.4160   -8025.4509  0.3619 
   00039    0.4172   -8081.1655  0.3608 
   00040    0.4292   -8128.5864  0.3677 
   00041    0.4308   -8093.9395  0.3640 
   00042    0.4232   -8141.3842  0.3627 
   00043    0.4224   -8138.9431  0.3639 
   00044    0.4336   -8159.9596  0.3657 
   00045    0.4280   -8212.4915  0.3683 
   00046    0.4364   -8218.9265  0.3746 
   00047    0.4076   -8222.4125  0.3825 
   00048    0.4208   -8201.3923  0.3807 
   00049    0.4108   -8226.9351  0.3819 
   00050    0.4208   -8222.8514  0.3921 
