#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-10-02-51AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.299811
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.700000   -2852.9140  0.2694 
   00002    0.627600   -2994.4783  0.2696 
   00003    0.586400   -3107.6084  0.2743 
   00004    0.567200   -3239.9258  0.2750 
   00005    0.528800   -3295.1830  0.2726 
   00006    0.513600   -3383.6243  0.2749 
   00007    0.507600   -3444.1763  0.2798 
   00008    0.489600   -3479.7712  0.2816 
   00009    0.498400   -3524.3934  0.2803 
   00010    0.501200   -3557.4868  0.2811 
   00011    0.456400   -3567.4007  0.2799 
   00012    0.465200   -3609.9986  0.2779 
   00013    0.457600   -3622.6253  0.2779 
   00014    0.476400   -3624.4161  0.2759 
   00015    0.454000   -3654.5778  0.2749 
   00016    0.453200   -3638.2168  0.2743 
   00017    0.452400   -3672.8354  0.2728 
   00018    0.452400   -3678.6685  0.2709 
   00019    0.468800   -3706.7759  0.2663 
   00020    0.448400   -3715.8171  0.2638 
   00021    0.442000   -3715.8028  0.2683 
   00022    0.453200   -3715.1160  0.2693 
   00023    0.445600   -3716.3403  0.2680 
   00024    0.448000   -3714.5522  0.2669 
   00025    0.452000   -3726.9515  0.2688 
   00026    0.430800   -3735.4013  0.2693 
   00027    0.437600   -3747.7894  0.2699 
   00028    0.448000   -3757.4556  0.2701 
   00029    0.441600   -3771.9343  0.2716 
   00030    0.454400   -3774.6870  0.2716 
   00031    0.435200   -3783.0519  0.2698 
   00032    0.447600   -3789.9749  0.2701 
   00033    0.420000   -3800.5624  0.2762 
   00034    0.419200   -3799.1151  0.2810 
   00035    0.442800   -3816.4059  0.2825 
   00036    0.432800   -3807.0398  0.2821 
   00037    0.442000   -3805.4566  0.2818 
   00038    0.437200   -3803.3903  0.2792 
   00039    0.426400   -3785.1733  0.2784 
   00040    0.430800   -3777.3658  0.2812 
   00041    0.418800   -3792.4188  0.2846 
   00042    0.424800   -3817.3187  0.2893 
   00043    0.423200   -3793.6632  0.2878 
   00044    0.432000   -3819.6751  0.2893 
   00045    0.429200   -3824.0011  0.2876 
   00046    0.434400   -3848.6691  0.2895 
   00047    0.413200   -3841.8861  0.2864 
   00048    0.425200   -3836.9784  0.2881 
   00049    0.428800   -3823.5699  0.2880 
   00050    0.436800   -3827.6156  0.2839 
