#=====================================================
# File created:        Mon-06-Nov-2023-at-08-10-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.933052
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2516.3295  0.2675 
   00001    0.2048   -3526.1178  0.2658 
   00002    0.2188   -4140.2350  0.2588 
   00003    0.2124   -4708.9472  0.2704 
   00004    0.2232   -5124.3024  0.2685 
   00005    0.2244   -5397.9617  0.2761 
   00006    0.2188   -5662.3330  0.2785 
   00007    0.2344   -5863.7051  0.2909 
   00008    0.2120   -6091.6853  0.2775 
   00009    0.2100   -6324.8974  0.2764 
   00010    0.2184   -6476.9665  0.2680 
   00011    0.2252   -6645.0782  0.2667 
   00012    0.2200   -6730.6553  0.2739 
   00013    0.2052   -6903.4018  0.2802 
   00014    0.2144   -7006.7584  0.2819 
   00015    0.2084   -7074.3512  0.2825 
   00016    0.2188   -7134.2125  0.2832 
   00017    0.2120   -7242.1743  0.2811 
   00018    0.2116   -7301.2566  0.2807 
   00019    0.2252   -7334.9507  0.2736 
   00020    0.2104   -7404.2901  0.2746 
   00021    0.2192   -7440.5200  0.2767 
   00022    0.2028   -7519.8382  0.2838 
   00023    0.2116   -7524.9493  0.2783 
   00024    0.2172   -7588.5766  0.2769 
   00025    0.2188   -7572.0396  0.2667 
   00026    0.2092   -7618.6277  0.2681 
   00027    0.2104   -7671.3240  0.2694 
   00028    0.2080   -7696.9181  0.2774 
   00029    0.2120   -7734.2062  0.2733 
   00030    0.2172   -7733.7799  0.2733 
   00031    0.2048   -7736.1621  0.2828 
   00032    0.2180   -7776.4672  0.2855 
   00033    0.2152   -7761.9363  0.2904 
   00034    0.2104   -7801.7585  0.2891 
   00035    0.2036   -7767.5396  0.2948 
   00036    0.2088   -7856.4454  0.2974 
   00037    0.2104   -7858.9477  0.3002 
   00038    0.1892   -7894.2860  0.3011 
   00039    0.2024   -7892.9545  0.3003 
   00040    0.1988   -7969.9075  0.3051 
   00041    0.2040   -7930.7189  0.3072 
   00042    0.2076   -7936.9528  0.3069 
   00043    0.2080   -7907.2134  0.3116 
   00044    0.1944   -7945.6822  0.3116 
   00045    0.2084   -7966.2246  0.3095 
   00046    0.2060   -8001.8708  0.3140 
   00047    0.2112   -7964.3991  0.3074 
   00048    0.2108   -7943.9833  0.3102 
   00049    0.2032   -7984.4436  0.3129 
   00050    0.2144   -7973.6428  0.3171 
