#=====================================================
# File created:        Wed-08-Nov-2023-at-10-11-44AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.699595
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9947.5162  0.2529 
   00001    0.0000  -13884.4628  0.2576 
   00002    0.0000  -16365.6057  0.2579 
   00003    0.0000  -18662.1635  0.2571 
   00004    0.0000  -20382.4996  0.2673 
   00005    0.0000  -21816.4351  0.2723 
   00006    0.0000  -22855.9563  0.2746 
   00007    0.0000  -23661.6773  0.2795 
   00008    0.0000  -24562.6536  0.2842 
   00009    0.0000  -25030.3003  0.2896 
   00010    0.0000  -25577.2699  0.2908 
   00011    0.0000  -26138.6784  0.2923 
   00012    0.0000  -26538.9996  0.2907 
   00013    0.0000  -27069.7697  0.2904 
   00014    0.0000  -27493.9688  0.2856 
   00015    0.0000  -27850.6838  0.2913 
   00016    0.0000  -28210.5540  0.2903 
   00017    0.0000  -28481.3840  0.2883 
   00018    0.0000  -28639.6624  0.2928 
   00019    0.0000  -28800.9776  0.2940 
   00020    0.0000  -28920.6622  0.2962 
   00021    0.0000  -29249.0527  0.2956 
   00022    0.0000  -29465.4132  0.2961 
   00023    0.0000  -29533.8546  0.2970 
   00024    0.0000  -29646.9708  0.2979 
   00025    0.0000  -29749.8881  0.3049 
   00026    0.0000  -29873.7005  0.3077 
   00027    0.0000  -30036.5093  0.3066 
   00028    0.0000  -30155.3626  0.3079 
   00029    0.0000  -30242.4072  0.3092 
   00030    0.0000  -30308.6162  0.3075 
   00031    0.0000  -30310.0568  0.3073 
   00032    0.0000  -30457.8180  0.3063 
   00033    0.0000  -30629.1014  0.3045 
   00034    0.0000  -30704.4094  0.3021 
   00035    0.0000  -30807.1643  0.3046 
   00036    0.0000  -30855.9396  0.3048 
   00037    0.0000  -30838.9014  0.3034 
   00038    0.0000  -30858.9236  0.3048 
   00039    0.0000  -30991.5091  0.3028 
   00040    0.0000  -31050.2268  0.3029 
   00041    0.0000  -31018.1153  0.3012 
   00042    0.0000  -31031.9699  0.3001 
   00043    0.0000  -31127.2797  0.2965 
   00044    0.0000  -31218.6237  0.3006 
   00045    0.0000  -31222.0389  0.3005 
   00046    0.0000  -31248.7363  0.3009 
   00047    0.0000  -31341.3690  0.3002 
   00048    0.0000  -31328.7691  0.3000 
   00049    0.0000  -31239.0284  0.2988 
   00050    0.0000  -31363.6164  0.2944 
