#=====================================================
# File created:        Wed-08-Nov-2023-at-03-59-55AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        15.978042
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9859.7040  0.2578 
   00001    0.2238  -13833.7584  0.2614 
   00002    0.2233  -16730.9118  0.2670 
   00003    0.2264  -18784.8454  0.2696 
   00004    0.2241  -20425.4410  0.2726 
   00005    0.2220  -21808.4989  0.2718 
   00006    0.2263  -22835.4588  0.2738 
   00007    0.2173  -23812.6922  0.2758 
   00008    0.2139  -24620.5480  0.2804 
   00009    0.2236  -25310.5258  0.2849 
   00010    0.2107  -26033.4126  0.2875 
   00011    0.2056  -26642.8063  0.2931 
   00012    0.2136  -27115.9884  0.2948 
   00013    0.2082  -27499.1357  0.2965 
   00014    0.2077  -27922.1480  0.2991 
   00015    0.2074  -28275.7490  0.2989 
   00016    0.2091  -28504.9043  0.2978 
   00017    0.2091  -28809.8405  0.3011 
   00018    0.2189  -29006.8110  0.3033 
   00019    0.2117  -29244.7228  0.3092 
   00020    0.2077  -29530.6125  0.3128 
   00021    0.2101  -29728.0009  0.3116 
   00022    0.2019  -29882.2827  0.3079 
   00023    0.2083  -30042.0427  0.3093 
   00024    0.2055  -30163.5024  0.3072 
   00025    0.2069  -30252.2953  0.3095 
   00026    0.2095  -30277.3386  0.3110 
   00027    0.2095  -30449.1286  0.3096 
   00028    0.2047  -30503.1941  0.3097 
   00029    0.2045  -30557.7003  0.3089 
   00030    0.2091  -30613.7295  0.3102 
   00031    0.2097  -30644.1646  0.3101 
   00032    0.2056  -30786.7825  0.3173 
   00033    0.2034  -30932.8391  0.3138 
   00034    0.2077  -31003.9143  0.3161 
   00035    0.2045  -31030.5130  0.3132 
   00036    0.1995  -31198.4099  0.3124 
   00037    0.2119  -31203.2640  0.3113 
   00038    0.2044  -31267.5872  0.3117 
   00039    0.2074  -31271.4544  0.3135 
   00040    0.2045  -31297.0289  0.3155 
   00041    0.2065  -31356.2649  0.3157 
   00042    0.2096  -31322.7617  0.3187 
   00043    0.1970  -31380.8978  0.3224 
   00044    0.2051  -31463.1325  0.3240 
   00045    0.2031  -31548.3884  0.3239 
   00046    0.2046  -31534.4364  0.3256 
   00047    0.2010  -31749.4398  0.3237 
   00048    0.2090  -31723.3894  0.3243 
   00049    0.2056  -31890.7336  0.3227 
   00050    0.2060  -31931.3106  0.3220 
