#=====================================================
# File created:        Wed-18-Oct-2023-at-02-04-05PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.297101
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2598.4297  0.2733 
   00001    0.6920   -3820.9165  0.2748 
   00002    0.6128   -4542.5297  0.2733 
   00003    0.5936   -5132.2201  0.2758 
   00004    0.5576   -5605.1902  0.2840 
   00005    0.5388   -5898.5894  0.2783 
   00006    0.5080   -6190.2615  0.2771 
   00007    0.4932   -6432.9650  0.2767 
   00008    0.5108   -6644.6960  0.2849 
   00009    0.4896   -6798.0895  0.2826 
   00010    0.4860   -6995.5861  0.2803 
   00011    0.4608   -7139.7502  0.2931 
   00012    0.4908   -7192.3752  0.2925 
   00013    0.4664   -7316.2244  0.2986 
   00014    0.4524   -7384.8210  0.2980 
   00015    0.4548   -7460.2106  0.2996 
   00016    0.4572   -7511.4953  0.3024 
   00017    0.4428   -7516.3591  0.2973 
   00018    0.4512   -7550.4389  0.2985 
   00019    0.4664   -7513.1293  0.2991 
   00020    0.4408   -7591.3037  0.3036 
   00021    0.4600   -7658.5240  0.3112 
   00022    0.4400   -7651.9204  0.3086 
   00023    0.4500   -7691.7848  0.3120 
   00024    0.4404   -7718.6771  0.3215 
   00025    0.4240   -7763.5614  0.3198 
   00026    0.4424   -7793.7369  0.3170 
   00027    0.4324   -7830.0535  0.3114 
   00028    0.4368   -7855.3913  0.3143 
   00029    0.4356   -7924.0732  0.3157 
   00030    0.4152   -7911.6339  0.3162 
   00031    0.4328   -7921.6051  0.3103 
   00032    0.4368   -7955.1921  0.3044 
   00033    0.4184   -7972.6346  0.2985 
   00034    0.4228   -7972.2040  0.2943 
   00035    0.4316   -7983.1664  0.2884 
   00036    0.4316   -8005.3782  0.2943 
   00037    0.4436   -7942.8696  0.2908 
   00038    0.4492   -7991.6963  0.2829 
   00039    0.4352   -7997.6564  0.2853 
   00040    0.4384   -8021.1529  0.2804 
   00041    0.4260   -8093.5982  0.2853 
   00042    0.4308   -8037.9614  0.2896 
   00043    0.4256   -8016.6210  0.2931 
   00044    0.4396   -8007.6175  0.2961 
   00045    0.4364   -8001.5619  0.3025 
   00046    0.4260   -8085.2286  0.3055 
   00047    0.4188   -8094.3044  0.3035 
   00048    0.4160   -8091.7825  0.3012 
   00049    0.4500   -8089.2144  0.2955 
   00050    0.4152   -8094.4617  0.2896 
