#=====================================================
# File created:        Wed-01-Nov-2023-at-10-17-47AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.538191
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2522.1377  0.2660 
   00001    0.6664   -3795.2498  0.2647 
   00002    0.6288   -4598.3641  0.2634 
   00003    0.5616   -5142.6846  0.2598 
   00004    0.5496   -5512.1951  0.2808 
   00005    0.5384   -5747.9658  0.2812 
   00006    0.5120   -6009.1364  0.2896 
   00007    0.5252   -6234.1671  0.2918 
   00008    0.5160   -6476.9614  0.2889 
   00009    0.4788   -6624.6725  0.2919 
   00010    0.4816   -6700.9123  0.2937 
   00011    0.4784   -6844.8979  0.2866 
   00012    0.4712   -6971.3413  0.2953 
   00013    0.4700   -7163.6432  0.3010 
   00014    0.4556   -7208.8671  0.3075 
   00015    0.4544   -7333.4157  0.3154 
   00016    0.4636   -7423.5492  0.3156 
   00017    0.4460   -7519.2222  0.3184 
   00018    0.4556   -7579.0218  0.3236 
   00019    0.4500   -7632.2441  0.3239 
   00020    0.4476   -7687.6780  0.3281 
   00021    0.4368   -7693.4463  0.3259 
   00022    0.4440   -7791.7015  0.3279 
   00023    0.4404   -7811.2847  0.3317 
   00024    0.4260   -7862.1642  0.3311 
   00025    0.4160   -7906.9826  0.3243 
   00026    0.4268   -7937.6836  0.3253 
   00027    0.4328   -7945.9881  0.3266 
   00028    0.4380   -7948.5225  0.3314 
   00029    0.4312   -8012.1697  0.3345 
   00030    0.4336   -8057.0143  0.3416 
   00031    0.4308   -8090.9673  0.3400 
   00032    0.4164   -8110.6837  0.3452 
   00033    0.4248   -8090.1412  0.3416 
   00034    0.4172   -8106.5040  0.3526 
   00035    0.4344   -8068.2929  0.3594 
   00036    0.4236   -8088.2187  0.3503 
   00037    0.4456   -8062.0874  0.3509 
   00038    0.4404   -8087.3901  0.3519 
   00039    0.4420   -8140.6057  0.3549 
   00040    0.4360   -8166.6089  0.3565 
   00041    0.4228   -8204.8725  0.3540 
   00042    0.4208   -8254.6567  0.3552 
   00043    0.4108   -8253.5294  0.3555 
   00044    0.4324   -8246.7068  0.3568 
   00045    0.4052   -8251.8581  0.3552 
   00046    0.4156   -8276.0285  0.3603 
   00047    0.4152   -8284.8426  0.3597 
   00048    0.4232   -8240.7085  0.3645 
   00049    0.4092   -8183.7037  0.3621 
   00050    0.4216   -8176.4196  0.3547 
