#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Wed-18-Oct-2023-at-04-23-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.405618
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2404.6760  0.2686 
   00001    0.706400   -3066.7080  0.2793 
   00002    0.641200   -3480.8053  0.2856 
   00003    0.586400   -3814.0964  0.2994 
   00004    0.546800   -4030.0969  0.3059 
   00005    0.540800   -4221.1495  0.3018 
   00006    0.503200   -4354.7305  0.3007 
   00007    0.484000   -4452.5935  0.3036 
   00008    0.498400   -4526.8173  0.3100 
   00009    0.476000   -4589.0698  0.3126 
   00010    0.467200   -4637.2824  0.3203 
   00011    0.479200   -4679.1959  0.3204 
   00012    0.470400   -4722.1898  0.3215 
   00013    0.451200   -4735.0251  0.3227 
   00014    0.458400   -4776.9583  0.3253 
   00015    0.456000   -4812.8005  0.3305 
   00016    0.448800   -4823.1348  0.3311 
   00017    0.472400   -4881.9758  0.3377 
   00018    0.440400   -4914.5585  0.3402 
   00019    0.439200   -4937.6870  0.3443 
   00020    0.441600   -4976.0782  0.3422 
   00021    0.438800   -4961.7192  0.3381 
   00022    0.452400   -4991.7394  0.3463 
   00023    0.436000   -5051.0018  0.3488 
   00024    0.432400   -5042.3938  0.3591 
   00025    0.434400   -5058.4840  0.3537 
   00026    0.435200   -5052.5940  0.3565 
   00027    0.438000   -5055.1381  0.3574 
   00028    0.431200   -5018.4143  0.3520 
   00029    0.449600   -5052.0320  0.3461 
   00030    0.426400   -5081.0269  0.3503 
   00031    0.444000   -5113.7356  0.3518 
   00032    0.425600   -5151.3445  0.3564 
   00033    0.438000   -5117.8970  0.3523 
   00034    0.436000   -5105.5157  0.3632 
   00035    0.432800   -5129.3180  0.3618 
   00036    0.437600   -5140.5657  0.3641 
   00037    0.423200   -5109.2726  0.3617 
   00038    0.420000   -5140.3551  0.3653 
   00039    0.435200   -5174.7426  0.3664 
   00040    0.429600   -5169.8934  0.3671 
   00041    0.432800   -5177.4974  0.3716 
   00042    0.426400   -5181.3654  0.3710 
   00043    0.442400   -5208.4656  0.3721 
   00044    0.434000   -5195.6597  0.3752 
   00045    0.422800   -5198.6185  0.3745 
   00046    0.447600   -5171.5318  0.3718 
   00047    0.421200   -5172.7223  0.3707 
   00048    0.436800   -5191.3164  0.3721 
   00049    0.433200   -5174.1526  0.3708 
   00050    0.413600   -5181.9978  0.3737 
