#=====================================================
# File created:        Wed-08-Nov-2023-at-10-12-22AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.765097
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10211.4123  0.2506 
   00001    0.0000  -14005.2982  0.2525 
   00002    0.0000  -16646.3852  0.2566 
   00003    0.0000  -18765.6581  0.2600 
   00004    0.0000  -20283.2077  0.2591 
   00005    0.0000  -21861.0472  0.2587 
   00006    0.0000  -22983.4639  0.2554 
   00007    0.0000  -23978.9104  0.2564 
   00008    0.0000  -24875.4002  0.2549 
   00009    0.0000  -25585.9315  0.2558 
   00010    0.0000  -26131.7267  0.2589 
   00011    0.0000  -26745.9223  0.2638 
   00012    0.0000  -27265.6644  0.2638 
   00013    0.0000  -27603.5717  0.2655 
   00014    0.0000  -28036.7339  0.2668 
   00015    0.0000  -28382.3926  0.2737 
   00016    0.0000  -28589.8683  0.2724 
   00017    0.0000  -28742.0805  0.2715 
   00018    0.0000  -28986.3991  0.2705 
   00019    0.0000  -29133.5961  0.2689 
   00020    0.0000  -29341.7075  0.2729 
   00021    0.0000  -29522.1760  0.2699 
   00022    0.0000  -29769.5061  0.2700 
   00023    0.0000  -30086.1105  0.2675 
   00024    0.0000  -30019.7126  0.2654 
   00025    0.0000  -30143.4719  0.2650 
   00026    0.0000  -30307.0437  0.2664 
   00027    0.0000  -30438.8993  0.2646 
   00028    0.0000  -30467.4944  0.2682 
   00029    0.0000  -30562.4757  0.2681 
   00030    0.0000  -30636.7852  0.2678 
   00031    0.0000  -30774.8811  0.2681 
   00032    0.0000  -30936.0364  0.2651 
   00033    0.0000  -30962.1148  0.2656 
   00034    0.0000  -31055.6127  0.2676 
   00035    0.0000  -31196.8408  0.2677 
   00036    0.0000  -31314.0334  0.2676 
   00037    0.0000  -31344.8351  0.2673 
   00038    0.0000  -31379.9078  0.2690 
   00039    0.0000  -31409.3952  0.2723 
   00040    0.0000  -31415.5132  0.2695 
   00041    0.0000  -31509.2679  0.2663 
   00042    0.0000  -31569.0812  0.2632 
   00043    0.0000  -31666.9908  0.2643 
   00044    0.0000  -31722.8608  0.2641 
   00045    0.0000  -31693.6689  0.2654 
   00046    0.0000  -31822.4035  0.2685 
   00047    0.0000  -31844.7596  0.2714 
   00048    0.0000  -31859.7019  0.2724 
   00049    0.0000  -31925.5809  0.2760 
   00050    0.0000  -31925.2907  0.2761 
