#=====================================================
# File created:        Wed-25-Oct-2023-at-01-14-38PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.989262
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2482.8602  0.2620 
   00001    0.6796   -3714.1112  0.2718 
   00002    0.6164   -4439.6055  0.2701 
   00003    0.5852   -5087.4979  0.2770 
   00004    0.5688   -5583.4080  0.2822 
   00005    0.5404   -5965.4389  0.2912 
   00006    0.5272   -6211.1053  0.2886 
   00007    0.4976   -6399.5947  0.2944 
   00008    0.4884   -6586.5940  0.3047 
   00009    0.4808   -6713.4949  0.3157 
   00010    0.4712   -6788.9632  0.3207 
   00011    0.5040   -6922.6868  0.3187 
   00012    0.4740   -7102.7612  0.3214 
   00013    0.4732   -7247.9995  0.3236 
   00014    0.4524   -7298.3008  0.3206 
   00015    0.4692   -7396.0383  0.3163 
   00016    0.4516   -7433.2536  0.3243 
   00017    0.4536   -7517.8718  0.3215 
   00018    0.4372   -7579.9024  0.3365 
   00019    0.4488   -7629.7972  0.3362 
   00020    0.4420   -7700.0209  0.3406 
   00021    0.4704   -7695.2115  0.3368 
   00022    0.4372   -7739.5701  0.3375 
   00023    0.4440   -7768.4039  0.3350 
   00024    0.4432   -7778.6635  0.3374 
   00025    0.4400   -7813.9571  0.3364 
   00026    0.4428   -7875.6566  0.3366 
   00027    0.4516   -7877.5559  0.3453 
   00028    0.4240   -7893.0549  0.3560 
   00029    0.4244   -7906.8569  0.3588 
   00030    0.4428   -7931.6199  0.3565 
   00031    0.4544   -7977.8551  0.3539 
   00032    0.4288   -8060.8578  0.3516 
   00033    0.4212   -8074.1244  0.3568 
   00034    0.4372   -8100.2042  0.3617 
   00035    0.4312   -8052.7241  0.3569 
   00036    0.4292   -8053.1900  0.3588 
   00037    0.4376   -8093.1430  0.3659 
   00038    0.4432   -8061.0209  0.3700 
   00039    0.4348   -8072.0004  0.3755 
   00040    0.4172   -8095.5211  0.3756 
   00041    0.4324   -8134.0526  0.3796 
   00042    0.4352   -8117.8396  0.3773 
   00043    0.4396   -8149.4396  0.3858 
   00044    0.4232   -8157.8166  0.3874 
   00045    0.4188   -8186.0560  0.3927 
   00046    0.4208   -8208.0209  0.4017 
   00047    0.4256   -8232.2260  0.4080 
   00048    0.4240   -8204.6999  0.4109 
   00049    0.4252   -8256.1711  0.4141 
   00050    0.4352   -8248.0042  0.4122 
