#=====================================================
# File created:        Wed-08-Nov-2023-at-04-00-32AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        16.911598
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10009.3342  0.2515 
   00001    0.2261  -13810.2126  0.2552 
   00002    0.2321  -16445.6810  0.2623 
   00003    0.2335  -18477.2711  0.2702 
   00004    0.2280  -20189.8673  0.2681 
   00005    0.2190  -21629.7320  0.2680 
   00006    0.2260  -22697.8981  0.2721 
   00007    0.2136  -23644.1791  0.2710 
   00008    0.2218  -24472.1600  0.2713 
   00009    0.2185  -25258.5933  0.2694 
   00010    0.2089  -25930.4094  0.2702 
   00011    0.2165  -26399.8601  0.2750 
   00012    0.2088  -26878.8003  0.2731 
   00013    0.2130  -27155.7948  0.2761 
   00014    0.2185  -27487.0663  0.2732 
   00015    0.2071  -27744.4978  0.2744 
   00016    0.2081  -28112.0928  0.2702 
   00017    0.2199  -28226.9241  0.2684 
   00018    0.2134  -28503.3715  0.2687 
   00019    0.2148  -28716.9790  0.2682 
   00020    0.2091  -28963.1455  0.2743 
   00021    0.2081  -29092.7097  0.2709 
   00022    0.2166  -29263.4524  0.2723 
   00023    0.2104  -29440.1828  0.2740 
   00024    0.2113  -29495.4147  0.2751 
   00025    0.2024  -29842.9616  0.2756 
   00026    0.2077  -29919.5011  0.2753 
   00027    0.2093  -30113.4739  0.2784 
   00028    0.2022  -30404.0543  0.2831 
   00029    0.2095  -30498.9577  0.2837 
   00030    0.2075  -30492.7358  0.2840 
   00031    0.2082  -30619.0456  0.2815 
   00032    0.2115  -30708.2853  0.2836 
   00033    0.2101  -30721.3306  0.2825 
   00034    0.2083  -30824.4906  0.2832 
   00035    0.2094  -30935.8444  0.2784 
   00036    0.2034  -31057.1127  0.2813 
   00037    0.2099  -31096.8629  0.2827 
   00038    0.2061  -31126.1430  0.2861 
   00039    0.2064  -31135.0773  0.2827 
   00040    0.2079  -31193.5206  0.2805 
   00041    0.2051  -31224.1325  0.2797 
   00042    0.2080  -31308.9555  0.2793 
   00043    0.2063  -31343.3524  0.2789 
   00044    0.2048  -31460.3334  0.2823 
   00045    0.2023  -31515.8284  0.2798 
   00046    0.2039  -31575.3805  0.2803 
   00047    0.2047  -31681.9615  0.2818 
   00048    0.2030  -31649.2147  0.2812 
   00049    0.1991  -31666.0115  0.2863 
   00050    0.2002  -31682.8257  0.2855 
