#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Mon-06-Nov-2023-at-09-01-56PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.483916
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000       0.0000  0.2519 
   00001    0.669600       0.0000  0.2604 
   00002    0.620800       0.0000  0.2637 
   00003    0.590800       0.0000  0.2655 
   00004    0.554000       0.0000  0.2732 
   00005    0.531600       0.0000  0.2834 
   00006    0.530000       0.0000  0.2924 
   00007    0.491600       0.0000  0.2953 
   00008    0.504400       0.0000  0.2968 
   00009    0.501200       0.0000  0.3022 
   00010    0.471600       0.0000  0.3082 
   00011    0.458800       0.0000  0.3133 
   00012    0.465200       0.0000  0.3172 
   00013    0.448000       0.0000  0.3170 
   00014    0.454800       0.0000  0.3248 
   00015    0.458000       0.0000  0.3205 
   00016    0.444400       0.0000  0.3230 
   00017    0.454000       0.0000  0.3256 
   00018    0.446000       0.0000  0.3313 
   00019    0.448400       0.0000  0.3321 
   00020    0.460000       0.0000  0.3437 
   00021    0.453600       0.0000  0.3535 
   00022    0.444400       0.0000  0.3545 
   00023    0.427600       0.0000  0.3514 
   00024    0.430000       0.0000  0.3564 
   00025    0.428800       0.0000  0.3593 
   00026    0.444800       0.0000  0.3606 
   00027    0.440000       0.0000  0.3562 
   00028    0.440800       0.0000  0.3624 
   00029    0.434000       0.0000  0.3657 
   00030    0.442400       0.0000  0.3723 
   00031    0.448000       0.0000  0.3754 
   00032    0.421600       0.0000  0.3763 
   00033    0.418400       0.0000  0.3754 
   00034    0.448800       0.0000  0.3762 
   00035    0.419600       0.0000  0.3774 
   00036    0.440000       0.0000  0.3733 
   00037    0.444800       0.0000  0.3749 
   00038    0.424000       0.0000  0.3798 
   00039    0.434000       0.0000  0.3777 
   00040    0.441600       0.0000  0.3802 
   00041    0.441600       0.0000  0.3827 
   00042    0.407200       0.0000  0.3743 
   00043    0.422000       0.0000  0.3728 
   00044    0.428400       0.0000  0.3781 
   00045    0.439600       0.0000  0.3764 
   00046    0.415200       0.0000  0.3818 
   00047    0.438800       0.0000  0.3843 
   00048    0.424000       0.0000  0.3837 
   00049    0.433600       0.0000  0.3921 
   00050    0.418400       0.0000  0.3909 
