#=====================================================
# File created:        Wed-25-Oct-2023-at-01-32-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.620142
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2486.5488  0.2554 
   00001    0.6732   -3674.0252  0.2600 
   00002    0.6368   -4440.2114  0.2615 
   00003    0.5900   -5003.0784  0.2612 
   00004    0.5588   -5394.2582  0.2676 
   00005    0.5540   -5838.6258  0.2686 
   00006    0.5372   -6101.6248  0.2720 
   00007    0.5044   -6379.5761  0.2714 
   00008    0.5108   -6518.2760  0.2740 
   00009    0.4992   -6672.5984  0.2758 
   00010    0.4856   -6818.7113  0.2787 
   00011    0.4744   -6976.4827  0.2793 
   00012    0.4772   -7043.3156  0.2809 
   00013    0.4816   -7139.0083  0.2832 
   00014    0.4660   -7225.4223  0.2826 
   00015    0.4492   -7298.9477  0.2822 
   00016    0.4520   -7369.2179  0.2822 
   00017    0.4496   -7444.7088  0.2839 
   00018    0.4712   -7476.8651  0.2806 
   00019    0.4440   -7544.3505  0.2832 
   00020    0.4584   -7587.1860  0.2828 
   00021    0.4396   -7632.2295  0.2830 
   00022    0.4476   -7710.4399  0.2821 
   00023    0.4276   -7729.7237  0.2811 
   00024    0.4492   -7795.3309  0.2815 
   00025    0.4304   -7840.9837  0.2809 
   00026    0.4252   -7875.4990  0.2785 
   00027    0.4276   -7940.3057  0.2775 
   00028    0.4380   -7921.7179  0.2768 
   00029    0.4280   -7973.6783  0.2761 
   00030    0.4488   -7926.3119  0.2781 
   00031    0.4196   -7956.9211  0.2772 
   00032    0.4448   -7947.1493  0.2763 
   00033    0.4272   -7951.0856  0.2782 
   00034    0.4180   -8015.3226  0.2785 
   00035    0.4372   -8012.1840  0.2809 
   00036    0.4200   -8071.4029  0.2824 
   00037    0.4296   -8070.8474  0.2818 
   00038    0.4284   -8097.6910  0.2824 
   00039    0.4184   -8113.3105  0.2807 
   00040    0.4260   -8123.2070  0.2813 
   00041    0.4428   -8125.4190  0.2843 
   00042    0.4328   -8151.8063  0.2888 
   00043    0.4168   -8145.8599  0.2880 
   00044    0.4436   -8139.0716  0.2871 
   00045    0.4348   -8178.7428  0.2835 
   00046    0.4120   -8179.4557  0.2823 
   00047    0.4184   -8173.3649  0.2822 
   00048    0.4340   -8215.9504  0.2840 
   00049    0.4300   -8200.8350  0.2854 
   00050    0.4408   -8198.0431  0.2842 
