#=====================================================
# File created:        Wed-08-Nov-2023-at-06-41-03AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.895915
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10230.6378  0.2549 
   00001    0.2198  -13935.2100  0.2514 
   00002    0.2310  -16755.7978  0.2578 
   00003    0.2290  -18716.6249  0.2672 
   00004    0.2227  -20324.4812  0.2698 
   00005    0.2202  -21776.8570  0.2742 
   00006    0.2236  -22823.4937  0.2754 
   00007    0.2162  -23829.1494  0.2833 
   00008    0.2196  -24611.6599  0.2854 
   00009    0.2141  -25275.0378  0.2888 
   00010    0.2116  -25855.2535  0.2907 
   00011    0.2086  -26510.9288  0.2927 
   00012    0.2173  -26994.9055  0.2953 
   00013    0.2131  -27366.8708  0.2905 
   00014    0.2127  -27684.9892  0.2902 
   00015    0.2140  -27866.6027  0.2952 
   00016    0.2081  -28200.1169  0.2954 
   00017    0.2137  -28443.9260  0.3010 
   00018    0.2110  -28700.0383  0.3037 
   00019    0.2197  -28883.3620  0.3082 
   00020    0.2122  -29121.9012  0.3107 
   00021    0.2134  -29366.4388  0.3169 
   00022    0.2120  -29631.0874  0.3167 
   00023    0.2059  -29825.5793  0.3178 
   00024    0.2127  -29842.8457  0.3203 
   00025    0.2030  -30034.5534  0.3255 
   00026    0.2039  -30139.7680  0.3288 
   00027    0.2086  -30204.0085  0.3289 
   00028    0.2085  -30354.5798  0.3322 
   00029    0.2040  -30532.2970  0.3317 
   00030    0.2095  -30607.5206  0.3319 
   00031    0.2035  -30583.0349  0.3345 
   00032    0.2079  -30731.4670  0.3375 
   00033    0.2101  -30870.1001  0.3410 
   00034    0.2071  -30938.6096  0.3430 
   00035    0.2035  -30965.3861  0.3473 
   00036    0.2061  -31038.6632  0.3469 
   00037    0.2086  -31000.7113  0.3504 
   00038    0.2099  -31075.0805  0.3536 
   00039    0.2015  -31193.8105  0.3542 
   00040    0.2070  -31183.9941  0.3527 
   00041    0.2005  -31342.1809  0.3579 
   00042    0.2006  -31443.2194  0.3593 
   00043    0.1965  -31591.1134  0.3620 
   00044    0.2076  -31628.2153  0.3628 
   00045    0.2068  -31607.2293  0.3687 
   00046    0.2060  -31687.6020  0.3699 
   00047    0.2001  -31731.9897  0.3739 
   00048    0.2098  -31663.4386  0.3778 
   00049    0.2014  -31782.9737  0.3788 
   00050    0.2023  -31780.1982  0.3761 
