#=====================================================
# File created:        Wed-18-Oct-2023-at-07-50-27PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.349880
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2474.2889  0.2566 
   00001    0.6812   -3769.2629  0.2585 
   00002    0.6100   -4495.7560  0.2577 
   00003    0.5900   -5105.9279  0.2822 
   00004    0.5236   -5504.6766  0.2953 
   00005    0.5260   -5868.3493  0.2951 
   00006    0.5184   -6123.5060  0.2946 
   00007    0.5000   -6367.2207  0.2980 
   00008    0.5108   -6633.8410  0.2986 
   00009    0.4828   -6729.5738  0.3136 
   00010    0.4780   -6940.8723  0.3205 
   00011    0.4776   -7060.5268  0.3218 
   00012    0.4864   -7229.1800  0.3282 
   00013    0.4604   -7301.1322  0.3234 
   00014    0.4412   -7421.5895  0.3261 
   00015    0.4636   -7461.0330  0.3245 
   00016    0.4416   -7467.5621  0.3363 
   00017    0.4632   -7514.0231  0.3328 
   00018    0.4572   -7593.3309  0.3322 
   00019    0.4520   -7603.5822  0.3360 
   00020    0.4436   -7620.8688  0.3366 
   00021    0.4352   -7671.4806  0.3310 
   00022    0.4436   -7701.8611  0.3321 
   00023    0.4432   -7698.2544  0.3265 
   00024    0.4356   -7717.6593  0.3282 
   00025    0.4340   -7667.2233  0.3342 
   00026    0.4420   -7716.1657  0.3274 
   00027    0.4460   -7725.9788  0.3346 
   00028    0.4396   -7727.5826  0.3340 
   00029    0.4444   -7790.5107  0.3342 
   00030    0.4508   -7838.8882  0.3323 
   00031    0.4276   -7888.3630  0.3264 
   00032    0.4296   -7888.7376  0.3363 
   00033    0.4368   -7908.3516  0.3404 
   00034    0.4404   -7905.7239  0.3399 
   00035    0.4360   -7961.8733  0.3337 
   00036    0.4380   -7989.6539  0.3408 
   00037    0.4084   -7961.8120  0.3466 
   00038    0.4480   -8017.6033  0.3504 
   00039    0.4264   -8015.9937  0.3454 
   00040    0.4212   -8030.0279  0.3425 
   00041    0.4360   -8065.0383  0.3506 
   00042    0.4124   -8045.1636  0.3583 
   00043    0.4292   -8020.3759  0.3557 
   00044    0.4164   -8036.5071  0.3583 
   00045    0.4344   -8072.0406  0.3621 
   00046    0.4260   -8071.1365  0.3667 
   00047    0.4312   -8036.9830  0.3676 
   00048    0.4328   -8080.1963  0.3669 
   00049    0.4172   -8142.7538  0.3727 
   00050    0.4268   -8131.1918  0.3763 
