#=====================================================
# File created:        Wed-25-Oct-2023-at-12-55-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        21.152754
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2479.7104  0.2649 
   00001    0.6844   -3643.2314  0.2606 
   00002    0.6344   -4515.5592  0.2687 
   00003    0.5840   -5054.3564  0.2813 
   00004    0.5368   -5420.8315  0.2913 
   00005    0.5400   -5823.7577  0.2941 
   00006    0.5396   -6208.1380  0.2923 
   00007    0.5056   -6456.8979  0.2898 
   00008    0.4740   -6628.8175  0.2905 
   00009    0.4892   -6815.1480  0.2875 
   00010    0.4804   -6921.8813  0.2854 
   00011    0.4864   -7044.5800  0.3008 
   00012    0.4692   -7096.2016  0.3048 
   00013    0.4896   -7102.9524  0.3057 
   00014    0.4624   -7162.1957  0.3012 
   00015    0.4472   -7240.1606  0.3035 
   00016    0.4452   -7297.7679  0.3028 
   00017    0.4560   -7353.2568  0.3058 
   00018    0.4588   -7376.7569  0.3053 
   00019    0.4504   -7449.9858  0.3019 
   00020    0.4636   -7495.6142  0.3059 
   00021    0.4468   -7528.5767  0.3108 
   00022    0.4612   -7539.9157  0.3128 
   00023    0.4524   -7621.2316  0.3178 
   00024    0.4328   -7628.2316  0.3258 
   00025    0.4428   -7584.5952  0.3259 
   00026    0.4552   -7666.8438  0.3194 
   00027    0.4448   -7711.1817  0.3191 
   00028    0.4456   -7742.3060  0.3227 
   00029    0.4304   -7743.1781  0.3232 
   00030    0.4400   -7777.9463  0.3222 
   00031    0.4360   -7771.4564  0.3251 
   00032    0.4428   -7827.3455  0.3241 
   00033    0.4348   -7874.4828  0.3282 
   00034    0.4312   -7954.2967  0.3281 
   00035    0.4384   -7904.3011  0.3194 
   00036    0.4328   -7905.2736  0.3182 
   00037    0.4592   -7924.6793  0.3162 
   00038    0.4416   -7961.2058  0.3190 
   00039    0.4372   -7937.9999  0.3223 
   00040    0.4360   -7950.7910  0.3182 
   00041    0.4228   -7955.2623  0.3179 
   00042    0.4416   -7940.9891  0.3248 
   00043    0.4280   -7953.3460  0.3276 
   00044    0.4380   -8024.5528  0.3327 
   00045    0.4196   -8054.2012  0.3262 
   00046    0.4308   -8060.0101  0.3272 
   00047    0.4364   -8056.0776  0.3211 
   00048    0.4232   -8035.5144  0.3236 
   00049    0.4372   -8063.1682  0.3294 
   00050    0.4448   -8107.2116  0.3277 
