#=====================================================
# File created:        Thu-19-Oct-2023-at-11-32-02AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.473139
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2555.6367  0.2621 
   00001    0.6844   -3697.0111  0.2679 
   00002    0.6336   -4478.8138  0.2753 
   00003    0.5968   -5127.9323  0.2823 
   00004    0.5500   -5560.0563  0.2850 
   00005    0.5516   -5889.5546  0.2770 
   00006    0.5060   -6169.0918  0.2801 
   00007    0.5076   -6448.5786  0.2880 
   00008    0.5156   -6596.1931  0.2834 
   00009    0.4864   -6734.0371  0.2854 
   00010    0.4784   -6850.1365  0.2803 
   00011    0.4812   -7024.9005  0.2780 
   00012    0.4624   -7052.8523  0.2737 
   00013    0.4536   -7113.9785  0.2772 
   00014    0.4604   -7194.4569  0.2670 
   00015    0.4468   -7247.2901  0.2658 
   00016    0.4528   -7322.4165  0.2671 
   00017    0.4704   -7405.5301  0.2681 
   00018    0.4576   -7459.1007  0.2698 
   00019    0.4488   -7498.9484  0.2721 
   00020    0.4504   -7513.6335  0.2737 
   00021    0.4512   -7509.2075  0.2813 
   00022    0.4496   -7561.8413  0.2840 
   00023    0.4592   -7596.5753  0.2854 
   00024    0.4576   -7608.5440  0.2915 
   00025    0.4556   -7621.1211  0.2993 
   00026    0.4548   -7672.8738  0.3042 
   00027    0.4300   -7665.8203  0.3092 
   00028    0.4460   -7722.1917  0.3061 
   00029    0.4456   -7770.6666  0.3138 
   00030    0.4520   -7768.4802  0.3185 
   00031    0.4484   -7881.5820  0.3162 
   00032    0.4148   -7900.1270  0.3067 
   00033    0.4208   -7879.1619  0.3039 
   00034    0.4288   -7903.5382  0.3011 
   00035    0.4428   -7938.2766  0.2971 
   00036    0.4260   -7962.0260  0.3021 
   00037    0.4360   -8002.3589  0.3063 
   00038    0.4312   -8006.6843  0.3100 
   00039    0.4076   -7985.0232  0.3175 
   00040    0.4200   -8010.2320  0.3142 
   00041    0.4304   -8000.0588  0.3167 
   00042    0.4340   -8023.7783  0.3127 
   00043    0.4348   -8014.5292  0.3089 
   00044    0.4204   -8037.0730  0.3085 
   00045    0.4432   -8062.4875  0.3017 
   00046    0.4356   -8046.4687  0.3020 
   00047    0.4360   -8053.0141  0.2954 
   00048    0.4388   -8034.6554  0.2999 
   00049    0.4256   -8030.3324  0.3019 
   00050    0.4368   -8045.1979  0.2915 
