#=====================================================
# File created:        Wed-08-Nov-2023-at-10-10-16AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.711482
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9851.3104  0.2576 
   00001    0.0000  -13901.3087  0.2583 
   00002    0.0000  -16690.3541  0.2613 
   00003    0.0000  -18792.1362  0.2603 
   00004    0.0000  -20400.4036  0.2628 
   00005    0.0000  -21978.4389  0.2649 
   00006    0.0000  -23090.1746  0.2636 
   00007    0.0000  -23995.2153  0.2624 
   00008    0.0000  -24965.9373  0.2623 
   00009    0.0000  -25618.6624  0.2633 
   00010    0.0000  -26180.8038  0.2665 
   00011    0.0000  -26777.5163  0.2679 
   00012    0.0000  -27253.2511  0.2727 
   00013    0.0000  -27697.8394  0.2748 
   00014    0.0000  -28040.4523  0.2774 
   00015    0.0000  -28347.8967  0.2824 
   00016    0.0000  -28548.0653  0.2849 
   00017    0.0000  -28751.7770  0.2914 
   00018    0.0000  -28937.0381  0.2898 
   00019    0.0000  -29175.4230  0.2875 
   00020    0.0000  -29412.1255  0.2887 
   00021    0.0000  -29546.5014  0.2877 
   00022    0.0000  -29735.4326  0.2915 
   00023    0.0000  -29968.7174  0.2971 
   00024    0.0000  -30038.9068  0.2978 
   00025    0.0000  -30227.4266  0.3024 
   00026    0.0000  -30252.4503  0.3035 
   00027    0.0000  -30392.6033  0.3054 
   00028    0.0000  -30620.9095  0.3059 
   00029    0.0000  -30657.6565  0.3079 
   00030    0.0000  -30727.8548  0.3087 
   00031    0.0000  -30775.6448  0.3075 
   00032    0.0000  -30842.6373  0.3116 
   00033    0.0000  -30746.8956  0.3108 
   00034    0.0000  -30711.3429  0.3103 
   00035    0.0000  -30813.4227  0.3138 
   00036    0.0000  -30957.7197  0.3091 
   00037    0.0000  -31012.8175  0.3127 
   00038    0.0000  -31134.0202  0.3099 
   00039    0.0000  -31131.4398  0.3111 
   00040    0.0000  -31171.3794  0.3126 
   00041    0.0000  -31341.1249  0.3151 
   00042    0.0000  -31317.0119  0.3187 
   00043    0.0000  -31431.4901  0.3221 
   00044    0.0000  -31485.4514  0.3191 
   00045    0.0000  -31577.8001  0.3194 
   00046    0.0000  -31651.7875  0.3207 
   00047    0.0000  -31665.8777  0.3192 
   00048    0.0000  -31635.8400  0.3183 
   00049    0.0000  -31648.1634  0.3210 
   00050    0.0000  -31768.1413  0.3195 
