#=====================================================
# File created:        Wed-01-Nov-2023-at-12-15-54PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2520.8684  0.2705 
   00001    0.6800   -3404.7706  0.2708 
   00002    0.6340   -4182.3447  0.2767 
   00003    0.6028   -4662.3317  0.2883 
   00004    0.5812   -5038.6802  0.2811 
   00005    0.5500   -5404.8052  0.2889 
   00006    0.5348   -5587.8697  0.2980 
   00007    0.5352   -5813.3403  0.3000 
   00008    0.5336   -5954.9286  0.2961 
   00009    0.5352   -6132.8210  0.2895 
   00010    0.5104   -6304.0292  0.2886 
   00011    0.5124   -6480.5547  0.2992 
   00012    0.4968   -6649.6624  0.3047 
   00013    0.4856   -6695.1101  0.3058 
   00014    0.4856   -6779.3655  0.3035 
   00015    0.4848   -6907.8322  0.3102 
   00016    0.4760   -7056.5242  0.3074 
   00017    0.4772   -7169.8466  0.3017 
   00018    0.4600   -7274.6778  0.3050 
   00019    0.4504   -7303.4451  0.3010 
   00020    0.4496   -7406.3686  0.2973 
   00021    0.4708   -7440.2551  0.3005 
   00022    0.4592   -7512.1594  0.2967 
   00023    0.4516   -7530.1341  0.3005 
   00024    0.4532   -7541.7469  0.3006 
   00025    0.4564   -7527.7566  0.3022 
   00026    0.4516   -7582.1244  0.2952 
   00027    0.4444   -7556.0262  0.2922 
   00028    0.4508   -7638.0994  0.2902 
   00029    0.4488   -7637.4383  0.2884 
   00030    0.4604   -7681.4862  0.2810 
   00031    0.4608   -7694.1731  0.2829 
   00032    0.4336   -7693.9684  0.2826 
   00033    0.4428   -7731.3336  0.2803 
   00034    0.4384   -7676.6534  0.2806 
   00035    0.4252   -7736.7820  0.2885 
   00036    0.4248   -7778.1153  0.2843 
   00037    0.4552   -7748.2948  0.2839 
   00038    0.4476   -7775.8496  0.2764 
   00039    0.4388   -7789.5145  0.2638 
   00040    0.4392   -7859.0830  0.2673 
   00041    0.4548   -7861.6312  0.2654 
   00042    0.4404   -7893.7314  0.2649 
   00043    0.4404   -7852.7170  0.2716 
   00044    0.4532   -7840.3027  0.2664 
   00045    0.4476   -7843.2613  0.2691 
   00046    0.4448   -7856.4119  0.2666 
   00047    0.4132   -7838.0332  0.2633 
   00048    0.4380   -7865.0862  0.2682 
   00049    0.4508   -7905.3080  0.2646 
   00050    0.4388   -7867.6983  0.2571 
