#=====================================================
# File created:        Wed-08-Nov-2023-at-03-59-37AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        15.510874
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10025.3685  0.2567 
   00001    0.2232  -14040.2810  0.2571 
   00002    0.2302  -16740.6640  0.2565 
   00003    0.2207  -18757.6072  0.2534 
   00004    0.2243  -20326.2667  0.2523 
   00005    0.2139  -21839.5738  0.2526 
   00006    0.2255  -22866.6987  0.2544 
   00007    0.2207  -23841.2787  0.2554 
   00008    0.2211  -24698.3314  0.2527 
   00009    0.2176  -25408.9713  0.2561 
   00010    0.2122  -25999.0520  0.2580 
   00011    0.2108  -26421.6192  0.2569 
   00012    0.2101  -26754.9173  0.2612 
   00013    0.2144  -27107.1611  0.2657 
   00014    0.2138  -27476.2294  0.2674 
   00015    0.2100  -27929.1991  0.2684 
   00016    0.2173  -28125.5942  0.2707 
   00017    0.2152  -28425.9393  0.2752 
   00018    0.2149  -28644.7925  0.2771 
   00019    0.2115  -28942.4873  0.2825 
   00020    0.2066  -29290.2736  0.2826 
   00021    0.2081  -29531.0739  0.2858 
   00022    0.2096  -29722.7125  0.2842 
   00023    0.2060  -29954.8363  0.2867 
   00024    0.2098  -30078.1599  0.2869 
   00025    0.2041  -30247.6026  0.2905 
   00026    0.2089  -30256.8729  0.2895 
   00027    0.2094  -30372.4928  0.2926 
   00028    0.2070  -30450.0405  0.2957 
   00029    0.2060  -30589.8595  0.2996 
   00030    0.2082  -30696.3185  0.3044 
   00031    0.2107  -30768.3957  0.3021 
   00032    0.2024  -30884.8499  0.2996 
   00033    0.2031  -30939.8243  0.3014 
   00034    0.2017  -31050.7512  0.3009 
   00035    0.2070  -31121.4814  0.3008 
   00036    0.2019  -31259.9391  0.3022 
   00037    0.1995  -31324.9743  0.3066 
   00038    0.1991  -31384.4018  0.3087 
   00039    0.2081  -31462.9902  0.3057 
   00040    0.1981  -31634.7705  0.3030 
   00041    0.2081  -31607.5499  0.3047 
   00042    0.2067  -31559.6923  0.3093 
   00043    0.1967  -31735.7132  0.3102 
   00044    0.2010  -31798.4837  0.3125 
   00045    0.2123  -31746.0351  0.3113 
   00046    0.2017  -31785.9026  0.3126 
   00047    0.1940  -31856.1694  0.3077 
   00048    0.2123  -31809.6010  0.3090 
   00049    0.1993  -31814.5602  0.3087 
   00050    0.2010  -31935.7416  0.3093 
