#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Tue-07-Nov-2023-at-11-45-09AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.622274
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.000000   -2566.2733  0.2711 
   00002    0.000000   -2566.2733  0.2711 
   00003    0.000000   -2566.2733  0.2711 
   00004    0.000000   -2566.2733  0.2711 
   00005    0.000000   -2566.2733  0.2711 
   00006    0.000000   -2566.2733  0.2711 
   00007    0.000000   -2566.2733  0.2711 
   00008    0.000000   -2566.2733  0.2711 
   00009    0.000000   -2566.2733  0.2711 
   00010    0.000000   -2566.2733  0.2711 
   00011    0.000000   -2566.2733  0.2711 
   00012    0.000000   -2566.2733  0.2711 
   00013    0.000000   -2566.2733  0.2711 
   00014    0.000000   -2566.2733  0.2711 
   00015    0.000000   -2566.2733  0.2711 
   00016    0.000000   -2566.2733  0.2711 
   00017    0.000000   -2566.2733  0.2711 
   00018    0.000000   -2566.2733  0.2711 
   00019    0.000000   -2566.2733  0.2711 
   00020    0.000000   -2566.2733  0.2711 
   00021    0.000000   -2566.2733  0.2711 
   00022    0.000000   -2566.2733  0.2711 
   00023    0.000000   -2566.2733  0.2711 
   00024    0.000000   -2566.2733  0.2711 
   00025    0.000000   -2566.2733  0.2711 
   00026    0.000000   -2566.2733  0.2711 
   00027    0.000000   -2566.2733  0.2711 
   00028    0.000000   -2566.2733  0.2711 
   00029    0.000000   -2566.2733  0.2711 
   00030    0.000000   -2566.2733  0.2711 
   00031    0.000000   -2566.2733  0.2711 
   00032    0.000000   -2566.2733  0.2711 
   00033    0.000000   -2566.2733  0.2711 
   00034    0.000000   -2566.2733  0.2711 
   00035    0.000000   -2566.2733  0.2711 
   00036    0.000000   -2566.2733  0.2711 
   00037    0.000000   -2566.2733  0.2711 
   00038    0.000000   -2566.2733  0.2711 
   00039    0.000000   -2566.2733  0.2711 
   00040    0.000000   -2566.2733  0.2711 
   00041    0.000000   -2566.2733  0.2711 
   00042    0.000000   -2566.2733  0.2711 
   00043    0.000000   -2566.2733  0.2711 
   00044    0.000000   -2566.2733  0.2711 
   00045    0.000000   -2566.2733  0.2711 
   00046    0.000000   -2566.2733  0.2711 
   00047    0.000000   -2566.2733  0.2711 
   00048    0.000000   -2566.2733  0.2711 
   00049    0.000000   -2566.2733  0.2711 
   00050    0.000000   -2566.2733  0.2711 
