#=====================================================
# File created:        Wed-18-Oct-2023-at-01-51-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.619955
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2543.9230  0.2706 
   00001    0.6832   -3827.6858  0.2697 
   00002    0.6248   -4556.8288  0.2707 
   00003    0.5784   -5090.7416  0.2761 
   00004    0.5412   -5506.8132  0.2909 
   00005    0.5584   -5861.5747  0.2864 
   00006    0.5152   -6075.2427  0.2886 
   00007    0.5188   -6294.1947  0.2935 
   00008    0.5108   -6504.2672  0.3013 
   00009    0.5092   -6664.3793  0.3013 
   00010    0.4844   -6826.1277  0.3060 
   00011    0.4860   -6927.5992  0.3131 
   00012    0.4716   -7036.5433  0.3102 
   00013    0.4832   -7134.3643  0.3128 
   00014    0.4600   -7185.7042  0.3145 
   00015    0.4540   -7228.3907  0.3194 
   00016    0.4584   -7317.3283  0.3141 
   00017    0.4540   -7400.0442  0.3179 
   00018    0.4632   -7448.3916  0.3242 
   00019    0.4668   -7509.0943  0.3254 
   00020    0.4452   -7606.3075  0.3308 
   00021    0.4720   -7631.4541  0.3372 
   00022    0.4536   -7681.7539  0.3420 
   00023    0.4244   -7715.3557  0.3511 
   00024    0.4268   -7735.9769  0.3552 
   00025    0.4324   -7781.2227  0.3588 
   00026    0.4536   -7784.7712  0.3599 
   00027    0.4280   -7785.1597  0.3749 
   00028    0.4452   -7810.7817  0.3746 
   00029    0.4292   -7853.6115  0.3807 
   00030    0.4192   -7862.4273  0.3850 
   00031    0.4528   -7882.4560  0.3861 
   00032    0.4228   -7871.6237  0.3870 
   00033    0.4280   -7878.9272  0.3846 
   00034    0.4328   -7899.3412  0.3882 
   00035    0.4504   -7943.6531  0.3885 
   00036    0.4252   -7936.8291  0.3955 
   00037    0.4416   -7954.1998  0.3914 
   00038    0.4212   -7968.2394  0.3889 
   00039    0.4440   -7995.9214  0.3864 
   00040    0.4268   -7964.5570  0.3876 
   00041    0.4532   -7963.7441  0.3919 
   00042    0.4248   -7944.9096  0.3945 
   00043    0.4384   -7941.4013  0.4017 
   00044    0.4316   -7957.4189  0.3995 
   00045    0.4220   -7994.2884  0.4041 
   00046    0.4244   -7987.1941  0.4065 
   00047    0.4252   -8041.7550  0.4071 
   00048    0.4352   -8009.1584  0.4096 
   00049    0.4404   -7986.1868  0.4007 
   00050    0.4300   -8015.6499  0.4019 
