#=====================================================
# File created:        Wed-18-Oct-2023-at-07-54-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.343272
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.9908  0.2576 
   00001    0.6764   -3779.4711  0.2643 
   00002    0.6196   -4600.3527  0.2708 
   00003    0.5836   -5117.5775  0.2793 
   00004    0.5712   -5566.9403  0.2759 
   00005    0.5460   -5980.8758  0.2732 
   00006    0.5300   -6232.1925  0.2758 
   00007    0.5044   -6447.9213  0.2914 
   00008    0.5032   -6644.5605  0.2973 
   00009    0.4904   -6719.5340  0.2940 
   00010    0.4792   -6834.7806  0.3011 
   00011    0.4896   -6986.2626  0.2872 
   00012    0.4656   -7081.0798  0.2820 
   00013    0.4796   -7213.4446  0.2777 
   00014    0.4764   -7233.5419  0.2799 
   00015    0.4500   -7268.0967  0.2815 
   00016    0.4488   -7359.2487  0.2867 
   00017    0.4520   -7384.7673  0.2878 
   00018    0.4564   -7422.1163  0.2819 
   00019    0.4656   -7464.1883  0.2787 
   00020    0.4280   -7494.0220  0.2742 
   00021    0.4732   -7595.9174  0.2697 
   00022    0.4444   -7637.7063  0.2726 
   00023    0.4312   -7665.6434  0.2742 
   00024    0.4200   -7714.5078  0.2775 
   00025    0.4352   -7759.5829  0.2796 
   00026    0.4396   -7772.0804  0.2816 
   00027    0.4296   -7804.1739  0.2851 
   00028    0.4280   -7856.5064  0.2849 
   00029    0.4460   -7910.7637  0.2805 
   00030    0.4120   -7923.3174  0.2748 
   00031    0.4468   -7922.9640  0.2727 
   00032    0.4276   -7944.9138  0.2636 
   00033    0.4420   -7937.0019  0.2622 
   00034    0.4488   -7954.8266  0.2661 
   00035    0.4300   -7970.5088  0.2625 
   00036    0.4188   -7921.7899  0.2702 
   00037    0.4312   -7935.5720  0.2642 
   00038    0.4292   -7978.7653  0.2612 
   00039    0.4404   -7936.2842  0.2638 
   00040    0.4408   -7941.8254  0.2612 
   00041    0.4320   -7963.1263  0.2669 
   00042    0.4244   -7949.9678  0.2544 
   00043    0.4332   -7970.4945  0.2606 
   00044    0.4200   -7986.9362  0.2625 
   00045    0.4380   -7993.5834  0.2654 
   00046    0.4336   -7994.7875  0.2605 
   00047    0.4264   -7939.9640  0.2515 
   00048    0.4284   -7935.0688  0.2555 
   00049    0.4116   -7983.0668  0.2557 
   00050    0.4188   -7996.7754  0.2534 
