#=====================================================
# File created:        Thu-19-Oct-2023-at-12-05-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.504702
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2461.5196  0.2634 
   00001    0.6892   -3738.4917  0.2804 
   00002    0.6324   -4469.1395  0.2823 
   00003    0.5880   -5109.0166  0.2799 
   00004    0.5556   -5501.4051  0.2729 
   00005    0.5256   -5827.5844  0.2777 
   00006    0.5376   -6089.6635  0.2723 
   00007    0.5196   -6381.8158  0.2622 
   00008    0.5080   -6621.7638  0.2794 
   00009    0.4852   -6733.4646  0.2734 
   00010    0.4788   -6858.8092  0.2762 
   00011    0.4900   -6967.9531  0.2826 
   00012    0.4848   -7127.8345  0.2882 
   00013    0.4720   -7236.1586  0.2852 
   00014    0.4620   -7287.3489  0.2956 
   00015    0.4712   -7405.6636  0.2980 
   00016    0.4592   -7470.9641  0.3052 
   00017    0.4380   -7543.5831  0.3126 
   00018    0.4468   -7627.9924  0.3196 
   00019    0.4488   -7686.0533  0.3227 
   00020    0.4468   -7712.5358  0.3298 
   00021    0.4440   -7753.1453  0.3340 
   00022    0.4280   -7786.5375  0.3429 
   00023    0.4392   -7829.5450  0.3477 
   00024    0.4388   -7853.8735  0.3436 
   00025    0.4240   -7871.6959  0.3415 
   00026    0.4344   -7866.2327  0.3457 
   00027    0.4320   -7916.0551  0.3453 
   00028    0.4512   -7905.8263  0.3471 
   00029    0.4232   -7864.9127  0.3493 
   00030    0.4252   -7903.5180  0.3535 
   00031    0.4240   -7958.6379  0.3557 
   00032    0.4320   -7943.3130  0.3571 
   00033    0.4136   -7933.2694  0.3581 
   00034    0.4520   -7998.7807  0.3528 
   00035    0.4572   -8019.0774  0.3543 
   00036    0.4184   -8002.3381  0.3572 
   00037    0.4260   -8011.9357  0.3536 
   00038    0.4540   -8053.1878  0.3510 
   00039    0.4372   -8085.8726  0.3540 
   00040    0.4072   -8124.3110  0.3523 
   00041    0.4144   -8114.3990  0.3476 
   00042    0.4384   -8142.1855  0.3512 
   00043    0.4288   -8142.9487  0.3457 
   00044    0.4256   -8157.5572  0.3462 
   00045    0.4304   -8195.1629  0.3536 
   00046    0.4260   -8215.5838  0.3532 
   00047    0.4080   -8224.6369  0.3524 
   00048    0.4424   -8213.3584  0.3491 
   00049    0.4284   -8202.4550  0.3444 
   00050    0.4096   -8193.8327  0.3509 
