#=====================================================
# File created:        Wed-18-Oct-2023-at-01-59-34PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.243960
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2535.0364  0.2648 
   00001    0.6728   -3861.9046  0.2894 
   00002    0.6004   -4711.5991  0.2978 
   00003    0.5860   -5334.8254  0.3095 
   00004    0.5292   -5766.2638  0.3050 
   00005    0.5308   -6070.5690  0.3014 
   00006    0.5164   -6362.2212  0.3126 
   00007    0.4856   -6529.5110  0.3232 
   00008    0.4844   -6747.7442  0.3364 
   00009    0.5096   -6876.8596  0.3484 
   00010    0.4668   -7034.7004  0.3581 
   00011    0.4600   -7154.7866  0.3674 
   00012    0.4612   -7182.2069  0.3766 
   00013    0.4584   -7233.5358  0.3764 
   00014    0.4732   -7289.1162  0.3784 
   00015    0.4604   -7358.5321  0.3857 
   00016    0.4540   -7432.4039  0.3850 
   00017    0.4600   -7523.8677  0.3861 
   00018    0.4520   -7573.2608  0.3927 
   00019    0.4372   -7644.5247  0.3872 
   00020    0.4452   -7669.8329  0.3802 
   00021    0.4332   -7717.6237  0.3761 
   00022    0.4488   -7746.2871  0.3790 
   00023    0.4204   -7779.1068  0.3820 
   00024    0.4340   -7836.3893  0.3865 
   00025    0.4460   -7895.1395  0.3888 
   00026    0.4388   -7910.3305  0.3901 
   00027    0.4172   -7903.6898  0.3850 
   00028    0.4408   -7905.4145  0.3861 
   00029    0.4356   -7933.2482  0.3894 
   00030    0.4320   -7941.8447  0.3918 
   00031    0.4248   -7962.5302  0.3893 
   00032    0.4248   -7972.1213  0.3959 
   00033    0.4348   -8009.1401  0.3992 
   00034    0.4208   -8003.5056  0.3933 
   00035    0.4380   -8004.8503  0.3949 
   00036    0.4436   -8010.9185  0.4003 
   00037    0.4372   -8038.1895  0.3951 
   00038    0.4212   -8108.1593  0.3963 
   00039    0.4304   -8184.1386  0.3983 
   00040    0.4352   -8206.4975  0.3944 
   00041    0.4228   -8213.5260  0.3913 
   00042    0.4208   -8195.0451  0.3910 
   00043    0.4388   -8172.0221  0.3914 
   00044    0.4408   -8178.9822  0.3969 
   00045    0.4160   -8161.1589  0.3971 
   00046    0.4424   -8183.5979  0.3928 
   00047    0.4220   -8165.2612  0.3940 
   00048    0.4172   -8172.6115  0.3927 
   00049    0.4128   -8191.1931  0.3952 
   00050    0.4428   -8203.5399  0.3868 
