#=====================================================
# File created:        Wed-25-Oct-2023-at-03-53-11PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.002431
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2459.1371  0.2572 
   00001    0.6880   -3718.1238  0.2544 
   00002    0.6204   -4509.3763  0.2532 
   00003    0.5748   -5110.9401  0.2523 
   00004    0.5616   -5620.9036  0.2540 
   00005    0.5416   -5921.9062  0.2540 
   00006    0.5080   -6163.8540  0.2574 
   00007    0.5028   -6368.4993  0.2593 
   00008    0.4940   -6492.3638  0.2566 
   00009    0.4944   -6698.4423  0.2597 
   00010    0.4844   -6830.2805  0.2604 
   00011    0.4760   -6943.1005  0.2622 
   00012    0.4820   -7043.8194  0.2664 
   00013    0.4668   -7210.8792  0.2664 
   00014    0.4632   -7261.1372  0.2661 
   00015    0.4524   -7281.1952  0.2660 
   00016    0.4504   -7345.6808  0.2625 
   00017    0.4684   -7392.9533  0.2624 
   00018    0.4356   -7489.3023  0.2636 
   00019    0.4560   -7530.1620  0.2620 
   00020    0.4556   -7562.2372  0.2617 
   00021    0.4392   -7653.1752  0.2645 
   00022    0.4736   -7678.2919  0.2644 
   00023    0.4392   -7687.3354  0.2651 
   00024    0.4460   -7684.4672  0.2642 
   00025    0.4552   -7675.9072  0.2647 
   00026    0.4380   -7706.1957  0.2651 
   00027    0.4300   -7769.3686  0.2615 
   00028    0.4524   -7736.9877  0.2588 
   00029    0.4532   -7736.8838  0.2556 
   00030    0.4416   -7775.9146  0.2552 
   00031    0.4488   -7820.6899  0.2548 
   00032    0.4372   -7798.3591  0.2567 
   00033    0.4416   -7870.9759  0.2558 
   00034    0.4392   -7884.6453  0.2563 
   00035    0.4328   -7845.5819  0.2563 
   00036    0.4444   -7902.5746  0.2560 
   00037    0.4412   -7984.0232  0.2548 
   00038    0.4512   -7981.4008  0.2551 
   00039    0.4456   -7949.8149  0.2575 
   00040    0.4212   -7929.4843  0.2569 
   00041    0.4244   -7997.3973  0.2548 
   00042    0.4444   -8010.4618  0.2556 
   00043    0.4328   -8010.7012  0.2566 
   00044    0.4120   -7978.9814  0.2581 
   00045    0.4112   -8025.9484  0.2591 
   00046    0.4292   -8015.3617  0.2610 
   00047    0.4292   -8033.6353  0.2621 
   00048    0.4316   -8027.4422  0.2620 
   00049    0.4320   -8010.2083  0.2613 
   00050    0.4484   -7996.6547  0.2633 
