#=====================================================
# File created:        Thu-19-Oct-2023-at-12-40-41PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.091427
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2281.0517  -0.2345 
   00001    0.6876   -2420.6135  -0.2295 
   00002    0.6592   -2453.5583  -0.2289 
   00003    0.6788   -2467.9013  -0.2384 
   00004    0.6708   -2389.0837  -0.2479 
   00005    0.6888   -2501.2418  -0.2387 
   00006    0.6580   -2473.2447  -0.2406 
   00007    0.6840   -2515.3464  -0.2351 
   00008    0.6944   -2554.3575  -0.2435 
   00009    0.6484   -2472.9005  -0.2457 
   00010    0.6756   -2450.2867  -0.2455 
   00011    0.6844   -2556.4859  -0.2453 
   00012    0.6764   -2493.5843  -0.2453 
   00013    0.6832   -2522.3245  -0.2403 
   00014    0.6956   -2646.3599  -0.2431 
   00015    0.6760   -2672.6667  -0.2426 
   00016    0.6520   -2552.3046  -0.2419 
   00017    0.6612   -2584.1727  -0.2360 
   00018    0.6784   -2569.2442  -0.2246 
   00019    0.6504   -2487.0209  -0.2267 
   00020    0.6780   -2447.5846  -0.2322 
   00021    0.6816   -2486.1511  -0.2463 
   00022    0.6732   -2575.2281  -0.2429 
   00023    0.6764   -2627.4373  -0.2364 
   00024    0.6704   -2641.0125  -0.2366 
   00025    0.6724   -2582.3550  -0.2333 
   00026    0.6528   -2432.1718  -0.2259 
   00027    0.6720   -2416.2308  -0.2269 
   00028    0.6824   -2405.1407  -0.2269 
   00029    0.6768   -2369.6614  -0.2158 
   00030    0.6872   -2452.8945  -0.2243 
   00031    0.6768   -2438.9042  -0.2226 
   00032    0.6888   -2474.8269  -0.2394 
   00033    0.6688   -2477.4058  -0.2444 
   00034    0.6796   -2509.0583  -0.2469 
   00035    0.6768   -2590.8492  -0.2442 
   00036    0.6620   -2555.8941  -0.2309 
   00037    0.6580   -2522.1932  -0.2306 
   00038    0.6864   -2655.9416  -0.2287 
   00039    0.6672   -2529.2656  -0.2244 
   00040    0.6792   -2470.2645  -0.2316 
   00041    0.6608   -2502.7177  -0.2235 
   00042    0.6696   -2473.2336  -0.2375 
   00043    0.6656   -2407.7890  -0.2413 
   00044    0.6792   -2442.9059  -0.2374 
   00045    0.6796   -2516.8041  -0.2432 
   00046    0.6696   -2511.6100  -0.2330 
   00047    0.6832   -2595.3226  -0.2360 
   00048    0.6664   -2668.2538  -0.2376 
   00049    0.6632   -2546.5288  -0.2474 
   00050    0.6692   -2509.4152  -0.2412 
