#=====================================================
# File created:        Wed-18-Oct-2023-at-02-01-51PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.221416
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2584.4332  0.2562 
   00001    0.6672   -3807.1482  0.2768 
   00002    0.6468   -4543.0532  0.2711 
   00003    0.5876   -5043.7654  0.2919 
   00004    0.5436   -5508.8020  0.2867 
   00005    0.5248   -5880.6491  0.2847 
   00006    0.5168   -6115.3875  0.2923 
   00007    0.5096   -6364.9623  0.2990 
   00008    0.5008   -6585.6816  0.2985 
   00009    0.4916   -6686.3413  0.2953 
   00010    0.4860   -6835.4181  0.2939 
   00011    0.4844   -6984.2437  0.2951 
   00012    0.4828   -7085.2614  0.2905 
   00013    0.4580   -7195.3761  0.2915 
   00014    0.4684   -7311.1459  0.2947 
   00015    0.4440   -7353.1469  0.2992 
   00016    0.4420   -7411.0256  0.2957 
   00017    0.4596   -7476.5471  0.2856 
   00018    0.4552   -7530.2114  0.2862 
   00019    0.4284   -7547.3593  0.2930 
   00020    0.4680   -7633.0356  0.2914 
   00021    0.4444   -7710.3204  0.2905 
   00022    0.4452   -7740.4869  0.2832 
   00023    0.4432   -7746.2855  0.2955 
   00024    0.4268   -7829.1414  0.2999 
   00025    0.4460   -7884.6213  0.3006 
   00026    0.4296   -7912.4924  0.2978 
   00027    0.4436   -7899.8767  0.3054 
   00028    0.4468   -7909.3315  0.3127 
   00029    0.4404   -7890.2840  0.3153 
   00030    0.4140   -7935.0834  0.3142 
   00031    0.4220   -7946.9163  0.3247 
   00032    0.4456   -7960.0865  0.3289 
   00033    0.4400   -7993.8132  0.3322 
   00034    0.4448   -8005.0433  0.3298 
   00035    0.4332   -7968.7665  0.3281 
   00036    0.4316   -7956.4167  0.3291 
   00037    0.4280   -7979.8286  0.3259 
   00038    0.4364   -7956.7832  0.3227 
   00039    0.4248   -8038.1910  0.3320 
   00040    0.4184   -8059.0289  0.3345 
   00041    0.4300   -8119.5010  0.3360 
   00042    0.4280   -8104.9551  0.3403 
   00043    0.4364   -8121.4452  0.3475 
   00044    0.4192   -8117.9117  0.3500 
   00045    0.4200   -8140.0119  0.3502 
   00046    0.4260   -8120.2061  0.3516 
   00047    0.4308   -8112.4231  0.3492 
   00048    0.4304   -8106.6308  0.3504 
   00049    0.4428   -8142.3846  0.3490 
   00050    0.4124   -8123.9972  0.3445 
