#=====================================================
# File created:        Wed-08-Nov-2023-at-03-59-19AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        14.335947
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10091.4032  0.2550 
   00001    0.2225  -13954.4214  0.2546 
   00002    0.2332  -16646.2070  0.2598 
   00003    0.2231  -18761.2143  0.2556 
   00004    0.2211  -20408.1502  0.2535 
   00005    0.2172  -21759.1224  0.2509 
   00006    0.2277  -22885.2239  0.2539 
   00007    0.2133  -23919.3732  0.2533 
   00008    0.2150  -24747.7065  0.2536 
   00009    0.2103  -25466.0755  0.2529 
   00010    0.2080  -26200.0903  0.2503 
   00011    0.2186  -26746.8402  0.2554 
   00012    0.2123  -27219.8227  0.2553 
   00013    0.2166  -27588.3421  0.2584 
   00014    0.2122  -27962.8807  0.2582 
   00015    0.2077  -28376.6327  0.2584 
   00016    0.2126  -28643.4000  0.2611 
   00017    0.2174  -28887.6787  0.2619 
   00018    0.2074  -29100.4297  0.2656 
   00019    0.2147  -29285.8532  0.2694 
   00020    0.2062  -29505.7653  0.2659 
   00021    0.2137  -29709.6784  0.2703 
   00022    0.2052  -29847.0975  0.2710 
   00023    0.2121  -30011.4138  0.2714 
   00024    0.2061  -30054.7406  0.2727 
   00025    0.2036  -30217.6213  0.2708 
   00026    0.2088  -30384.1143  0.2722 
   00027    0.2051  -30492.3462  0.2752 
   00028    0.2027  -30586.8516  0.2757 
   00029    0.2101  -30652.4829  0.2745 
   00030    0.2103  -30636.5954  0.2771 
   00031    0.2001  -30840.3348  0.2758 
   00032    0.1983  -31054.8544  0.2779 
   00033    0.2081  -31133.8698  0.2762 
   00034    0.2063  -31134.2739  0.2765 
   00035    0.2026  -31240.7957  0.2752 
   00036    0.1966  -31293.2537  0.2754 
   00037    0.2011  -31321.1597  0.2755 
   00038    0.2032  -31322.1369  0.2767 
   00039    0.2101  -31417.0398  0.2786 
   00040    0.2061  -31449.7457  0.2824 
   00041    0.2011  -31550.9524  0.2801 
   00042    0.2054  -31507.1308  0.2844 
   00043    0.2073  -31497.0946  0.2817 
   00044    0.1993  -31602.7396  0.2800 
   00045    0.2046  -31571.4644  0.2839 
   00046    0.2013  -31639.2764  0.2849 
   00047    0.1971  -31725.5651  0.2827 
   00048    0.2013  -31886.0646  0.2823 
   00049    0.2011  -31912.1599  0.2825 
   00050    0.2050  -31987.7247  0.2830 
