#=====================================================
# File created:        Wed-08-Nov-2023-at-04-00-54AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        18.869371
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10281.2613  0.2567 
   00001    0.2231  -13824.4827  0.2625 
   00002    0.2248  -16580.2966  0.2553 
   00003    0.2313  -18715.5377  0.2590 
   00004    0.2197  -20425.9856  0.2594 
   00005    0.2191  -21757.5198  0.2623 
   00006    0.2187  -23023.9766  0.2677 
   00007    0.2178  -23997.9291  0.2633 
   00008    0.2183  -24837.9772  0.2680 
   00009    0.2230  -25643.9049  0.2699 
   00010    0.2151  -26320.5216  0.2709 
   00011    0.2218  -26724.4479  0.2728 
   00012    0.2073  -27180.4855  0.2739 
   00013    0.2130  -27420.7568  0.2734 
   00014    0.2154  -27797.6283  0.2777 
   00015    0.2067  -28347.9206  0.2771 
   00016    0.2118  -28687.1383  0.2759 
   00017    0.2110  -28996.5728  0.2780 
   00018    0.2139  -29216.9921  0.2777 
   00019    0.2133  -29330.6292  0.2807 
   00020    0.2094  -29647.7770  0.2810 
   00021    0.2095  -29739.1184  0.2831 
   00022    0.2113  -29831.8096  0.2870 
   00023    0.2100  -29969.8906  0.2889 
   00024    0.2086  -29989.4037  0.2887 
   00025    0.2091  -30148.9795  0.2863 
   00026    0.2090  -30279.5997  0.2870 
   00027    0.2047  -30478.6076  0.2888 
   00028    0.2031  -30450.5526  0.2876 
   00029    0.2086  -30489.4753  0.2896 
   00030    0.2109  -30542.5953  0.2889 
   00031    0.2064  -30606.9756  0.2873 
   00032    0.2020  -30705.7772  0.2890 
   00033    0.2055  -30760.5881  0.2888 
   00034    0.2126  -30808.4374  0.2922 
   00035    0.2074  -30881.1487  0.2939 
   00036    0.2023  -30899.6125  0.2952 
   00037    0.2059  -31055.1624  0.2977 
   00038    0.2037  -31163.6370  0.3019 
   00039    0.2025  -31253.1652  0.3024 
   00040    0.2105  -31239.9085  0.3019 
   00041    0.2047  -31275.0408  0.3012 
   00042    0.2038  -31388.1827  0.3030 
   00043    0.2007  -31567.6689  0.3024 
   00044    0.1996  -31617.7600  0.3056 
   00045    0.2024  -31694.1538  0.3024 
   00046    0.2104  -31650.8972  0.3049 
   00047    0.2014  -31758.7440  0.3073 
   00048    0.2033  -31656.5657  0.3062 
   00049    0.2024  -31702.9165  0.3069 
   00050    0.2031  -31754.1002  0.3080 
