#=====================================================
# File created:        Wed-08-Nov-2023-at-04-03-22AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        16.178616
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10106.9385  0.2533 
   00001    0.2216  -13946.7788  0.2574 
   00002    0.2214  -16782.2636  0.2523 
   00003    0.2232  -18911.3737  0.2592 
   00004    0.2272  -20529.2279  0.2641 
   00005    0.2177  -22009.5095  0.2642 
   00006    0.2248  -23000.7507  0.2648 
   00007    0.2288  -23797.0914  0.2686 
   00008    0.2174  -24695.0848  0.2693 
   00009    0.2174  -25437.1419  0.2773 
   00010    0.2158  -26109.8293  0.2791 
   00011    0.2144  -26729.4945  0.2803 
   00012    0.2067  -27239.4802  0.2812 
   00013    0.2110  -27612.2515  0.2829 
   00014    0.2122  -27923.4295  0.2853 
   00015    0.2122  -28220.2302  0.2865 
   00016    0.2061  -28628.0588  0.2873 
   00017    0.2055  -28889.9420  0.2862 
   00018    0.2112  -29035.5312  0.2858 
   00019    0.2191  -29171.7282  0.2838 
   00020    0.2104  -29364.5932  0.2880 
   00021    0.2056  -29540.7049  0.2898 
   00022    0.2048  -29775.0867  0.2896 
   00023    0.2143  -29891.2659  0.2888 
   00024    0.2088  -29985.7463  0.2886 
   00025    0.2102  -30127.9960  0.2922 
   00026    0.2123  -30266.0058  0.2915 
   00027    0.2084  -30404.8566  0.2923 
   00028    0.2122  -30505.5736  0.2904 
   00029    0.2088  -30617.5828  0.2894 
   00030    0.2088  -30674.0507  0.2890 
   00031    0.1991  -30757.3957  0.2914 
   00032    0.1999  -30848.5124  0.2939 
   00033    0.2063  -30974.3307  0.2954 
   00034    0.2083  -31096.4202  0.2986 
   00035    0.2089  -31131.9022  0.2986 
   00036    0.2093  -31237.1784  0.2991 
   00037    0.2116  -31190.6768  0.2987 
   00038    0.2061  -31284.9244  0.2958 
   00039    0.2051  -31304.9155  0.2988 
   00040    0.2032  -31410.3580  0.3012 
   00041    0.2059  -31442.6433  0.2991 
   00042    0.2051  -31499.3279  0.2997 
   00043    0.2024  -31533.8420  0.3034 
   00044    0.2045  -31538.5980  0.3026 
   00045    0.2043  -31489.8342  0.3001 
   00046    0.2007  -31596.3279  0.3013 
   00047    0.1960  -31807.4083  0.3032 
   00048    0.2104  -31724.9954  0.3052 
   00049    0.2077  -31744.2866  0.3047 
   00050    0.2049  -31728.6840  0.3051 
