#=====================================================
# File created:        Wed-08-Nov-2023-at-04-03-42AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        17.484854
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10082.4256  0.2585 
   00001    0.2175  -13963.7265  0.2554 
   00002    0.2304  -16770.5623  0.2565 
   00003    0.2206  -19108.0741  0.2539 
   00004    0.2176  -20675.8818  0.2528 
   00005    0.2183  -21962.6267  0.2602 
   00006    0.2223  -22995.4368  0.2645 
   00007    0.2239  -23869.7706  0.2673 
   00008    0.2252  -24650.9674  0.2721 
   00009    0.2202  -25421.6261  0.2690 
   00010    0.2167  -26011.8919  0.2716 
   00011    0.2071  -26881.3551  0.2730 
   00012    0.2135  -27370.0853  0.2778 
   00013    0.2187  -27780.5808  0.2785 
   00014    0.2095  -28164.3739  0.2812 
   00015    0.2093  -28445.2792  0.2819 
   00016    0.2112  -28800.9721  0.2800 
   00017    0.2103  -29096.7188  0.2821 
   00018    0.2148  -29371.1584  0.2843 
   00019    0.2159  -29409.1360  0.2865 
   00020    0.2066  -29632.1473  0.2841 
   00021    0.2140  -29751.3798  0.2842 
   00022    0.2099  -29895.8046  0.2878 
   00023    0.2066  -30070.5208  0.2919 
   00024    0.2075  -30118.6611  0.2926 
   00025    0.2015  -30279.1482  0.2947 
   00026    0.2131  -30324.2818  0.2966 
   00027    0.2114  -30342.7361  0.2984 
   00028    0.2112  -30380.9300  0.2959 
   00029    0.2086  -30439.8748  0.2968 
   00030    0.1997  -30610.2064  0.2956 
   00031    0.2065  -30644.3309  0.2962 
   00032    0.1936  -30844.5003  0.2959 
   00033    0.2038  -30919.1601  0.2999 
   00034    0.2085  -31037.3615  0.3005 
   00035    0.2063  -31055.4763  0.2998 
   00036    0.1980  -31240.7673  0.2976 
   00037    0.2041  -31420.6649  0.2987 
   00038    0.2037  -31484.7101  0.3013 
   00039    0.2005  -31575.0470  0.2995 
   00040    0.2054  -31567.1913  0.2954 
   00041    0.2012  -31601.2631  0.3010 
   00042    0.1991  -31633.2579  0.2969 
   00043    0.2017  -31610.3781  0.2965 
   00044    0.1983  -31697.1260  0.2965 
   00045    0.2030  -31696.6156  0.2969 
   00046    0.2029  -31737.1263  0.2938 
   00047    0.2023  -31769.7921  0.2977 
   00048    0.2054  -31728.6568  0.3013 
   00049    0.2006  -31805.0448  0.3053 
   00050    0.2037  -31842.5604  0.3047 
