#=====================================================
# File created:        Wed-01-Nov-2023-at-12-38-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        128.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2508.2037  0.2657 
   00001    0.6840   -3479.7446  0.2633 
   00002    0.6268   -4174.5593  0.2527 
   00003    0.5932   -4656.7889  0.2563 
   00004    0.5836   -4999.0540  0.2648 
   00005    0.5656   -5346.3463  0.2819 
   00006    0.5404   -5682.2257  0.2871 
   00007    0.5360   -5855.1128  0.2940 
   00008    0.5300   -6092.5090  0.3007 
   00009    0.5244   -6302.4607  0.3147 
   00010    0.4940   -6452.6340  0.3214 
   00011    0.5012   -6555.1027  0.3222 
   00012    0.4932   -6615.3824  0.3238 
   00013    0.5048   -6738.5531  0.3285 
   00014    0.4704   -6824.6276  0.3339 
   00015    0.4884   -6889.5425  0.3316 
   00016    0.4860   -6943.0994  0.3397 
   00017    0.4860   -6966.4095  0.3375 
   00018    0.4636   -7054.1425  0.3379 
   00019    0.4736   -7135.2541  0.3326 
   00020    0.4860   -7185.4606  0.3431 
   00021    0.4540   -7211.0494  0.3432 
   00022    0.4548   -7231.8340  0.3524 
   00023    0.4800   -7298.4599  0.3610 
   00024    0.4512   -7341.3827  0.3673 
   00025    0.4720   -7356.3964  0.3667 
   00026    0.4652   -7405.1336  0.3744 
   00027    0.4664   -7465.5816  0.3769 
   00028    0.4512   -7557.3747  0.3714 
   00029    0.4536   -7536.3662  0.3767 
   00030    0.4600   -7581.1938  0.3735 
   00031    0.4440   -7652.5674  0.3808 
   00032    0.4528   -7666.0392  0.3818 
   00033    0.4392   -7715.0612  0.3743 
   00034    0.4500   -7700.8374  0.3815 
   00035    0.4468   -7704.7176  0.3858 
   00036    0.4480   -7746.7169  0.3929 
   00037    0.4480   -7743.1140  0.3911 
   00038    0.4388   -7747.8995  0.3900 
   00039    0.4440   -7787.3594  0.3997 
   00040    0.4512   -7817.7029  0.4038 
   00041    0.4252   -7829.1448  0.4021 
   00042    0.4396   -7839.3165  0.4046 
   00043    0.4336   -7842.3738  0.4094 
   00044    0.4452   -7815.2860  0.4102 
   00045    0.4232   -7797.9163  0.4165 
   00046    0.4468   -7794.7700  0.4194 
   00047    0.4156   -7802.9109  0.4205 
   00048    0.4296   -7826.8112  0.4184 
   00049    0.4300   -7809.7384  0.4188 
   00050    0.4284   -7843.8942  0.4248 
