#=====================================================
# MPI Monte Carlo
# Num Procs:           1
# File created:        Wed-18-Oct-2023-at-04-16-57PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.046507
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2475.8808  0.2597 
   00001    0.691200   -3927.1505  0.2618 
   00002    0.620000   -4684.2847  0.2657 
   00003    0.589200   -5294.7636  0.2640 
   00004    0.550800   -5756.2921  0.2671 
   00005    0.550400   -6131.2192  0.2769 
   00006    0.496400   -6408.1943  0.2693 
   00007    0.486400   -6627.3239  0.2704 
   00008    0.492000   -6776.5613  0.2683 
   00009    0.486000   -6911.3593  0.2767 
   00010    0.472800   -7057.8396  0.2733 
   00011    0.466800   -7152.9873  0.2701 
   00012    0.452000   -7214.3463  0.2754 
   00013    0.456000   -7356.8276  0.2767 
   00014    0.456400   -7430.9212  0.2723 
   00015    0.440800   -7502.4347  0.2738 
   00016    0.446400   -7594.9436  0.2862 
   00017    0.448800   -7660.4472  0.2762 
   00018    0.436400   -7717.3796  0.2734 
   00019    0.428400   -7779.4753  0.2723 
   00020    0.446400   -7812.6489  0.2781 
   00021    0.436000   -7884.5700  0.2747 
   00022    0.450400   -7915.6998  0.2684 
   00023    0.439200   -7953.7975  0.2699 
   00024    0.430400   -7910.4549  0.2747 
   00025    0.428000   -7975.4084  0.2677 
   00026    0.436800   -7963.8461  0.2670 
   00027    0.427200   -8035.1323  0.2753 
   00028    0.425600   -8014.6735  0.2737 
   00029    0.429600   -8020.6572  0.2682 
   00030    0.418000   -8035.5232  0.2763 
   00031    0.423200   -8079.9050  0.2710 
   00032    0.420000   -8024.3631  0.2737 
   00033    0.438400   -8031.3483  0.2749 
   00034    0.434800   -8065.4392  0.2800 
   00035    0.436800   -8121.6298  0.2724 
   00036    0.424000   -8150.4002  0.2696 
   00037    0.446000   -8126.0542  0.2779 
   00038    0.426000   -8102.8647  0.2828 
   00039    0.414800   -8089.7878  0.2876 
   00040    0.439200   -8117.5297  0.2750 
   00041    0.420400   -8131.3549  0.2807 
   00042    0.439600   -8137.7349  0.2790 
   00043    0.440000   -8144.0787  0.2808 
   00044    0.430000   -8111.9280  0.2768 
   00045    0.427200   -8090.9338  0.2787 
   00046    0.419200   -8132.7822  0.2773 
   00047    0.414800   -8113.1948  0.2802 
   00048    0.434800   -8104.1403  0.2764 
   00049    0.422800   -8101.1210  0.2668 
   00050    0.433600   -8124.2992  0.2655 
