#=====================================================
# File created:        Mon-06-Nov-2023-at-08-10-11PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.942190
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2542.4857  0.2623 
   00001    0.2128   -3479.2312  0.2625 
   00002    0.2284   -4125.7283  0.2695 
   00003    0.2340   -4638.5681  0.2716 
   00004    0.2284   -5079.5443  0.2822 
   00005    0.2416   -5466.1703  0.2794 
   00006    0.2228   -5727.7320  0.2849 
   00007    0.2248   -5966.6859  0.2880 
   00008    0.2048   -6219.4497  0.2952 
   00009    0.2212   -6414.1540  0.2931 
   00010    0.2132   -6541.9760  0.2894 
   00011    0.2264   -6651.2246  0.2844 
   00012    0.2124   -6718.3376  0.2793 
   00013    0.2064   -6855.3381  0.2868 
   00014    0.2016   -6956.8606  0.2829 
   00015    0.2128   -7026.0771  0.2844 
   00016    0.2240   -7098.3674  0.2820 
   00017    0.2072   -7201.5007  0.2838 
   00018    0.2248   -7208.3327  0.2934 
   00019    0.2180   -7246.0988  0.2949 
   00020    0.2228   -7288.0729  0.2958 
   00021    0.2156   -7343.4007  0.3045 
   00022    0.2028   -7443.8504  0.3023 
   00023    0.2016   -7474.3108  0.3046 
   00024    0.2048   -7480.4381  0.3000 
   00025    0.2088   -7507.7180  0.3002 
   00026    0.2128   -7496.2264  0.3040 
   00027    0.2196   -7545.1664  0.3000 
   00028    0.2012   -7631.3285  0.2972 
   00029    0.2088   -7617.5007  0.2968 
   00030    0.2112   -7599.1613  0.3040 
   00031    0.2108   -7629.0638  0.3105 
   00032    0.2144   -7635.0820  0.3091 
   00033    0.2004   -7715.1784  0.3169 
   00034    0.1940   -7782.8665  0.3148 
   00035    0.2108   -7725.9523  0.3168 
   00036    0.2124   -7746.1719  0.3214 
   00037    0.2004   -7841.0497  0.3261 
   00038    0.2100   -7836.8424  0.3277 
   00039    0.1940   -7843.9941  0.3255 
   00040    0.1900   -7914.3741  0.3251 
   00041    0.2260   -7888.9079  0.3312 
   00042    0.2076   -7824.3788  0.3320 
   00043    0.2128   -7818.1235  0.3327 
   00044    0.2144   -7842.3137  0.3278 
   00045    0.2108   -7829.5979  0.3278 
   00046    0.2112   -7829.7212  0.3201 
   00047    0.2056   -7819.7756  0.3209 
   00048    0.2088   -7843.0443  0.3170 
   00049    0.2068   -7822.4289  0.3186 
   00050    0.2000   -7861.0386  0.3120 
