#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-10-52-08AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.562401
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.526800   -2566.2733  0.2711 
   00002    0.449200   -2566.2733  0.2711 
   00003    0.436400   -2566.2733  0.2711 
   00004    0.415600   -2566.2733  0.2711 
   00005    0.392400   -2566.2733  0.2711 
   00006    0.377200   -2566.2733  0.2711 
   00007    0.373600   -2566.2733  0.2711 
   00008    0.369200   -2566.2733  0.2711 
   00009    0.372800   -2566.2733  0.2711 
   00010    0.349200   -2566.2733  0.2711 
   00011    0.349600   -2566.2733  0.2711 
   00012    0.367200   -2566.2733  0.2711 
   00013    0.342000   -2566.2733  0.2711 
   00014    0.336000   -2566.2733  0.2711 
   00015    0.330000   -2566.2733  0.2711 
   00016    0.334000   -2566.2733  0.2711 
   00017    0.336800   -2566.2733  0.2711 
   00018    0.321200   -2566.2733  0.2711 
   00019    0.339600   -2566.2733  0.2711 
   00020    0.318400   -2566.2733  0.2711 
   00021    0.330800   -2566.2733  0.2711 
   00022    0.330800   -2566.2733  0.2711 
   00023    0.333200   -2566.2733  0.2711 
   00024    0.326000   -2566.2733  0.2711 
   00025    0.326800   -2566.2733  0.2711 
   00026    0.331200   -2566.2733  0.2711 
   00027    0.320000   -2566.2733  0.2711 
   00028    0.336000   -2566.2733  0.2711 
   00029    0.343600   -2566.2733  0.2711 
   00030    0.330400   -2566.2733  0.2711 
   00031    0.308400   -2566.2733  0.2711 
   00032    0.331200   -2566.2733  0.2711 
   00033    0.326000   -2566.2733  0.2711 
   00034    0.319200   -2566.2733  0.2711 
   00035    0.322800   -2566.2733  0.2711 
   00036    0.317600   -2566.2733  0.2711 
   00037    0.312000   -2566.2733  0.2711 
   00038    0.314400   -2566.2733  0.2711 
   00039    0.305200   -2566.2733  0.2711 
   00040    0.321200   -2566.2733  0.2711 
   00041    0.321600   -2566.2733  0.2711 
   00042    0.315200   -2566.2733  0.2711 
   00043    0.312000   -2566.2733  0.2711 
   00044    0.310400   -2566.2733  0.2711 
   00045    0.332400   -2566.2733  0.2711 
   00046    0.310400   -2566.2733  0.2711 
   00047    0.317200   -2566.2733  0.2711 
   00048    0.318800   -2566.2733  0.2711 
   00049    0.314400   -2566.2733  0.2711 
   00050    0.321200   -2566.2733  0.2711 
