#=====================================================
# MPI Monte Carlo
# Num Procs:           5
# File created:        Wed-18-Oct-2023-at-04-11-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.907883
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2627.9979  0.2665 
   00001    0.686000   -2879.3199  0.2678 
   00002    0.626800   -3069.4566  0.2663 
   00003    0.571200   -3173.6826  0.2687 
   00004    0.558800   -3241.0224  0.2717 
   00005    0.537600   -3321.2862  0.2715 
   00006    0.518800   -3389.0852  0.2740 
   00007    0.500800   -3400.9027  0.2728 
   00008    0.496800   -3431.4178  0.2752 
   00009    0.475600   -3474.1552  0.2769 
   00010    0.473200   -3523.0339  0.2796 
   00011    0.450800   -3550.4181  0.2828 
   00012    0.455200   -3570.6274  0.2825 
   00013    0.466400   -3575.1619  0.2825 
   00014    0.456400   -3605.7422  0.2804 
   00015    0.446800   -3611.3395  0.2810 
   00016    0.451200   -3601.4753  0.2786 
   00017    0.447600   -3599.9336  0.2767 
   00018    0.459200   -3598.2469  0.2751 
   00019    0.459200   -3618.4712  0.2750 
   00020    0.447200   -3620.5261  0.2733 
   00021    0.446800   -3649.2658  0.2778 
   00022    0.448800   -3667.2521  0.2824 
   00023    0.466000   -3677.6291  0.2825 
   00024    0.449600   -3680.1353  0.2828 
   00025    0.444400   -3684.7633  0.2808 
   00026    0.448000   -3654.8700  0.2803 
   00027    0.445200   -3659.7030  0.2797 
   00028    0.438400   -3641.8101  0.2755 
   00029    0.439600   -3644.1999  0.2786 
   00030    0.444400   -3659.0077  0.2783 
   00031    0.440000   -3671.0634  0.2785 
   00032    0.438000   -3670.1259  0.2791 
   00033    0.441600   -3672.2043  0.2816 
   00034    0.449600   -3683.2800  0.2801 
   00035    0.420000   -3681.9264  0.2804 
   00036    0.448800   -3690.3676  0.2809 
   00037    0.433200   -3667.9830  0.2811 
   00038    0.434400   -3666.6932  0.2786 
   00039    0.432800   -3664.5061  0.2770 
   00040    0.438000   -3674.6413  0.2764 
   00041    0.441600   -3690.7536  0.2746 
   00042    0.408400   -3679.5778  0.2738 
   00043    0.432800   -3699.3401  0.2716 
   00044    0.434800   -3706.8104  0.2740 
   00045    0.426000   -3710.9934  0.2758 
   00046    0.417200   -3708.7348  0.2762 
   00047    0.435600   -3694.1255  0.2775 
   00048    0.433600   -3690.1595  0.2809 
   00049    0.426400   -3691.0527  0.2796 
   00050    0.445200   -3682.3480  0.2769 
