#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Mon-06-Nov-2023-at-09-03-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.547882
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2396.4535  0.2583 
   00001    0.696800   -3718.5665  0.2599 
   00002    0.628800   -4506.6397  0.2533 
   00003    0.585200   -5090.6556  0.2556 
   00004    0.549200   -5497.1085  0.2631 
   00005    0.534000   -5856.6756  0.2596 
   00006    0.510400   -6091.7251  0.2632 
   00007    0.500800   -6325.4089  0.2647 
   00008    0.504400   -6534.8335  0.2592 
   00009    0.493200   -6630.7516  0.2526 
   00010    0.476000   -6772.5754  0.2606 
   00011    0.476000   -6920.3574  0.2578 
   00012    0.479200   -7012.6997  0.2613 
   00013    0.476400   -7033.8952  0.2588 
   00014    0.464000   -7179.1025  0.2640 
   00015    0.455600   -7269.3221  0.2611 
   00016    0.451200   -7325.7689  0.2613 
   00017    0.453200   -7462.9858  0.2701 
   00018    0.457200   -7521.1726  0.2700 
   00019    0.447200   -7553.3627  0.2698 
   00020    0.438400   -7600.4815  0.2675 
   00021    0.456800   -7609.9633  0.2711 
   00022    0.444000   -7633.1986  0.2779 
   00023    0.434400   -7675.6142  0.2765 
   00024    0.451200   -7681.6804  0.2744 
   00025    0.435200   -7706.8817  0.2765 
   00026    0.438000   -7746.9967  0.2752 
   00027    0.454000   -7793.0746  0.2728 
   00028    0.437600   -7836.8006  0.2745 
   00029    0.438800   -7852.2083  0.2697 
   00030    0.430800   -7878.0305  0.2776 
   00031    0.439200   -7896.1444  0.2752 
   00032    0.425600   -7901.3959  0.2763 
   00033    0.435200   -7974.4695  0.2745 
   00034    0.446800   -7986.4254  0.2742 
   00035    0.422000   -7956.5563  0.2750 
   00036    0.427600   -7936.2441  0.2782 
   00037    0.449600   -7966.6913  0.2773 
   00038    0.431600   -7967.6802  0.2835 
   00039    0.430000   -7944.3543  0.2866 
   00040    0.434800   -7973.7430  0.2849 
   00041    0.436800   -7970.6352  0.2800 
   00042    0.434400   -7976.6011  0.2766 
   00043    0.418800   -7975.1085  0.2778 
   00044    0.434000   -8001.7717  0.2841 
   00045    0.436400   -8047.8460  0.2880 
   00046    0.438800   -8033.4794  0.2849 
   00047    0.411600   -8065.2188  0.2859 
   00048    0.425600   -8145.2353  0.2962 
   00049    0.433600   -8134.2685  0.2961 
   00050    0.411600   -8169.0894  0.2912 
