#=====================================================
# File created:        Wed-08-Nov-2023-at-04-00-12AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        15.635078
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10206.6990  0.2633 
   00001    0.2181  -13910.5623  0.2677 
   00002    0.2341  -16534.8739  0.2748 
   00003    0.2208  -18806.2634  0.2774 
   00004    0.2247  -20391.1688  0.2783 
   00005    0.2165  -21849.4631  0.2774 
   00006    0.2249  -22998.2103  0.2768 
   00007    0.2183  -23917.6958  0.2802 
   00008    0.2111  -24790.3698  0.2765 
   00009    0.2240  -25389.4567  0.2768 
   00010    0.2101  -25984.7165  0.2766 
   00011    0.2195  -26513.0211  0.2744 
   00012    0.2144  -26982.1469  0.2707 
   00013    0.2147  -27445.4775  0.2731 
   00014    0.2077  -27856.1913  0.2768 
   00015    0.2146  -28113.4639  0.2744 
   00016    0.2061  -28245.1886  0.2743 
   00017    0.2151  -28649.4754  0.2755 
   00018    0.2109  -28969.0881  0.2777 
   00019    0.2120  -29196.9077  0.2792 
   00020    0.2024  -29555.9130  0.2798 
   00021    0.2148  -29644.8875  0.2821 
   00022    0.2087  -29821.1251  0.2830 
   00023    0.2125  -30002.4796  0.2855 
   00024    0.2030  -30128.9028  0.2854 
   00025    0.2084  -30260.8991  0.2842 
   00026    0.2003  -30357.8556  0.2833 
   00027    0.2080  -30424.4394  0.2867 
   00028    0.2083  -30517.3574  0.2871 
   00029    0.2044  -30594.4839  0.2898 
   00030    0.2169  -30627.7271  0.2921 
   00031    0.2102  -30720.8628  0.2931 
   00032    0.1996  -30886.2202  0.2920 
   00033    0.2071  -30988.4735  0.2908 
   00034    0.2096  -30893.0832  0.2932 
   00035    0.2043  -30973.8743  0.2938 
   00036    0.2007  -31075.7871  0.2926 
   00037    0.2037  -31061.8113  0.2893 
   00038    0.2108  -31114.9568  0.2901 
   00039    0.2092  -31223.7476  0.2921 
   00040    0.2114  -31243.2817  0.2936 
   00041    0.2068  -31284.1960  0.2989 
   00042    0.2021  -31311.5286  0.2993 
   00043    0.1987  -31413.6528  0.3039 
   00044    0.2127  -31408.3459  0.3036 
   00045    0.2032  -31538.1734  0.3045 
   00046    0.2029  -31581.9604  0.3037 
   00047    0.2088  -31621.3674  0.3034 
   00048    0.2092  -31552.4940  0.3051 
   00049    0.2113  -31521.9586  0.3063 
   00050    0.2035  -31568.6033  0.3079 
