#=====================================================
# File created:        Thu-19-Oct-2023-at-12-43-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.362259
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2607.5629  0.2611 
   00001    0.6732   -2568.2547  0.2677 
   00002    0.6556   -2540.1206  0.2670 
   00003    0.6816   -2509.1093  0.2693 
   00004    0.6756   -2495.3505  0.2670 
   00005    0.6776   -2510.6341  0.2701 
   00006    0.6684   -2493.4978  0.2552 
   00007    0.6708   -2497.1335  0.2590 
   00008    0.6648   -2461.7529  0.2655 
   00009    0.6824   -2433.5448  0.2630 
   00010    0.6628   -2497.4268  0.2655 
   00011    0.6852   -2574.0540  0.2688 
   00012    0.6752   -2517.2143  0.2698 
   00013    0.6608   -2586.0671  0.2673 
   00014    0.6520   -2646.9705  0.2623 
   00015    0.6616   -2605.4191  0.2723 
   00016    0.6836   -2667.3318  0.2745 
   00017    0.6564   -2588.7884  0.2637 
   00018    0.6628   -2587.0983  0.2577 
   00019    0.6880   -2572.2921  0.2623 
   00020    0.6700   -2477.2796  0.2531 
   00021    0.6640   -2441.6043  0.2587 
   00022    0.6860   -2542.5769  0.2626 
   00023    0.6816   -2553.8288  0.2767 
   00024    0.6524   -2527.3013  0.2764 
   00025    0.6672   -2556.9032  0.2713 
   00026    0.6540   -2517.6250  0.2761 
   00027    0.6504   -2436.0165  0.2668 
   00028    0.6936   -2577.2455  0.2579 
   00029    0.6648   -2550.3797  0.2632 
   00030    0.6692   -2531.0105  0.2609 
   00031    0.6732   -2570.1906  0.2559 
   00032    0.6840   -2598.1383  0.2582 
   00033    0.6864   -2719.0459  0.2546 
   00034    0.6552   -2644.4565  0.2641 
   00035    0.6716   -2577.8348  0.2700 
   00036    0.6540   -2483.3930  0.2611 
   00037    0.6548   -2471.9867  0.2675 
   00038    0.6856   -2500.4751  0.2588 
   00039    0.6528   -2391.1106  0.2614 
   00040    0.6788   -2369.7129  0.2620 
   00041    0.6820   -2430.1093  0.2580 
   00042    0.6604   -2397.4086  0.2542 
   00043    0.6812   -2438.0477  0.2620 
   00044    0.6836   -2549.4781  0.2682 
   00045    0.6448   -2486.4775  0.2691 
   00046    0.6560   -2430.4289  0.2710 
   00047    0.6920   -2488.3158  0.2772 
   00048    0.6564   -2494.6341  0.2677 
   00049    0.6960   -2590.6169  0.2576 
   00050    0.6724   -2624.2995  0.2589 
