#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-11-20-51AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.010946
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.924000   -3035.9466  0.2791 
   00002    0.847600   -3297.1654  0.2757 
   00003    0.805200   -3498.2390  0.2791 
   00004    0.757600   -3635.0000  0.2816 
   00005    0.737600   -3755.8908  0.2813 
   00006    0.694800   -3883.4681  0.2823 
   00007    0.679200   -3944.1974  0.2836 
   00008    0.654400   -3968.0188  0.2846 
   00009    0.641200   -4064.5479  0.2854 
   00010    0.612400   -4095.0520  0.2825 
   00011    0.620800   -4108.9945  0.2830 
   00012    0.618400   -4133.6711  0.2797 
   00013    0.613200   -4180.7225  0.2849 
   00014    0.612800   -4194.1314  0.2949 
   00015    0.617200   -4202.2767  0.2989 
   00016    0.610400   -4219.3975  0.3057 
   00017    0.601600   -4232.9298  0.3092 
   00018    0.600000   -4235.8100  0.3089 
   00019    0.596800   -4234.7226  0.3102 
   00020    0.598000   -4272.3984  0.3139 
   00021    0.599600   -4306.4499  0.3096 
   00022    0.606400   -4325.2088  0.3090 
   00023    0.601200   -4343.5986  0.3084 
   00024    0.585600   -4350.6148  0.3073 
   00025    0.586400   -4351.1818  0.3056 
   00026    0.603200   -4352.5709  0.3025 
   00027    0.593200   -4369.5298  0.3028 
   00028    0.590800   -4359.0972  0.3093 
   00029    0.590000   -4379.1463  0.3087 
   00030    0.577200   -4393.1785  0.3087 
   00031    0.583200   -4408.7045  0.3081 
   00032    0.570800   -4400.1945  0.3102 
   00033    0.594400   -4380.9290  0.3108 
   00034    0.585200   -4410.7225  0.3098 
   00035    0.575600   -4419.5177  0.3083 
   00036    0.603200   -4417.9207  0.3082 
   00037    0.582800   -4426.0072  0.3089 
   00038    0.564000   -4423.7176  0.3098 
   00039    0.555200   -4418.3728  0.3100 
   00040    0.570000   -4408.0113  0.3068 
   00041    0.570000   -4429.6085  0.3061 
   00042    0.567600   -4443.1329  0.3064 
   00043    0.581600   -4441.7903  0.3118 
   00044    0.570000   -4445.8428  0.3115 
   00045    0.560800   -4432.7973  0.3143 
   00046    0.590800   -4429.3942  0.3170 
   00047    0.544400   -4461.5607  0.3207 
   00048    0.584400   -4487.9616  0.3281 
   00049    0.582000   -4475.9719  0.3265 
   00050    0.574400   -4494.2876  0.3294 
