#=====================================================
# File created:        Wed-08-Nov-2023-at-06-40-34AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.980652
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2414.0081  0.2726 
   00001    0.2304   -3419.2645  0.2872 
   00002    0.2220   -4113.2800  0.2962 
   00003    0.2276   -4626.3694  0.3006 
   00004    0.2180   -5101.8864  0.2963 
   00005    0.2224   -5416.3102  0.3026 
   00006    0.2264   -5728.5410  0.3120 
   00007    0.2192   -6014.8810  0.3147 
   00008    0.2268   -6165.7257  0.3187 
   00009    0.2184   -6336.9605  0.3244 
   00010    0.2240   -6477.8170  0.3364 
   00011    0.2236   -6567.6565  0.3410 
   00012    0.2160   -6645.6610  0.3428 
   00013    0.2156   -6748.4820  0.3393 
   00014    0.2140   -6845.2431  0.3394 
   00015    0.2192   -6894.1117  0.3527 
   00016    0.2296   -6986.7483  0.3548 
   00017    0.2052   -7093.6675  0.3642 
   00018    0.2100   -7151.6023  0.3660 
   00019    0.2144   -7210.0369  0.3713 
   00020    0.2168   -7264.5907  0.3768 
   00021    0.2236   -7293.9895  0.3711 
   00022    0.2112   -7399.3657  0.3781 
   00023    0.2032   -7478.0134  0.3810 
   00024    0.2156   -7504.2064  0.3914 
   00025    0.2080   -7584.4427  0.4051 
   00026    0.2076   -7614.8718  0.4149 
   00027    0.2084   -7640.1347  0.4133 
   00028    0.2048   -7681.6549  0.4221 
   00029    0.2032   -7720.3910  0.4268 
   00030    0.2076   -7742.8764  0.4254 
   00031    0.2100   -7717.6846  0.4293 
   00032    0.2140   -7752.4917  0.4357 
   00033    0.2088   -7747.3114  0.4369 
   00034    0.2056   -7746.3258  0.4422 
   00035    0.2044   -7785.3734  0.4440 
   00036    0.1948   -7800.2810  0.4506 
   00037    0.2180   -7832.0462  0.4534 
   00038    0.1956   -7857.8100  0.4528 
   00039    0.1984   -7878.6044  0.4574 
   00040    0.2000   -7922.7810  0.4653 
   00041    0.2112   -7932.5103  0.4706 
   00042    0.2080   -7922.3033  0.4720 
   00043    0.2076   -7925.4716  0.4751 
   00044    0.2088   -7950.4657  0.4820 
   00045    0.2084   -7938.1708  0.4891 
   00046    0.2120   -7949.9439  0.4928 
   00047    0.2004   -7932.6719  0.4917 
   00048    0.2012   -7948.2259  0.4942 
   00049    0.2148   -7904.6858  0.4847 
   00050    0.2048   -7953.5499  0.4812 
