#=====================================================
# File created:        Wed-08-Nov-2023-at-04-04-02AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        16.855310
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10108.1824  0.2608 
   00001    0.2218  -13999.3977  0.2613 
   00002    0.2258  -16883.9950  0.2656 
   00003    0.2250  -18864.8583  0.2705 
   00004    0.2208  -20465.2033  0.2746 
   00005    0.2197  -21880.0338  0.2789 
   00006    0.2149  -22953.9626  0.2801 
   00007    0.2155  -23909.2343  0.2852 
   00008    0.2193  -24727.2382  0.2903 
   00009    0.2159  -25413.3234  0.2932 
   00010    0.2156  -26083.7420  0.2906 
   00011    0.2116  -26647.3758  0.2922 
   00012    0.2082  -27105.6246  0.2969 
   00013    0.2133  -27468.3864  0.2964 
   00014    0.2174  -27833.4400  0.2979 
   00015    0.2131  -28199.3187  0.2962 
   00016    0.2111  -28420.2421  0.2997 
   00017    0.2130  -28666.0031  0.3020 
   00018    0.2108  -28901.8524  0.3025 
   00019    0.2089  -29202.6313  0.3066 
   00020    0.2048  -29395.7889  0.3084 
   00021    0.2117  -29539.2126  0.3094 
   00022    0.2072  -29777.9292  0.3119 
   00023    0.2075  -29936.8606  0.3129 
   00024    0.2076  -30034.2162  0.3133 
   00025    0.2132  -30103.5279  0.3110 
   00026    0.2082  -30337.2453  0.3113 
   00027    0.2111  -30316.9329  0.3094 
   00028    0.2082  -30519.1899  0.3096 
   00029    0.2168  -30530.8961  0.3119 
   00030    0.2084  -30689.6243  0.3125 
   00031    0.2070  -30736.0599  0.3108 
   00032    0.2014  -30941.2095  0.3132 
   00033    0.2101  -31057.7306  0.3163 
   00034    0.2141  -31100.1789  0.3164 
   00035    0.2077  -31207.7871  0.3217 
   00036    0.2032  -31231.9984  0.3187 
   00037    0.2004  -31354.7002  0.3199 
   00038    0.2045  -31360.7822  0.3225 
   00039    0.2074  -31458.7344  0.3229 
   00040    0.2067  -31468.2474  0.3253 
   00041    0.2071  -31577.2959  0.3239 
   00042    0.2038  -31635.7105  0.3266 
   00043    0.2069  -31665.6072  0.3253 
   00044    0.2138  -31682.0554  0.3273 
   00045    0.2036  -31678.4514  0.3304 
   00046    0.2073  -31707.9704  0.3274 
   00047    0.2005  -31727.4522  0.3284 
   00048    0.2060  -31774.5231  0.3300 
   00049    0.1993  -31909.7201  0.3344 
   00050    0.2061  -31983.3662  0.3332 
