#=====================================================
# File created:        Wed-18-Oct-2023-at-07-53-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.322702
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2556.7307  0.2700 
   00001    0.6840   -3719.0180  0.2735 
   00002    0.6176   -4590.8421  0.2723 
   00003    0.5780   -5191.4365  0.2719 
   00004    0.5588   -5594.4384  0.2771 
   00005    0.5220   -5914.2841  0.2671 
   00006    0.5212   -6246.4728  0.2696 
   00007    0.4988   -6507.3481  0.2640 
   00008    0.4840   -6706.5117  0.2675 
   00009    0.4892   -6763.9430  0.2738 
   00010    0.4840   -6898.4302  0.2748 
   00011    0.4836   -7052.8522  0.2738 
   00012    0.4604   -7121.4851  0.2768 
   00013    0.4656   -7255.1943  0.2736 
   00014    0.4520   -7375.0805  0.2802 
   00015    0.4628   -7450.8797  0.2855 
   00016    0.4412   -7457.0802  0.2798 
   00017    0.4588   -7526.2494  0.2819 
   00018    0.4344   -7573.1097  0.2747 
   00019    0.4400   -7639.2045  0.2832 
   00020    0.4344   -7691.4755  0.2862 
   00021    0.4420   -7738.2118  0.2814 
   00022    0.4460   -7734.7934  0.2860 
   00023    0.4472   -7786.0160  0.2908 
   00024    0.4372   -7840.7618  0.2931 
   00025    0.4296   -7853.7036  0.2955 
   00026    0.4276   -7898.6457  0.2955 
   00027    0.4168   -7904.2630  0.3038 
   00028    0.4472   -7885.8429  0.3008 
   00029    0.4484   -7906.5476  0.3043 
   00030    0.4196   -7889.6539  0.3055 
   00031    0.4452   -7947.1842  0.3071 
   00032    0.4288   -7909.4591  0.3068 
   00033    0.4492   -7918.8880  0.3049 
   00034    0.4324   -7955.7641  0.3091 
   00035    0.4168   -7956.6228  0.3093 
   00036    0.4528   -8039.6591  0.3150 
   00037    0.4192   -8012.1820  0.3234 
   00038    0.4284   -8021.8902  0.3166 
   00039    0.4276   -8075.1626  0.3221 
   00040    0.4196   -8032.2030  0.3244 
   00041    0.4240   -8053.6588  0.3250 
   00042    0.4204   -8089.5797  0.3310 
   00043    0.4244   -8090.4849  0.3381 
   00044    0.4284   -8047.6298  0.3383 
   00045    0.4164   -8021.9231  0.3347 
   00046    0.4308   -8010.7213  0.3390 
   00047    0.4412   -8051.1018  0.3376 
   00048    0.4328   -8022.5773  0.3429 
   00049    0.4256   -8033.1327  0.3457 
   00050    0.4264   -8030.9384  0.3441 
