#=====================================================
# File created:        Thu-19-Oct-2023-at-01-00-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.417083
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -43.7459  0.2756 
   00001    0.0000     -43.7459  0.2756 
   00002    0.2952     -42.3882  0.2747 
   00003    1.0000     -51.1023  0.2665 
   00004    0.0000     -51.1023  0.2665 
   00005    0.0036     -51.1023  0.2657 
   00006    1.0000     -55.4714  0.2622 
   00007    0.0000     -55.4714  0.2622 
   00008    1.0000     -59.6716  0.2620 
   00009    0.0000     -59.6716  0.2620 
   00010    1.0000     -60.3190  0.2690 
   00011    0.0000     -60.3190  0.2690 
   00012    0.0020     -60.3190  0.2690 
   00013    0.0000     -60.3190  0.2690 
   00014    0.0000     -60.3190  0.2690 
   00015    0.0000     -60.3190  0.2690 
   00016    0.0000     -60.3190  0.2690 
   00017    0.0000     -60.3190  0.2690 
   00018    0.0000     -60.3190  0.2690 
   00019    0.0000     -60.3190  0.2690 
   00020    0.0000     -60.3190  0.2690 
   00021    0.0000     -60.3190  0.2690 
   00022    0.4960     -51.1368  0.2703 
   00023    1.0000     -62.4057  0.2724 
   00024    1.0000     -65.1888  0.2789 
   00025    0.0000     -65.1888  0.2789 
   00026    0.0000     -65.1888  0.2789 
   00027    0.0000     -65.1888  0.2789 
   00028    0.0000     -65.1888  0.2789 
   00029    0.0000     -65.1888  0.2789 
   00030    0.0000     -65.1888  0.2789 
   00031    1.0000     -66.1889  0.2791 
   00032    0.0004     -66.1889  0.2791 
   00033    0.0000     -66.1889  0.2791 
   00034    1.0000     -68.1769  0.2728 
   00035    0.0000     -68.1769  0.2728 
   00036    0.0000     -68.1769  0.2728 
   00037    0.2264     -60.4348  0.2765 
   00038    0.0000     -60.4348  0.2765 
   00039    1.0000     -63.7801  0.2766 
   00040    0.0000     -63.7801  0.2766 
   00041    0.0000     -63.7801  0.2766 
   00042    0.0000     -63.7801  0.2766 
   00043    0.0000     -63.7801  0.2766 
   00044    0.0000     -63.7801  0.2766 
   00045    0.0004     -63.7801  0.2766 
   00046    0.0000     -63.7801  0.2766 
   00047    0.0000     -63.7801  0.2766 
   00048    0.0008     -63.7801  0.2763 
   00049    0.0000     -63.7801  0.2763 
   00050    0.0000     -63.7801  0.2763 
